city,名称,id,纬度,经度,评价分数,介绍,封面图片
上海,东海广场,2332244,31.093155,121.810695,3.7,,https://dimg04.c-ctrip.com/images//100m1a0000019agly3681.jpg
上海,外滩,736,31.23777,121.490603,4.8,外滩位于黄浦江畔，全长约1.5公里，是上海城市象征意义的景点，风格迥异的万国建筑群和浦江夜景是它的精华所在。外滩矗立着几十幢风格迥异的古典复兴大楼，知名的中国银行大楼、和平饭店、海关大楼、汇丰银行大楼等再现了昔日“远东华尔街”的风采。令人惊讶的是，这些建筑并非出自同一位设计师，也不是建于同一时期，却拥有一种独特的和谐美。外滩多种建筑风格，其中包括法国古典式、法国大住宅式、哥特式等，这些都是中国近现代重要史迹及代表性建筑，也是黄浦江畔一道靓丽的风景线。夜晚来临，两岸霓虹灯交辉相映，搭乘浦江游船或渡轮，游于黄浦江上，江风阵阵拂面，一边是见证历史发展的外滩，一边是上海现代建设的地标陆家嘴，还有外白渡桥的倩丽身影，可以让你换个角度欣赏这个繁华都市美丽的样子。,https://dimg04.c-ctrip.com/images/10040m000000dht6p0F19.jpg
上海,东方明珠,762,31.239774,121.499768,4.7,东方明珠矗立于上海浦东陆家嘴，与外滩隔江相望，是上海的标志性建筑。若在267米高的空中旋转餐厅一边品尝美食一边欣赏申城夜景，更是超凡的体验。东方明珠塔高468米，由11个大小不一的球体串联一体，此设计来源于“大珠小珠落玉盘”的美妙意境。登上三个主球体，可站在不同的高度品赏浦江两岸的城市风光，尤其站在259米高度的全透明观光廊上，以“空中漫步”的独特方式欣赏申城全景。而夜晚登临观光层感受“不夜城”夜幕下的绚彩，更是难忘的享受。东方明珠还是娱乐、美食、博览以及购物的小世界。在塔座的上海城市历史发展陈列馆可以了解到上海近代历史的变迁；在东方明珠95米“高空VR过山车”一起尖叫一起飞；玩累了，可以到旋转餐厅品尝世界各地美食、欣赏现场制作与烹饪表演。结束旅程时，可至特色商品楼层选购纪念品，或买张明信片、盖上空中邮局的邮戳，寄给自己或者想要祝福的亲友。,https://dimg04.c-ctrip.com/images/1lo7412000isn0jrbD500.jpg
上海,上海迪士尼度假区,1412255,31.142003,121.665534,4.7,上海迪士尼度假区位于上海浦东新区，是中国内地第一个迪士尼度假区，你可以在此亲历许多迪士尼乐园的经典项目，包括较大的迪士尼城堡、以海盗为主题的园区、较长的迪士尼花车巡游路线等，身临其境地感受神奇王国。迪士尼乐园▲ 上海迪士尼乐园分为八个各具特色的主题园区，包括“米奇大街”、“奇想花园”、“梦幻世界”、“迪士尼·皮克斯玩具总动员”、“探险岛”、“宝藏湾”、“明日世界”和“疯狂动物城”。无论男女老少都能在这里找到快乐的天地。▲ #米奇大街#一进入迪士尼乐园门口，便步入了“米奇大街”。米妮、唐老鸭、黛丝、高飞以及布鲁托等一众伙伴将在这里欢聚，你可以在这里与喜爱的迪士尼朋友热情拥抱、合影留念。在大街上五花八门的商铺中，“M大街购物廊”将提供乐园内丰富的礼品和纪念品选择。▲ #奇想花园#奇想花园由7片不同风格的神奇小花园组成，你可以驾着“幻想曲旋转木马”回旋在欢乐中，或是乘坐“小飞象”翱翔天空，还有城堡舞台秀和“奇梦之光幻影秀”等多项标志性迪士尼娱乐演出可供观赏。游客还能在这里从不同角度欣赏全球路线较长的迪士尼主题花车巡游——“米奇童话专列”。▲ #梦幻世界#梦幻世界是乐园中较大的园区，也是宏伟壮丽的“奇幻童话城堡”所在地。在这个如童话般的仙境中，动画控们可以伴着小熊维尼探索百亩森林，和爱丽丝一起在梦游仙境迷宫中穿行，与七个小矮人一同乘坐矿山车探险，登上“小飞侠天空奇遇”飞船横越伦敦的天空，或是跟着“晶彩奇航”蜿蜒漂流过一个个熟悉的迪士尼故事。▲ #迪士尼·皮克斯玩具总动员#在这里，你可以坐上“弹簧狗”的螺旋形弹簧，欢快地围着一个盛满了玩具骨头的大狗盘绕圈，“抱抱龙”将邀请大家坐上遥控冲天赛车，在长长的“U”型轨道上开启一段刺激的冒险旅程，除此之外，你还可以在“艾尔玩具店”，购买你喜欢的游戏、玩具、服饰、徽章等。▲ #探险岛#来到探险岛，仿佛置身于新发现的远古部落中。巍峨的雷鸣山将为你的探险岛之旅指出明确的方向。你可以在“古迹探索营”中走出自己的探险之路，或是在“翱翔•飞越地平线”里横跨世界和时空，坐上“雷鸣山漂流”的筏艇深入探险岛腹地，探索一只庞大神秘巨兽所在的黑暗领域。▲ #宝藏湾#“宝藏湾”是全球迪士尼乐园中第一个以海盗为主题的园区。“加勒比海盗——沉落宝藏之战”将水载乘坐项目变为惊险刺激的大冒险，富有探险精神的游客们还可以划着“探险家独木舟”畅游美丽海湾，踏上海盗船的甲板，在“巴波萨烧烤”大快朵颐。▲ #明日世界#“明日世界”充满了无尽可能并展现出未来光明的愿景。星际探险项目“巴斯光年星际营救”带领游客们勇往直前、超越无限；“喷气背包飞行器”让人们突破重力束缚；“创极速光轮”包裹在巨大的半透明穹顶建筑下，幻化着不同光彩，吸引游客跨上两轮光轮摩托队列，挑战全球迪士尼乐园中较为紧张刺激的过山车项目之一。▲ #疯狂动物城#“疯狂动物城”是上海迪士尼乐园另一独有亮点，新的景点、娱乐演出、商品和餐饮选择将为来访上海迪士尼乐园的游客提供更多精彩体验。全新主题园区将带领游客进入栩栩如生的“疯狂动物城”这一哺乳动物大都会，“在这里每个动物都有无限的可能性”。游客还将跟随这部奥斯卡获奖电影中的主角——朱迪和尼克踏上疯狂刺激的冒险旅程。▲ 迪士尼小镇迪士尼小镇是上海迪士尼度假区的大型购物餐饮娱乐区，毗邻上海迪士尼乐园，并将向公众免费开放。国际化的迷人街区令人流连忘返，游客可以在享用美食的同时观赏到上海迪士尼乐园的迷人景色。而位于“迪士尼小镇”的“华特迪士尼大剧院”，上演经典百老汇音乐剧。▲ 园区餐饮迪士尼乐园中有巴波萨烧烤、皇室宴会厅、皮诺丘乡村厨房、部落丰盛堂、米奇好伙伴美味集市、星露台餐厅、老藤树食栈等多家主题餐厅，散布在各个主题园区内，东西方菜系的丰富美食、特色点心和诱人甜品一应俱全，让你的神奇之旅回味无穷。▲ 主题酒店“上海迪士尼乐园酒店”和“上海玩具总动员酒店”紧邻上海迪士尼乐园，优越的地理位置将迪士尼神奇之旅从白天延续到夜晚。两家酒店结合了迪士尼故事讲述的主题设计，并将为宾客提供温馨周到的服务、丰富多样的娱乐活动、美食飨宴、购物体验及各种休闲选择，带来蕴含中国魅力的迪士尼体验。入住迪士尼酒店的旅客，可至多提前一小时入园游玩；如果在乐园中购买了商品，可以免费递送至其下榻的酒店中；同时，酒店提供行李寄存服务；另外度假区内还设有免费穿梭巴士和轮渡，往返于两座酒店和迪士尼乐园之间，交通十分方便。,https://dimg04.c-ctrip.com/images/01055120008ji2uc75021.jpg
上海,上海野生动物园,758,31.054085,121.721891,4.7,欢迎来到上海野生动物园，这里将唤起您心中对于大自然的美好向往与满满好奇，我们也将为您诠释一座人与动物和谐共处的美好家园。作为国内首批5A级旅游景区，一直以来，我们都在努力拉近人与自然之间的距离。园内步行区、车入区及“水域探秘”三大区域将为您从不同角度呈现国内外200余种，上万头（只）野生动物。您不仅能邂逅大熊猫、长颈鹿、火烈鸟等可爱的动物朋友，还能零距离感受东北虎、非洲狮、猎豹等猛兽的野性呼唤。这里也是动物们在这座城市的温馨家园，我们始终致力于提升动物福利保障、宣传动物保护理念。保育员会在固定时段为您带来丰富的“科普讲解”与“动物行为展示”，让您了解动物们鲜为人知的一面。,https://dimg04.c-ctrip.com/images/1lo2512000hxsg5qkD64C.jpg
上海,豫园,740,31.227071,121.492127,4.7,上海豫园位于上海豫园旅游商业区的东北部，与上海城隍庙、上海豫园旅游商城毗邻，是知名的江南古典园林，闻名中外的名胜古迹。1982年被国 务院批准成为“全国重点文物保护单位”。豫园始建于明嘉靖、万历年间，距今已有四百五十余年历史。园主人潘允端，曾任四川布政使。潘允端为了让父亲安享晚年，从明嘉靖己未年（1559年）起，在自家的菜田上，聚石凿池，构亭艺竹，建造园林。经过二十余年的苦心经营，建成了豫园。“豫”有“平安”、“安泰”之意，取名“豫园”，有“豫悦老亲”的意思。豫园肇建初始，占地七十余亩，由明代造园名家张南阳精心设计，并亲自参与施工，整座园林规模宏伟、景色秀美。现豫园占地2公顷，楼阁参差，山石峥嵘，树木苍翠，以清幽秀丽，玲珑剔透见长，具有小中见大的特点，体现出明清两代江南园林建筑的艺术风格。豫园内至今还保存着“海派书画”发祥地—“藏书楼”、上海小刀会起义指挥部所在“点春堂”等史迹。历代古人对豫园有“奇秀甲于东南”、“东南名园冠”等赞誉。众多国内外政要首脑和名人都曾来到豫园参观访问，是上海一张难得的传统文化名片。,https://dimg04.c-ctrip.com/images/0103v12000f9ug057967E.jpg
上海,南京路步行街,3739,31.237542,121.484593,4.7,南京路步行街长约1200米，两侧商店林立，一眼望去，现代建筑夹杂着欧式老楼，竖挂的店铺灯箱连绵不绝，尤其夜幕之下霓虹灯光闪烁，别有风情。还可以坐一回像缩小版旧式电车的“铛铛车”，找找老上海的味道。步行街西起西藏中路（人民广场东侧），东至河南中路，两端各有一块暗红色的大理石碑。走在步行街上，随处可见富有创意的城市雕塑，以及别致的路灯、花坛、电话亭，低头能看到不少窨井盖上刻有不同的城市建筑图案，街中央还有大量椅子供游客小坐。南京路步行街是上海繁华的商业街之一，早在20世纪初就已是百货公司的聚集地，在这里逛逛一定会收获颇丰。如今这里既有永安百货、华联商厦、丝绸商厦等老牌百货公司，又有新世界城、百联世贸国际广场、置地广场、恒基名人购物中心、宏伊广场等大型购物中心，在这里你差不多可以买到任何商品。南京路步行街还是吃货的天堂，这里的购物中心都有各种品牌的时尚餐厅、咖啡店，还有多家餐馆和食品店，比如专吃上海本帮菜的老克勒酒楼、德兴馆、翠亭酒家，还有第一食品商店、沈大成点心店等食品点心店。,https://dimg04.c-ctrip.com/images/0106u120008c3zeiy8417.jpg
上海,上海科技馆,18308,31.218148,121.541359,4.7,上海科技馆位于浦东世纪大道，是上海较大的科普教育殿堂。在这里可通过各种现代化设备、丰富的展示互动方式，全方位了解自然科学，更有声像效果震撼的科学影城。如果带着孩子来上海，这里一定是寓教于乐的必体验之地。上海科技馆展品丰富，这里有数百件精美的野生动物标本与地质标本、有各种功能迥异的机器人表演、各种电子信息设备与航天设备模型，以及多种科技发明的展示。而参与性强更是青少年游客爱来的原因，游客可通过互动设备来认识数理化等学科的多种规律和原理、可亲手参与一些简单的设计和制造活动、可通过声光电的多种场景模拟看到地震和火山喷发等自然奇观、还可参与各种运动模拟来了解人体与健康的奥秘等等。科技馆还拥有IMAX立体巨幕、球幕、四维和太空数字四大高科技特种影院组成的科学影城，家长可以带上小朋友们亲身体验极具动感和真实效果的科幻场景，感受高科技的魅力。科学影城放映场次可参考官网。,https://dimg04.c-ctrip.com/images/0101d12000lkrmdqjFBBA.jpg
上海,威尼斯小镇,4149747,31.230899,121.377614,4.7,位于上海普陀区金沙江路的一个具有代表性的意大利威尼斯小镇风情的特色街区，建筑、路牌等都很特别，是喜欢拍照，打卡的好去处。,https://dimg04.c-ctrip.com/images/100s0z000000ns8d36D9B.jpg
上海,上海欢乐谷,65957,31.096487,121.216324,4.7,上海欢乐谷游玩攻略来啦！作为“动感、时尚、激情”的繁华都市开心地，上海欢乐谷以新春国潮节、宠爱季、超级儿童节、EV电音节、魔灯光影节、惊奇潮玩节等花样繁多的节庆活动贯穿全年；还有世界各地的精彩演艺荟萃于此，如大型跨媒体实景水秀《天幕水极》、影视特技实景剧《新上海滩风云》以及欢乐海狮秀、滑稽秀、扣篮秀等零距离节目每日精彩上演，365天欢乐不停歇！来跟小谷一起来看看吧（一）欢乐时光区从正大门进入，第一个引入眼帘的就是欢乐时光区啦！轻松愉悦的游玩体验，适合一家人来开开心心打卡！【欢乐对对碰】尽情驰骋在五彩斑斓的车场，在碰撞中体验激情，在激情中捕捉快感，让您一次碰个够！【谷木游龙】被誉为“过山车界始祖”，以超级结构用材的美国南方松木为主材，1200米的呼啸之旅，超过10次的太空零重力感受，挑战速度与激情！【天地双雄】双塔式太空梭，一座塔由下而上高速弹射，另一座则由上而下急速降落。上下往复中，完美融合了弹射与坠落的两极体验。【旋转木马】宫殿式双层转马，奔腾的骏马带您置身童话般的梦幻世界，引发无限遐想。【梦幻陀螺】大转盘公转、小转盘自转、座舱离心旋转，复合体验，带您在旋转中尽享刺激与欢乐。【旋转摇摆伞】还记得人类最初的飞行梦想吗？坐上摇摆伞，在空中回旋飞舞，此起彼伏、上下飘飞，像银燕一样在晴空中盘旋！（二）上海滩区【绝顶雄风】全球新一代悬空式跌落过山车，享有“过山车”的美誉，让您从60米高的垂直跌落，感受自由落体的神奇加速度。【大摆锤】以110km/h的速度将您送达15层楼高的空中，体验加速、减速、超重、失重的快感，尽览水天一色的美丽风景。【海样年华】由缓至急的往复摆动，犹如置身惊涛骇浪的大海之中，时而冲上浪涛之颠，时而跌落波澜之底，感受乘风破浪之险，挑战心理承受能力极限。交替而至的失重和超重感受，惊险刺激而又回味无穷。【尖峰时刻】22米的弹跳高塔，整个过程飞速刺激，缓缓升至高空，停顿几秒之后，毫无预兆的突然骤降又快速上升，上下往复，不断感受心跳的跌宕起伏，随着一起一落的欢呼声，享受远空□美的风景。（三）香格里拉区 【蓝月飞车】110公里/小时高速疾驰，30米高空俯冲，2秒提速狂飙，带给你自由飞翔的畅快淋漓！ 【峡谷漂流】蜿蜒流动的369米长河道，延伸在峡谷坚硬的腹地，带您穿越峡谷，开启一场浪漫的漂流旅程! 【飞旋驼峰】在90米长起伏的轨道上盘转、滑行，感受风的呼啸，放飞畅快心情。（四）欢乐海洋区 【大洋历险】全新引进的悬挂式家庭过山车，头顶是蔚蓝的天空，脚下是涌动的喷泉，带您和家人一起欢乐地驰骋于天地之间。 【水上飞艇】置身船舱之中，飞行之旅随即开启，一会在天上飞舞，一会又从水面掠过，溅起欢快的水花，在不断地俯冲、旋转、追逐中享受飞行的快乐。 【海洋之星】6D模拟过山车，在真实场景与荧幕画影中穿越，起伏跌宕中感受真实过山车的速度与失重，尖叫不断，乐趣无穷。【七彩漩涡】身处“七彩漩涡”，不停转动手中的方向盘，杯子也随之不停地旋转，越转越快，赶快和他们来个永恒的追逐吧！（五）金矿镇区【金银岛】站在园区至高点极目远眺，尽赏云蒸霞蔚的美丽山谷、翠色欲流的参天树木、绿水如碧的潺潺小溪，全园景致映入眼帘，佘山、月湖尽收眼底。 【矿山历险】全新“矿山历险”重磅回归，融合蒸汽朋克风设计，打造360度全感官沉浸式体验！“矿洞隧道”营造蒸汽朋克神秘韵味；音效、热风、水雾带来体验，俯冲矿山洞穴、飞跃蒸汽机关、穿梭齿轮之间，速度与惊险完美结合！（六）飓风湾区【激流勇进】经典水上项目，从26米高处飞驰而下，激起漫天水花，惊心动魄，酣畅淋漓。【完美风暴】被誉为“滚筒洗衣机”的完美风暴，360度超级“天旋地转”，与音乐喷泉水幕完美结合，玩了才知道什么是神魂颠倒。【急速旋风】全新引进多维旋转项目，乘坐在18米高空“风车”上，360°翻转、扭动、摇摆……感受旋转的极速与激情！【神奇草帽】5个被施魔法的大草帽，忽而旋转、忽而飞升，在动感的音乐声中，神奇的大草帽摇摆劲舞，乐趣无穷。,https://dimg04.c-ctrip.com/images/1lo4g12000azkw5ig3875.jpg
