city,名称,id,纬度,经度,评价分数,介绍,封面图片
南宁,青秀山,8810,22.788518,108.395456,4.7,青秀山位于南宁市区往东南约9公里处的邕江江畔，坐落着青山、凤凰岭等十几座山峦，是南宁市知名的风景区。在这里，你可登上龙象塔远望山水风光，或漫步于园内欣赏各类花卉，享受惬意。青秀山景区有多个入口，西门为正门，从西门进入可乘坐电瓶车代步。景区很大，全程游山会比较累，建议可以坐电瓶车上山，然后再步行下山。其中观音禅寺已是山顶位置，可以上香，然后就是下山路了，整个电瓶车的路线基本是由西往东，如果想全程步行也可以根据这个路线走。一路山青水秀，沿着阶梯拾级而上，有非常多的树木，空气特别的纯净。风吹过，能听见树叶间唦唦唦的摩擦声，散步起来，心情格外放松。沿路主要的景点有明代风格的龙象塔，它是青秀山标志性建筑物，登上塔顶，可眺望邕江和远山近岭；别具异国风情的中泰友谊园；汇聚东盟各国国花、国树和国际友好城市代表性雕塑的国际友谊园。除外还有十二生肖文化园、状元泉、千年苏铁园等，春季还可以到桃花岛赏灼灼盛开的桃花。,https://dimg04.c-ctrip.com/images/0100l12000h86e533F9DE.jpg
南宁,广西民族博物馆,1413292,22.774513,108.401881,4.7,广西民族博物馆位于青秀区，毗邻青秀山风景区，这里陈列着种类齐全的铜鼓，铜鼓“雷纹大铜鼓”就位于其中。这里还有五彩八桂展览，可以看到各式各样的民族特色服饰和生活用品，展示了广西各个民族的特点。广西民族博物馆离市中心比较远，但如果你原有去青秀山游玩的打算，不妨放一天一起游玩，民博算是南宁较热门的博物馆了。上午游完青秀山，就可以来民族博物馆参观。这里是免费的，凭身份证进入，不可携带火机。民博总共分为三层、五个展区。而展厅实际是从二楼开始的，一楼主要是游客服务中心及寄包处以及办公区等。当你步入二楼，就可以看到民博的重点之——铜鼓文化展厅了，这里拥有多种多样的铜鼓陈列。展厅中震撼的当属那面直径达165厘米的雷纹大铜鼓（馆藏101号），另外，纪念品商店及图书馆也是在二楼的。五彩八桂展览是民博的另一个重点展示，占据了整个三楼，分别是中央的五彩八桂序厅及左右的和谐乐章展厅、匠心神韵展厅、家园展厅以及霓裳羽衣展厅。所谓“八桂”就是指广西，五彩八桂展览有广西12个民族（包括汉族）的实物展示，内容覆盖了服饰、生活、节庆、手工艺等各方面。除外，场馆外还有个露天展示厅，有一些微缩的特色民族建筑，也是特有意思的，很适合拍照，南宁本地有些婚纱摄影店会专门来这边拍婚纱照。,https://dimg04.c-ctrip.com/images/350f1c000001crv9zA364.jpg
南宁,南宁大明山风景旅游区,8841,23.498645,108.409559,4.5,南宁大明山位于武鸣区北部，这里山高林密，具有典型的山地森林景观和气候，一年四季都适合游玩。在大明山可以看到大草坪、瀑布、峡谷等自然景观，冬季则是南方少有的有概率看到雾凇美景的地方。春天的大明山可以看到满山遍野的山花，一进山就有个专门赏杜鹃花的观景点；夏天适合看日出（观日点在望兵山），还可享受瀑布和山上森林的凉意，因此是桂中地区出色的避暑去处；秋天是适合看云海的季节，你可以在飞鹰峰拍摄云海美景；冬天则有较大概率可以看到雾凇。四季景观中，其中以冬季的“冬雪”为典型，值得一看，观看时间一般为每年12月至次年3月。届时山脚下是满目葱笼，山上却时常出现雾凇景观，是我国南端的理想赏雪胜地。橄榄大峡谷保存着茂密的原始森林，谷底怪石奇树密集，动植物种类繁多。不老松：大明山不老松已有500多年历史，全国唯广西大明山和台湾玉山独有。它们虽饱经风霜，却依然枝叶茂盛。龙尾瀑布：连冲三级，很大高级高约60多米，如龙尾摆动，故此得名。天书草坪：是大明山八块草坪中很大的一块，它奇特之处是在青苔芒草覆盖的岩石上，有许多凹凸不平的线条，似字非字，似图非图，鬼斧神工。游大明山行程推荐一日游：【从山脚-烂漫春花-云龙佛光—橄榄大峡谷-天坪服务区】（这段为行车观光游道，车程约1小时，其中烂漫春花是春季赏花的观景处，观赏时间为2月上旬至5月中旬）-【不老松-神女峰-仙人台-金龟瀑布】（这段为步行游道，约1.5小时走完，这一段森林密布，空气质量十分棒）-【天书草坪-爱心草坪-北回归线标志-腾龙叠水-石英矿脉】（这段为行车3公里结合步行1.5公里的道路，主要是看大草坪与北回归线标志）。二日游：可以把一日游的最后一段步行加行车的路线放在第二天，这样会没有那么累，然后加上白天半天的观日行程，也就是橄榄服务器到飞鹰峰的一段，其中飞鹰峰也很适合拍云海，而观日点在望兵山。三日游：可以在二日游的基础上加上休闲的游湖步行段，就是沿着龙湖的步行道，大约行程30分钟，主要游览青山、绿树与湖泊相衬的美景。路程不长，相对走起来比较轻松，可休整放松下心情然后下山。,https://dimg04.c-ctrip.com/images/0105l120005wow1xiD880.jpg
南宁,南宁动物园,8812,22.834998,108.268559,4.4,南宁动物园位于南宁市西乡塘区大学西路3号，也叫西郊公园，这里自然环境优美，非常适合带孩子来踏青或是看动物。在这里不仅可看到黑叶猴、犀鸟、大熊猫、白虎、双峰骆驼等珍稀动物，还可体验各种游乐设施和水上乐园。游乐园就在动物园内，还有刺激的大摆锤、跳楼机和过山车，有兴趣的话可以去尝试一下。,https://dimg04.c-ctrip.com/images/0105912000lhc0buk1918.jpg
南宁,南湖公园,8804,22.809107,108.354103,4.7,南湖公园位于南宁市区东南，是一座围绕着南湖而建的开放式公园。公园内植被茂盛，可以看到来自全国各地的中草药植物以及许多国外名树。人们还可在南湖中泛舟，或是沿湖散步，晚上则可欣赏美丽的南湖大桥夜景。南湖公园的环境非常好，整个公园有四分之三为水面，湖水清澈，湖上有长堤和九拱桥，每天都有许多市民来公园锻炼。而公园也拥有城市中难得的迷人风景，这里的植被四季常青，同时有宽阔的湖泊和高楼大厦作背景，夜晚的景色也非常好看。公园内有三个“园中园”，即中草药圃（可见到从全国各地采集来的200多种名贵中草药）、盆景园（即四季果园、百花园）和兰花圃（有夏惠、剑兰、墨兰及火焰兰等名贵花种）。公园内还有李明瑞烈士纪念馆、名树博览园等景点。,https://dimg04.c-ctrip.com/images/0101i1200089gyon6BDF8.jpg
南宁,邕江,122743,22.758272,108.177216,4.6,邕江源于珠江支流，它由西向东横穿整个南宁市，将其分为南北两部分。邕江在南宁城内蜿蜒而过，游人可漫步于江畔绿地，欣赏两岸优美风光，夜晚更可欣赏城市夜景，感受南宁的繁华。邕江全长133.8公里，它水量充沛，是南宁城市供水的主要来源，因此也被称为南宁的“母亲河”。邕江流经市区的河段两岸建有民生广场、邕江一桥江滨休闲公园、荔园滨水公园等多处滨江绿地，是市民与游客们的观江休闲好去处。而著名的青秀山景区也坐落于邕江江畔。,https://dimg04.c-ctrip.com/images/100m12000000rzygc358E.jpg
南宁,花花大世界,20304,23.012387,108.275921,4.3,花花大世界位于南宁北部、武鸣城区的南部，是一座规模较大的植物园，四季来此都可以欣赏到各种花卉，是名副其实的花的世界。同时这里也饲养者黑熊、梅花鹿、鸵鸟等许多动物，可以亲手逗喂它们，非常适合亲子游。花花大世界园区依山傍水、环境优美，植有大片的植物与花卉。这里一、二月份有薰衣草、油菜花，三月有桃花，四月有洋紫荆，五月和十月有向日葵，六月有紫薇，九月有木芙蓉……几乎每个季节来都能看到大片的绚彩。景区内还有植物迷宫、科普长廊、地景园、潭王水库等景点，景观非常丰富。另外还设有果果乐园、花花超市，可让游客体验采摘，并可购买采摘的草莓、葡萄、香瓜等水果，以及小型的植物盆栽。喜欢拓展活动的游客还可结伴去户外拓展乐园体验真人CS。,https://dimg04.c-ctrip.com/images/100f0r000000hcgiw3393.jpg
南宁,南宁人民公园,8807,22.828595,108.330936,4.5,人民公园位于南宁市区北部，是南宁有名的城市公园。公园内有碧波荡漾的白龙湖，还有革命烈士纪念碑等景点，游人可登上镇宁炮台俯瞰周边城区，而广西自然博物馆也紧邻公园。人民公园面积较大，园中有一座小山坡“望仙坡”，顺着141级台阶登上望仙坡顶，可见到一座巨石砌就的二层环形城堡（镇宁炮台），此处也是俯瞰南宁城区的好地方。在望仙坡的南面是一汪碧绿的湖泊，名为白龙湖，湖心有小岛，岛西的九曲桥和岛北的三孔月桥将岛与湖岸相连，精致盎然。公园北侧的革命烈士纪念碑，是于1956年所立，是纪念大革命时期、抗日战争时期、解放战争时期为南宁的解放和新中国的建立英勇献身的革命先烈的历史丰碑。此外，公园东南还设有许多老少皆宜的游乐设施。,https://dimg04.c-ctrip.com/images/100t1f000001gqblj8596.jpg
南宁,广西药用植物园,8809,22.853762,108.377012,4.5,广西药用植物园坐落在南宁北郊，这里不仅植被茂盛，也种植着各种各样的药用植物。在这里你可以见到两面针、草珊瑚等平时听说过的草药植物，更可见到许多闻所未闻的药用植物，令人大开眼界。植物园园区很大，建议从西门（2号门）进入，它靠近科普园。除了西门外，园区还有南门（1号门）及北门（3号门）。从南门门口走到科普园大约15分钟左右的路程。从西门进入后，会顺序经过药园纪念林、药物馆、广西特产药物区，验方长廊、科普园等。科普园以李时珍的《本草纲目》为蓝本，分为木本药物区、《本草纲目》草部展区、藤本药物区等区域。草部是方便和值得仔细观赏的一处，你可以找到熟悉的两面针、草珊瑚、金花茶等植物。有趣的是里面的百病主治验方长廊，它按照人体系统疾病对植物进行分类，游客都可以试着找找有没有适应自身病情的植物，以便“对症下药”。过了科普园就是往出口方向，依次有濒危药物区、荫生药物区、民族药物区、药用动物区等多个特色区域。动物区一般小朋友会很喜欢，可以看到很多梅花鹿，还有鸵鸟等动物。园内还有一个药用植物博览中心，客厅里展示着几十种草药，进去后全是在泡脚的，可能是指用草药泡脚，很多游客会坐下在这里休息下泡个脚。整个植物园内林木苍翠，藤蔓纵横，到处都是一片的绿色，加上棚架点缀其间，空气特别的清新。来这里逛逛，还能增长些药用植物的知识。,https://dimg04.c-ctrip.com/images/0100212000j2p39fw8C5E.jpg
南宁,伊岭岩,8856,23.03965,108.296517,4.3,伊岭岩位于南宁北部、武鸣城区南部，是南宁周边有名的一处喀斯特溶洞。整个岩洞的形状像一个海螺，分为三层，其中游道曲折迂回，层层叠叠的柱幔和林立的石笋，给人扑朔迷离的感觉。景区内的游览，要全程在景区导游的带领下进行，无需另外付费。不过散客可能需要在大门口等待，凑够人数了统一入洞，一般等待时间在半小时左右。洞外游览大约需要一小时，可以游览一个人造的壮寨，听导游讲讲壮族风情。若是遇到喝米酒的环节，可能需要准备些零钱。寨子的尽头是岩洞游览大约也是一小时，因为每参观一处景点会关灯，再开下一个景点的灯，所以参观途中务必跟紧导游，他会指点你每一处值得一提的景观，以及与之相关的传说故事。溶洞中，较大的地方可容上千人，较小的地方仅容一人通过。游过岩洞，也可去观赏壮族歌舞表演，参与跳竹竿舞之类的体验项目。,https://dimg04.c-ctrip.com/images/0105n1200094joybdB8BC.jpg
