city,名称,id,纬度,经度,评价分数,介绍,封面图片
合肥,李鸿章故居,20461,31.86453,117.291285,4.6,李鸿章故居位于合肥市繁华的淮河路步行街中段，是典型的晚清江淮地区民居建筑。李鸿章出生于合肥，是晚清军机重臣，他的五个兄弟也身居高位，当时李家住宅有“李府半条街”之称，可惜现在仅寥寥几间屋子，面积不到原来的十二分之一。故居中精美的木头雕花令人赞叹，而各厅堂中关于李鸿章的展览，令人对其毁誉参半的人生唏嘘感叹。故居的建筑由南到北依次为大门、前厅、中厅、走马楼（小姐楼）。前厅有“李鸿章生平展”，用图文介绍加实物陈列的方式介绍了李鸿章“少年科举，壮年戎马，中年封疆，晚年洋务”的一生。中厅名福寿堂，是接待客人的地方，按客厅模样布置，屋中的木头家具和每一扇窗户上都有漂亮的图案，中厅的东西两厢是书房。中厅和走马楼之间的过厅有“李鸿章墨宝展”，可以欣赏李鸿章苍劲有力的书法。走马楼是整个故居的精华，为“回”字型木楼，一楼有“李鸿章与招商局”展览，二楼是小姐们的闺房。走马楼后一进楼上的绣床、梳妆台、圆凳都用红木制成，绣床尤其名贵，据说是用整棵树雕成的。故居木头雕花精美，门罩、床、台、凳上面全部都有精细的花纹。二楼东首据说是李鸿章幼女即张爱玲祖母菊耦的住所。在故居主体建筑的东侧是陈列馆，布置了“淮系集团与中国近代化”展览，介绍李鸿章领导的淮军，陈列着当时淮军的铠甲、武器，还有用满汉两种文字书写的五色圣旨等。,https://dimg04.c-ctrip.com/images/tg/917/303/677/c50ef065676b443fa70542ed8338a4fc.jpg
合肥,包公园,66484,31.857302,117.294108,4.6,包公园是为纪念北宋清官包拯而建，属国家4A级旅游景区。整个包公园占地34.5公顷，水域面积15公顷，总体布局为开放式，由包公祠、包公墓、清风阁、浮庄等景点组成。包公园是首批廉政教育基地、海峡两岸交流基地、中国华侨国际文化交流基地，园区内以“历史包公－文化包公－文物包公”为主线，从不同的角度，用不同的形式，展示了包公 “忠、孝、清、廉”的一生。包拯字希仁，人尊称为“包公”，于公元999年出生于安徽合肥，1062年去世于河南开封，死后谥号为“孝肃”。 ,https://dimg04.c-ctrip.com/images/01058120005wqx3of7F29.jpg
合肥,逍遥津公园,10536,31.869035,117.294976,4.5,逍遥津公园位于合肥老城区东北角，古为洲水渡口，有桥津可渡，明清时期该园曾是官僚地主的私家花园，先后为窦、王、龚几家霸占，后经近代精心修葺经营，逍遥津成为合肥市内一所环境优美、景色宜人的综合性公园。全园以水系自然地分为东西两园。园内景点密集，东园为青少年活动区和儿童乐园，丰富多样的娱乐设施，特别适合亲子旅游。东南角是动物园，有珍禽异兽和千姿百态的水族，不过现在大多动物现已迁入合肥市野生动物园。东北角还有供游人品茗小憩的蘧庄和摇桨荡舟的游船码头。西园则以植物造景为主，有梅花山、牡丹园、杜鹃园、藏幽园、盆景园、独秀峰等胜景，结合各种奇花异草、假山怪石、水榭回廊、楼台亭阁等，让人在园中漫步，感到无比舒心放松。在逍遥津公园西边，靠近张辽墓附近，常常有些许庐剧爱好者聚在一起演唱庐剧。他们的声音很有穿透力，当你离他们尚有一段距离时，就可以听见咿咿呀呀唱戏的声音，寻着这戏曲而声前进。就能发现也许在树下、也许在路边、也许在小亭子里拉请唱戏的爱好者们。你也可以上前与他们攀谈一番，或许还能有机会学上两句。,https://dimg04.c-ctrip.com/images/1lo5312000hmz3gl3D149.png
合肥,徽园,64781,31.78339,117.218762,4.0,"徽园位于合肥经开区繁华大道，以微缩景观呈现安徽16市人文精华，建议从东门入园顺时针游览。铜陵青铜雕塑群与黄山微缩迎客松值得驻足，滁州醉翁亭复刻版适合拍摄汉服照片。

园区西侧设有互动体验区，能观摩宣纸制作和歙砚雕刻演示。北门附近的三河古镇微缩景观区，米饺摊现做现卖，建议搭配合肥特色sa汤食用。园内自动售货机分布稀疏，建议自备饮用水。

地铁3号线直达徽园站，D出口步行即达。自驾游客可将车停放在正大广场停车场，步行过天桥更便捷。春秋季建议选择多云天气游览，夏季部分景观区树荫较少，需做好防晒。由于园区较大，建议穿着舒适的步行鞋。",https://dimg04.c-ctrip.com/images/0106712000j5j3x80474A.jpg
合肥,安徽省博物馆老馆,10964,31.863487,117.275133,4.7,老馆外观仿苏联风格，馆内有两个基本陈列“潘玉良美术作品陈列”和“安徽古生物陈列”，小孩子对各种古生物化石会更感兴趣。“潘玉良美术作品陈列”，遴选出潘玉良各类代表性作品，分为序厅、油画、彩墨.国画、素描.版画.雕塑四大部分进行展出，同时展出潘氏生前所穿旗袍、展览海报、获奖证书及大量的生活照片等相关资料，全景式地反映出潘玉良的艺术人生。“安徽古生物陈列”，在普及古生物学相关学科知识的基础上，以安徽地区发现的中生代、新生代古生物、古人类化石、旧石器文化为主体，结合有关资料，向人们展示生物进化的历史，是广大观众、尤其是大、中、小学生科普教育的良好课堂。,https://dimg04.c-ctrip.com/images/0105x12000iv9a36nD20D.jpg
合肥,合肥融创水世界,1942065,31.702192,117.30387,4.4,合肥融创水世界以别具一格的夏威夷风情为主题，由富有传奇色彩的火山区、极具热带风情的天堂岛区和活力激情的冲浪区三个功能区组成。水世界内设有国内室内超长水磁过山车、双层漂流河、室内大喇叭组合等13台水中娱乐设施，以及动感十足的非洲鼓舞、极具夏威夷风情的特色表演、展现力与美的空中杂技和小朋友们很喜欢的海洋朋友互动演艺等，让你尽享四季皆宜、无比欢乐的嬉水体验。较为刺激的项目是自由落体，能够让你真实的感受到坠落的感觉，整个过程过得很快。在大口径的室内大喇叭滑梯中，感受高速滑入水中的刺激。水磁过山车和双层漂流河也是与同伴必体验的玩乐设施，同时乐园内还有表演可供欣赏。如果要进餐，在进园前或进园后，门口有多类餐厅可选；一进园，建议先去玩玩刺激项目，喜欢的话可以多玩几次，玩累了再去池中泡一泡，游游泳；跳跃类项目注意自我保护，跳跃姿势等，避免受伤。体验逍遥天河（漂流河）项目需租赁皮筏体验，收费标准:20 元/人/次，皮筏仅限逍遥天河项目体验,https://dimg04.c-ctrip.com/images/100s0x000000la43h9C8C.jpg
合肥,合肥植物园,1415486,31.872023,117.202095,4.5,合肥植物园地处合肥市蜀山风景区，西北环绕蜀山湖，是一座三面临水的半岛，还是合肥市的天然氧吧和绿色之肺，可以去赏花、踏青、烧烤。合肥植物园只有一个入口，步入植物园，道路笔直宽阔，两旁种植的是合肥市市树——广玉兰，然后进入水景园，种植了沼泽、湿地植物和水生植物，还有假山瀑布、亭榭等景观，这里的荷花品种很多，如冰心、雨露粉珠、佛莲座等；它的南面是园林植物示范区，可以看到草坪上各种修剪出奇特造型的植物造型，非常有趣。它的西面是竹园，生长着斑竹、金镶玉竹、慈孝竹等竹类植物；它的北面是梅园，栽植着上百种梅花和腊梅。梅园往西就是桂花园，每到桂花飘香的季节，园内金桂、银桂、丹桂、四季桂等花香气四溢，沁人心脾，闻之欲醉。另外还有木兰园、石榴园、秋景园、盆景园等专类园，种植就不同种类的花卉，以及三叠泉、湖滨绿色走廊、艺梅馆等景区游览。合肥植物园可谓“月月有花看，四季有花展”，就算你随心而欲来游园，也能欣赏到花卉。每月有主打花卉，每个季度都有花展。春季系列花展（2月-4月）：梅花、杜鹃、郁金香、玉兰；夏日赏荷游园会（6月-8月）：荷花、睡莲、碗莲；秋季花展（9月-10月）：桂花、菊花；冬季花展（11月-1月）：水仙、蜡梅。在园内赏花之时，可以选择租园内电瓶车或四轮自行车游园，驾着电瓶车或自行车体验在绿色植物王国中自由驾驶的乐趣。电瓶车价格为60元/小时，四轮自行车为40元/小时。另外，园内的露天烧烤很受欢迎，周末约上几个朋友、家人或学校学生都可以。烧烤区位于植物园里面的半岛上（即休闲岛），可自带食物和调料等（园内烧烤食物稍贵），烤炉需直接租用园内的，不能自带，烤炉价格分别是100-200元不等。另，碳都是一次加好的，烧完是不加碳的，如果需要再加碳是需要再另租一个炉子，建议也可自带一些碳。这里还需押约50元的环境保护费给管理处，需烧烤完找保洁阿姨将烧烤区域的卫生搞好后，签个字，就可以退带押金。除了赏花烧烤外，还可以游船，欣赏水绿相接之美景；还有儿童游乐场，孩子们可以尽情的玩耍。,https://dimg04.c-ctrip.com/images/0106012000f97vfpf9ACE.jpg
合肥,合肥融创乐园,1941985,31.696821,117.305011,4.2,合肥融创乐园将徽派优秀文化精髓与现代科技完美结合，拥有徽州古韵、梨园春秋、欢乐水乡、巢州古城、梦蝶仙境、淝水之战六大主题区域，是一座大型徽文化主题乐园。园内有立环过山车“白龙飞天”，中国首台断轨过山车“龙虎争霸”，以及跳楼机等20多个游乐设备；有梦大型室外剧场“淝水之战”主题剧场；有极具徽文化特色的主题花车大巡游；同时荟萃世界各地的饕餮美食精选、琳琅满目的精美商品和别具风情的节目表演。园区内还有各类美食小吃、特色餐厅，玩乐美食两不误。推荐项目白龙飞天，时速超过125公里，高点可达56米，在高空和高速之间奋力尖叫；断裂式双轨过山车“龙虎争霸”，两套列车同时提升至轨道顶点，通过独特的断轨翻转技术同时翻转，以大于70km/h的时速同时俯冲，给你足够的惊险与刺激；还有花车巡游，给你带来一场真正的视觉盛宴。,https://dimg04.c-ctrip.com/images/1lo1r12000b0f5ql039EA.jpg
合肥,合肥野生动物园,66990,31.8352,117.168006,4.3,合肥野生动物园位于大蜀山的西南麓，借着大蜀山良好的生态环境，动物园内同样林木葱郁，地势蜿蜒起伏。整个园区面积很大，动物品种很全，但是有些品种的动物数量不多，由于合肥本身的有名旅游景点不算多，像这样适合亲子游的地方，到了节假日也是人声鼎沸。你可以买饲料喂食温和的小动物，漫步独特的高架桥俯看散养的猛兽，还能欣赏精彩的动物演出。动物园有东、西两个大门，在东门停靠的公交车更多一些。春秋季是较好的参观季节，动物比较活跃，比如春天是求偶的季节，更容易看见孔雀开屏，夏冬季动物则喜欢躲起来呼呼大睡。开饭时间看动物很有意思，饲养员会逗着它们做各种表演动作。从东门进入，经孔雀园，来到食草动物区，能看见珍贵的麋鹿、呆萌的羊驼等动物。不要错过企鹅馆，隔着落地玻璃，企鹅就在游人的眼前游泳。在西边的百鸟园近距离接触鸟类，买点饲料，可以让天鹅、鸭子在你手心啄食。灵长类动物环绕着百鸟园，只有巴掌大小的松鼠猴、大花脸山魈、聪明的黑猩猩、近百只日本猴，总是让游客忍俊不禁。园区的北部主要饲养大型猛兽。东侧的观景高架桥供游人行走，桥下东北虎、非洲狮自由自在地散着步，运气好的话，能看见黑熊和小鹿生活在一起的“合肥野生动物园有名的场景”。,https://dimg04.c-ctrip.com/images/0104l1200087v7d5j3919.jpg
合肥,合肥海洋世界,64786,31.780834,117.215277,4.5,"合肥(尧泰汉海)海洋世界坐落于合肥市经开区繁华大道321号，是集海洋科普教育、海洋生物研究、驯养和展示、休闲娱乐为一体的大型海洋公园，AAA级旅游景区。由新加坡尧泰汉海文旅集团（Andover）与合肥市经开区辖下海恒集团合作共建的大型海洋生物工程，占地总面积32亩，建筑面积20000平方米，一期投资15,000万元，二期投资8,000万元，总投资为23,000万元。合肥(尧泰汉海)海洋世界以水为主线，向您展示不同水域的不同物种之间的奇妙联系，展示生命的奇妙和谐的生存方式。您的旅程会经过溪流、湖泊、雨林、江河直到广阔的海洋，近距离观赏到各种有代表性的动物以及它们的栖息环境，从而体会到大自然生命的和谐。继一期工程——海洋世界完工以来，合肥海洋世界已完成二期工程——大型海豚剧场，拥有乌克兰欢乐跳水秀、海狮、海豚表演，每场可容纳约1500人同时观看。合肥(尧泰汉海)海洋世界拥有成千上百种海洋生物，五大表演：海洋剧场（欢乐花式跳水秀、海狮海豚表演）、群鱼风暴、美人鱼表演、人鱼启源-水中芭蕾、鳐鱼秀，受到广大市民欢迎！",https://dimg04.c-ctrip.com/images/0101l120008gcgso9B569.jpg
