city,名称,id,纬度,经度,评价分数,介绍,封面图片
哈尔滨,红专街早市,1674265,45.772281,126.614882,4.3,红专街早市位于黑龙江省哈尔滨市道里区，地处中央大街商圈，是体验地道东北风情与城市烟火气的热门之地。早市以通江街至经纬街之间段为核心区域，全长近500米，涵盖特色早餐、小吃、饮品及生活用品等多元品类。作为哈尔滨冬季旅游的“网红打卡地”，这里不仅有金黄酥脆的锅包肉、鲜香多汁的肉包子等传统东北美食，还涌现出玫瑰豆沙馅油炸糕、巧克力油条等创新小吃。早市营业时间集中在清晨，游客可在此感受东北人特有的热情与幽默，品尝冻梨、冻柿子等特色冻货，选购花棉袄、棉手套等民俗商品。周边毗邻索菲亚教堂、松花江铁路大桥等景点，适合搭配游览，深度体验冰城文化。,https://dimg04.c-ctrip.com/images/1me1512000arcdlty389C.jpg
哈尔滨,中央大街,7712,45.775255,126.618554,4.8,来到中央大街一定要去尝尝地道的俄式西餐，以及大名鼎鼎的马迭尔冰棍。这条拥有超过百年历史的商业街荟萃着许多经典的欧式建筑，也开满了各种百货商店，每到夜晚整条街被灯光渲染得流光溢彩，是哈尔滨必体验之地。中央大街北起松花江畔的防洪纪念塔、南至经纬街，在这条由方石铺成的步行街两侧，坐落着众多文艺复兴、巴洛克等各种风格的欧式建筑，充满了浪漫色彩。而冰雪节期间的大街上随处可见有趣的冰雕和雪雕，等着你来与它们合影。中央大街的各种大型百货商店，总吸引着无数爱逛街的人。知名的华梅西餐厅、波特曼西餐厅等俄式西餐厅，以及美味的马迭尔冰棍是众多游客慕名而来的理由，另外这里还有俄罗斯工艺品商店、秋林食品等专卖店。中央大街北端即是防洪胜利纪念塔，夏季的松花江畔很适合散步，而冬季冰封的江面上则有乘马车、玩雪圈、滑冰等丰富活动。在中央大街中段向东可到冬季冰灯游园会的举办地——兆麟公园，而从大街的南段向东即可到圣索菲亚大教堂。,https://dimg04.c-ctrip.com/images/100w14000000x603fA358.jpg
哈尔滨,哈尔滨冰雪大世界,20017,45.780606,126.562615,4.4,中国·哈尔滨冰雪大世界始创于1999年，是由哈尔滨市政府为迎接千年庆典神州世纪游活动，凭借哈尔滨的冰雪资源优势，而推出的大型冰雪艺术精品工程，年接待游客超过百万人次。景区先后获得具有影响力冰雪旅游目的地奖、青少年喜爱的龙江冰雪景区、龙江佳旅游目的地、中国旅游产业投资百强企业、黑龙江文化产业十大品牌、首届黑龙江省政府质量奖等诸多荣誉。如今的哈尔滨冰雪大世界，早已成为哈尔滨亮丽的城市名片、国内冬季热门的景区、国际知名冰雪旅游品牌。,https://dimg04.c-ctrip.com/images/1lo3r12000irszr11A407.jpg
哈尔滨,圣索菲亚大教堂,7705,45.770085,126.627295,4.7,圣索菲亚大教堂始建于1907年，是目前中国保存较为完整的拜占庭式建筑，在1997年就更名为“哈尔滨市建筑艺术馆”，但无论是当地人，还是外地游客，更愿意称它为“圣索菲亚大教堂”。这座教堂较为引人注目的部分是那饱满而巨大的洋葱头式大穹顶，这种典型俄罗斯建筑风格的屋顶形式，宏伟壮观，可以同莫斯科的瓦西里升天大教堂相媲美。教堂的墙体采用清水红砖，大穹顶周围是四个大小不同的帐蓬顶，四个顶下的楼层之间有楼梯相连，整个教堂前后左右有四个门出入。教堂改建成艺术馆后，进行了内部改建，通过展示近千幅图片和城市规划沙盘，反映了名城哈尔滨的历史、现状与未来。不过改建后，原有的格局被改变，作为教堂的功能也已经消失了。教堂前的广场有“广场鸽”，还设有大型音乐喷泉，有很多人喜欢在这里拍婚纱照。与白天相比，教堂的夜景更美丽，每当夜幕降临时，在灯光的衬托下，教堂越发显得雄伟神秘，充满异国情调。而在冬季，漫天飘雪时，雪中的圣索菲亚大教堂宛如童话里的城堡，十分梦幻。,https://dimg04.c-ctrip.com/images/100s0z000000ng5sn3ED6.jpg
哈尔滨,松花江,7715,45.784135,126.61302,4.8,松花江流经哈尔滨市区的这一段，早已成为这座城市的重要景观。每到冬季，冰封的江面上便成了人们的游玩胜地，可以在江上体验坐马车、玩雪圈儿等活动，而夏季的松花江畔也是人们纳凉散步的好去处。松花江是黑龙江较大的支流，东北地区的大动脉，本身也有两条主要支流。其一为源于白头山天池的第二松花江，另一为源于小兴安岭的嫩江，两条支流在扶余县汇合始称松花江，折向东北流至同江县注入黑龙江。在冬季，冻得结结实实的松花江冰层大约有半米多厚，冰面上可以走人和马车，有积雪时踩上去软绵绵的。哈尔滨市内的这段江面宽约100多米，在靠近防洪英雄纪念碑的江面上有滑雪圈、滑冰道、打冰嘎、开雪地坦克、骑冰上自行车等游乐项目，大人小孩都可以体验。,https://dimg04.c-ctrip.com/images/100i12000000skvaoBD2C.jpg
哈尔滨,哈尔滨极地公园·海洋馆,48182,45.78508,126.587183,4.6,哈尔滨极地公园是中国为数不多的原创型文旅度假区。园区场馆建筑设计、总体规划、产品创意等均由公司自有团队创意设计并研发。项目位于旅游风景区太阳岛，总投资额十亿元人民币，是中国以极地主题表演秀与科普互动体验为核心的文旅度假区，是中国极地海洋馆业著名品牌，是黑龙江打造的一张旅游名片。园区包含极地馆、海洋馆、淘学企鹅馆、北极熊体验馆、异宠馆五大场馆；打造白鲸秀、海豚秀、冰川极光秀、海象脱口秀、企鹅表演、水舞、鳐鱼表演七大主题表演。,https://dimg04.c-ctrip.com/images/0105o120009ddn56d0E8E.jpg
哈尔滨,防洪纪念塔,7708,45.780588,126.617222,4.7,防洪纪念塔位于中央大街北端的广场上，它是哈尔滨地标建筑之一。这座纪念塔外形宏伟，它的建筑设计充满了浓郁的俄罗斯风格，加之它所在的位置较为宽阔，因此成为游客们热衷留影的景点。防洪纪念塔全称为哈尔滨市人民防洪胜利纪念塔，它的后面就是松花江。1957年哈尔滨遭遇特大洪水，全市人民与驻地官兵共同努力战胜了洪水，于次年建立此塔以志纪念。纪念塔为圆柱体，塔高22.5米，塔身以浮雕方式描绘了当年战胜洪水的生动情节。塔顶是工农兵和知识分子形象的圆雕，展现了战胜洪水的英雄形象。塔身底部设11个半圆形水池，其水位即1957年高水位标志。塔后是古罗马式回廊，环立着20根圆柱，与纪念塔融为一景，谐调壮观。,https://dimg04.c-ctrip.com/images/10070z000000npvos2A49.jpg
哈尔滨,东北虎林园,7707,45.817457,126.600505,4.6,因野生东北虎的生存环境不断恶化，1986年我国政府为保护濒危物种东北虎，在黑龙江省海林市横道河子镇成立了中国横道河子猫科动物饲养繁育中心（以下称“中心”），这是我国一家以异地保护东北虎为主的人工饲养繁育东北虎基地，从此开始了长达三十多年的人工饲养繁育和科研保护东北虎之路。1996年，为了更好的保护这些东北虎，“中心”在哈尔滨市成立了黑龙江东北虎林园，通过开发利用东北虎的旅游观赏价值，用“以虎养虎”的方式，支持东北虎的保护、科研和野化训练工作。黑龙江东北虎林园坐落于松花江北岸，占地面积约144万平方米，国家4A级旅游景区，目前，该园是全国大的人工饲养和繁育东北虎基地，有纯种东北虎近千只，是一家集东北虎饲养繁育、科研保护、科普教育和旅游观光为一体的综合性企业。东北虎又称西伯利亚虎，是现存体重大的猫科动物，成年东北虎体长为1.2米-2米，尾长约1米，体重100-200公斤，甚至可达320公斤左右。东北虎主要分布于中国的东北地区及俄罗斯的西伯利亚地区。东北虎的头大而圆，前额上有数条黑色横纹，中间常被串通，形似“王”字，故有“百兽-之-王”之美称。其夏毛短而色深，呈棕黄色，冬毛长而色淡，呈黄色或淡黄色，背部和体侧有许多横列黑色条纹，常两条靠拢成柳叶状。耳短圆，背面黑色，中央带有一块白斑。下颏、腹部及四肢内侧近白色，尾上具有黑色环纹，尾尖黑色。它厚厚的皮毛，能抵御-45℃的低温。东北虎栖居于森林、灌木和野草丛生地带。独居，无固定巢穴，具领域行为，多在傍晚或黄昏活动。感官敏锐，生性凶猛，行动迅捷，善游泳。捕食大中型哺乳动物，偶食小型哺乳动物和鸟。 东北虎是生态系统中的旗舰物种，国家保护动物，以它特有的雄姿和风采给人们带来快乐和回归自然的享受，保护好东北虎是人类与自然和谐共处持续发展的需要，也是践行生态文明建设理念的具体体现。,https://dimg04.c-ctrip.com/images/0102t12000f6trxe5E30D.jpg
哈尔滨,太阳岛风景区,7700,45.790862,126.597713,4.5,历史起源太阳岛风景区是位于哈尔滨市区松花江北岸的江心小岛，早年满族在此渔猎，松花江盛产鳊花鱼，在满语中这种鱼的叫法和汉语“太阳”的发音极为相似，久传至今，就被称为太阳岛了。清代康熙年间，太阳岛就被作为水师营被开发利用，后来被清朝政府作为水师查兵和训练的基地。随着中东铁路的修建和前苏联十月革命的成功，大量的俄国和欧洲的侨民涌入哈尔滨。他们被太阳岛上的自然景色，美丽风光所吸引，在岛上修建房屋，建造度假的别墅餐厅，游玩娱乐的各种设施，并在这里狩猎、钓鱼、野餐、野浴，这些充满异国情调的建筑也成为了太阳岛上独特的人文景观。景区亮点#纯粹的郊野风光#太阳岛自然风景异常秀美。全岛碧水环抱，水光潋滟，原野风光粗犷中带着质朴。公园内的天鹅湖、太阳瀑、水阁云天、松鼠岛等景观，更是将人与自然和谐演绎的淋漓尽致。#精美的俄式建筑#在岛上存有大量欧式别墅建筑，是俄国人夏季避暑的场所，这些建筑小品掩映在满眼绿色的林木之中，唯美而极富情调。园内还有体验俄式民俗的俄罗斯风情小镇，是遗存在岛上的上十栋俄式木楞房子修缮的。,https://dimg04.c-ctrip.com/images/1lo4c12000kvltjev4E53.jpg
哈尔滨,伏尔加庄园,91334,45.673502,126.902885,4.5,伏尔加庄园位于哈尔滨近郊阿什河畔，占地60多万平方米。是以哈尔滨历史为依托，俄罗斯文化为主题的国家AAAA级文化旅游景区。庄园始终倡导“有文化才能长远，有品位才有价值”的经营理念，为游客打造文化的胜地、度假的庄园。庄园可同时容纳1000人用餐、800人住宿，为游览观光、休闲度假、展览展示、商务会议、研学旅行、婚礼庆典、户外运动等项目提供优质的服务。,https://dimg04.c-ctrip.com/images/1lo1t12000jgz38n28256.jpg
