city,名称,id,纬度,经度,评价分数,介绍,封面图片
太原,晋祠博物馆,50464,37.70891,112.441733,4.8,晋祠位于太原市西南25公里处悬瓮山麓的晋水之滨，是后人为纪念晋国开国诸侯唐叔虞而建的祠宇，晋国的宗祠。素有“不到晋祠，枉到太原”的说法。在晋祠下车后，首先到达的是晋祠公园，这是一个免费的公园，环境不错，可随意看看。步行约10分钟，穿过公园便可到达晋祠的主体区域。景区内，晋祠“三宝”（献殿、鱼沼飞梁、圣母殿）和“三绝”（周柏、难老泉、泥塑彩绘人像）是每一个来到晋祠的人都不可错过的景观。晋祠“三宝”是连在一起的，位于晋祠的中轴线上，可一并游览。献殿是供奉祭祀品的场所，四面的墙壁是栅栏状的，通风凉爽。特别的是，整个殿内的梁柱上没有用一颗铁钉。鱼沼飞梁位于献殿前，建于宋代。整个景观造型类似现代的立交桥，是国内现存古桥梁中仅有的一例。“飞梁”的一端连接着圣母殿，圣母殿是晋祠现存较早的主体建筑。大殿内很宽阔，有梁无柱是一大看点，殿前8个廊柱上雕刻着8条跃跃欲飞的木雕盘龙，连同“鱼沼飞梁”显得颇有气势。以圣母殿为中心，很容易找到“三绝”。彩绘泥塑人像就在圣母殿里，主像圣母端坐在木制神龛内，端庄华丽，其余42尊侍从分列两侧。这些塑像衣着艳丽，表情各异，其中有一尊花旦装扮的侍女，半面欢喜半面忧愁，让人看后心情也不禁五味杂陈。梅兰芳大师曾在这尊侍女前伫立良久，仔细品味她的动作和内心，并且大加赞赏。周柏位于圣母殿北侧，植于西周，已有3000多年历史。难老泉位于圣母殿南侧，晋水的源头就从这里流出，长年不息。除此之外，晋祠内还有唐太宗李世民亲自撰写并手书的《晋祠铭》碑，非常珍贵。最南部还有十方奉圣禅寺，相传原为唐代开国大将尉迟恭的别墅。祠北浮屠院内有舍利生生塔一座，登塔远眺，晋祠全景历历在目。,https://dimg04.c-ctrip.com/images/0106t12000a434k2hB478.jpg
太原,山西博物院,66076,37.865427,112.531304,4.8,“五千年历史看山西”，位于太原市滨河西路的山西博物院，荟萃了山西文物的精华。山西博物院由主馆和四角辅楼组成，其中主馆外形像斗又像鼎，是游客参观院内藏品的主要场所。主馆共有四层，一层大厅设有总服务台，第二、三层设有历史文化专题展，第四层设有艺术专题展，这些展览构成了山西博物院的基本陈列。步入一层大厅后，沿着楼梯来到第二层，从这里开始以“晋魂”为主题历史之旅。历史文化专题展，从远古时期古人类的遗迹，直到明清的晋商五百年盛衰，通过众多的文物珍品，展示了山西在五千年文明进程中的精彩之处。在游览时，几件精品文物一定不能错过。鸟尊，西周时期的青铜器，晋侯宗庙祭祀的礼器。鸟尊的造型极为精巧，以凤鸟为主体造型，在凤鸟的腹背上有一只小鸟，用作鸟尊器盖上的捉手。凤鸟的尾部，有一只大象，长长的鼻子恰到好处地与凤鸟的双足形成三足鼎立之势，保证了鸟尊的稳定性。这件藏品是院内所藏青铜器的代表作。此外，你还能观赏到：侯马盟书，春秋时期晋国卿大夫举行盟誓的约信文书；木板漆画，北魏时期的漆画屏风，绘有彩色的《列女传》故事；汉白玉石椁，隋代文物，墓主人是当时的中亚鱼国人，石椁内外都有图案雕刻，图案中的人物深目高鼻黑发，属于地中海高加索人种。在文化专题展中，还可以了解到佛教和传统戏曲在山西的起源或发展。在主馆的第四层，设有艺术专题展区。其中的《土木华章》——古代建筑艺术专题展，体现了山西作为文物古建大省的一面。“地上文物看山西”，山西有“中国古代建筑宝库”的美誉，拥有国内一半以上的地上古建筑，门类齐全，尤以宗教建筑数量众多。如果你是古建粉丝，这里一定要来看看。博物院还会不定期的举办一些临时展览。在一层大厅服务台，博物院提供了聘请讲解员（中英文）和租借讲解器的服务，讲解员的费用：100元（10人以内，1个小时）。在博物院的主馆内还设有餐厅和茶舍供游客使用。,https://dimg04.c-ctrip.com/images/100u1f000001gq9bh9986.jpg
太原,柳巷,133729,37.869515,112.567808,4.5,位于太原市的柳巷，是太原历史悠久、较繁华的商业街，具有三百多年的商业历史，这里承载了当地几代人的记忆和梦想，成为一种挥不去的情节，这里也是外地游客在太原的必游之地。柳巷据说是太原较古老的街巷，传说明朝初年大将常遇春攻打太原时遇险，被一个柳姓女子相救，后来将这里命名为“柳巷”。如今的柳巷商业街，包括米市街、钟楼街和五一路、解放路等周边，拥有多家大型商业购物商场、上百家品牌专卖店以及各类酒吧、影院等场所。清和元饭庄的“头脑汤”，百年来一直热乎乎的温暖着太原人的身心；吃一顿认一力的羊肉蒸饺，在当年经济困难的时代，是普通太原人过节的一大追求；如果嘴馋了，当地人会去柳巷的六味斋买一块酱肉，这里的酱肉至今在选料和配制方法上都严格遵守传统做法；对于外地游客来说，双合成的糕点、益源庆的山西老醋等也是不错的送礼手信。除了传统，柳巷也是时尚的，在这里有真维斯、苹果、堡狮龙等流行服装品牌的专卖店和贵都、华宇等现代化的购物商场。每逢春节和重大节假日，太原的年轻人还会在午夜时分来到柳巷一带逛街。附近的纯阳宫每逢春节，还会举办道教的开坛，届时还能观赏到本地的晋剧表演。,https://dimg04.c-ctrip.com/images/0105q12000f6s33tz7E23.jpg
太原,圣母殿,50484,37.709657,112.441223,4.9,经过鱼沼飞梁继续向前走，就到了圣母殿，这里是晋祠的主殿。圣母殿是为奉祀姜子牙的女儿，周武王的妻子，周成王的母亲邑姜所建。该殿始建于北宋年间，距今已有近千年的历史。大殿是一座正方形建筑，面阔七间、进深五间，重檐歇山顶，黄绿色琉璃瓦剪边，高19米。殿内看不到一根承重的明柱，从而使殿内的空间增大了不少，这种奇特的构筑颇为罕见。殿内的宋代侍女塑像，是晋祠文物中极为珍贵的佳作。塑像共44尊，是不同年龄、不同个性的女性形象。她们个个眉目传神，形态潇洒，栩栩如生。,https://dimg04.c-ctrip.com/images/100e1f000001gt1xq2963.jpg
太原,中国煤炭博物馆,50498,37.857032,112.528481,4.4,中国煤炭博物馆，位于太原市汾河公园的西岸，是全国煤炭行业历史文物、标本、文献、资料的收藏中心。每天与我们生活密切相关的煤炭，是怎样生成的，又是怎样从漆黑一片的地下被挖掘出来的？这些问题在煤炭博物馆都能被解答。当你近入序厅，您就会感受到浓厚的煤炭气息，可以在这里看到15平方米的世界煤炭资源分布图，6米高的巨型煤炭浮雕煤柱，弥足珍贵的煤精雕刻工艺品和蓝色宇宙苍穹中巨大的地球模型。在煤的生成厅，通过一系列化石、标本和地质史料向游客揭示了煤炭来自于植物这一科学结论。厅中复原了亿万年前的侏罗纪森林景观。巨大的硅化木、高耸的标准地层、恐龙的吼叫声、流水的滴答声、巨型恐龙骨架、复原放大可进入参观的植物细胞，给观众的视觉和听觉以强大的冲击力。在博物馆中的四维动感影厅内，游客在短短6分钟内，即可穿越亿万年的时空隧道，立体感受侏罗纪生存环境，亲身体验风、雷、雨、电、火山爆发、地壳运动等自然景象，在惊险和娱乐中体验煤炭的生成过程。博物馆的特色就是“煤炭游乐宫”。“煤炭游乐宫”是一座运用大量实物原型或1:1比例的复制的地下模拟矿井，参观路线有几百米长。你可以穿上矿工服，带上矿工帽，从电梯下达地底，穿行在模拟的井下挖煤巷道中，感受一下采煤工人日常工作的艰辛和危险。,https://dimg04.c-ctrip.com/images/0102n120009dwsxt47E86.jpg
太原,汾河公园,17920,37.879709,112.535186,4.7,汾河公园是在汾河太原城区段内经过水利治理和绿化美化后而形成的滨水公园，总长超过18公里。公园呈狭长型，一侧是公路，一侧是清澈的汾河水。公园内种植了大量的树木，并用石子围出了片片绿茵茵的草地，形成了一个沿汾河的绿色生态长廊。汾河公园北起柴村桥北侧，南至祥云桥南侧。太原人以水为墨、以绿为彩，绘就了一幅新的汾河画卷，建造了具有北方园林风格和汾河地域文化特色的滨水园。在这里可以欣赏到汾河晚渡，当夕阳斜照、红霞满天，河面浮光耀金，舟行景随，游人泛舟其间或凭栏远眺，如画胜境，可一览无余。晋汾古韵是以纪念治汾始祖台骀为主题的纪念性广场。汾神台骀雕像高踞于广场中心的基座上，周围喷泉和花坛环绕，庄重中不失活泼。公园沿汾河分布，还有许许多多的景点，内容简与繁，都反映了设计者的不拘一格以及对山西厚重的历史文化底蕴的深刻理解，十分值得游览。,https://dimg04.c-ctrip.com/images/10031f000001gs29k7845.jpg
太原,太原动物园,9692,37.910714,112.583971,4.2,太原动物园位于太原市区的北部，是一个非常适合带小朋友来游玩的地方。动物园内遍布植物花卉，树木郁郁葱葱，还有大量的盆花点缀在其中。园中的道路四通八达，进入动物园后，游客可以根据园中的指示牌，前往园中的各个游览景区。园中的主展区分为大型食草、食肉兽类观区；禽鸟、中小型食肉、杂食兽类观区；中小型食草兽类观区三个区域，各区域内又按动物的科目分类组成不同的展馆或景区。在动物园内你能观赏到金丝猴、东北虎、丹顶鹤等珍贵的国内动物，还可以观赏到白犀牛、长颈鹿、狒狒、斑马等珍贵的异国动物。你可以在“花果山景区”内看到黑猩猩、黄狒狒、松鼠猴、节尾狐猴等灵长类动物嬉闹猴山；还可以在“草原风情”景区内，看到一些大型的食草动物，如：大象、犀牛等；在震撼的“自然森林”猛兽区内，有熊山、狮馆、豹馆、狼舍、虎园等，凶猛无比的野兽们都在这里；在园中的“鸟语蓝天”景区内，设有火烈鸟馆、水禽湖、孔雀苑、鸣禽馆、猛禽馆等展馆，这里可以听到百鸟鸣唱，观赏到孔雀展翅摆靓姿，还有各种水鸟在湖中自由的嬉水。在园中，还有海狮表演、大象表演、马戏表演等各种动物表演，表演的时间有时会变动，可以根据当日园内公告为准。动物园中有餐饮服务，提供饮食和饮料供应。带小朋友的游客还可以去园中游乐场，玩玩碰碰车等游客项目（部分项目需要另外收费）。,https://dimg04.c-ctrip.com/images/0105n12000aak0rgsBF5E.jpg
太原,东湖醋园,113573,37.878654,112.596057,4.5,"游东湖醋园，读山西酿醋史。东湖醋园作为国家AAAA级旅游景区、国家工业旅游示范基地、省级中小学研学实践教育示范基地，建筑总面积约16667平方米。东湖醋园依托山西悠久的黄河农耕文化，传承挖掘、保护创新始创于明洪武年间“美和居”醯坊的历史、国家非物质文化遗产“美和居”老陈醋酿制技艺及山西醋历史文化，在“蒸、酵、熏、淋、陈”古法酿造工艺基础上，真正实现了“承启传统精艺，实现健康理念”。自2000年开园以来，东湖醋园开展特色“非遗”醋文化研学游、开设山西老陈醋DIY研学课程、增设“非遗”酿醋技艺体验，研发老西醋宴，共接待海内外游客500万人次，年接待未成年人达到了3万余人，成为了中国调味品行业中华传统农耕文化和醋文化宣传亮点。园内特设的“东湖 美和居发展史陈列馆” “醋疗园” “醋博馆” “醋窖” “精酿车间”等十二个展馆中分别收集了各年代的农耕器具和酿醋器具。东湖醋园以古今器皿展示、醋产品陈列、非遗酿醋技艺体验等方式向海内外游客集中展现了“国家级非物质文化遗产老陈醋酿制技艺”的独特魅力，向世人打开了一条了解山西醋文化、深度体验非遗酿醋技艺、认知山西老陈醋康养价值的时光隧道。游客置身醋园内不仅可以领略山西醋历史文化的深厚底蕴，呼吸扑鼻而来“东湖醋”的醇香，熏蒸“东湖醋桑拿”，品尝纯正东湖老陈醋的味道，同时可以深度体验国家非物质文化遗产老陈醋酿制技艺。还能品尝醋泡豆、醋小占等各类特色的醋饮醋小吃和老西醋宴，从而更真实地了解山西老陈醋。开园二十余年来，东湖醋园荣获 “原产地注册证书”“国家质量银奖”及国家“非物质文化遗产”保护名录等荣誉，被国内外的生物学专家高度尊崇为“中国谷物醋酿制活化石”和“华夏第一醋”，被欧美人士誉为“中华秘密”,被日商誉为“中国密法”，已然形成了集生产、旅游、餐饮、研学为一体的沉浸式醋体验中心和富有民族特色的三晋文化名片。",https://dimg04.c-ctrip.com/images/1lo1c12000jx7ljtp3B8F.jpg
太原,鱼沼飞梁,50481,37.70947,112.441468,4.9,鱼沼飞梁位于晋祠圣母殿前，是一座精致的古桥建筑。北宋时与圣母殿同建于北魏时期，距今已有1500多年的历史，整个梁架都是宋代的遗物。这种十字形桥也是中国现存古桥梁中的孤例，四周有勾栏围护可凭依。古人以圆者为池，方者为沼。因沼中原为晋水第二大源头，流量甚大，游鱼甚多，所以取名鱼沼。沼内立三十四根小八角形石柱，柱顶架斗拱和枕梁，承托着十字形桥面，就是飞梁。,https://dimg04.c-ctrip.com/images/10091f000001gsobn407D.jpg
太原,双塔寺,9678,37.847393,112.596518,4.6,太原南郊的双塔寺，是太原市的标志性建筑，太原市市徽上的主题图案。双塔寺，原名永祚寺，大约始建于明朝万历中期（1597-1602年），因为寺内有两座高塔，所以俗称双塔寺。如今当地人也都习惯称这里为双塔寺，反而对原名比较陌生了。双塔寺的建筑格局并不复杂，由前院、后院、塔院三部分组成，有名的“双塔”就在塔院里。双塔寺的山门和大多数寺庙坐北朝南是相反的，双塔寺的山门是朝北开的，游客进入山门后，由北向南步行游览，游览过程中，依次能看到大雄宝殿、碑廊和双塔，这三处是寺中较为值得一看的地方。双塔寺的大雄宝殿，是砖砌的仿木建筑。整座建筑没有梁架，不用一根木头，全由砖砌而成，砖砌雕花精细而大方。当你进入大雄宝殿，可以看到殿中供奉的三世如来像：阿弥陀佛、释迦牟尼和药师如来。其中阿弥陀佛是铜铸立像，而另两尊则是铁质坐像，由此可见，这三尊佛像不是庙里的原配，而是从不同的地方搬来的。双塔寺的大雄宝殿是二层结构，从大殿东侧，有台阶可以登上二楼。二楼建有“三圣阁”，内供奉着三大士：观音、文殊和普贤，这几尊菩萨像也是从别处寺院搬过来的。如果你五月份来到大雄宝殿，还能欣赏到明代种植的百年牡丹，名字叫做“紫霞仙”，它植根于大雄宝殿前的方形花坛里，在这里盛开了三百多年了。来双塔寺看牡丹，也是太原市民的一大乐趣。从大雄宝殿通往塔院的途中，有一条通廊，其中有一道“碑廊”，如果你是书法爱好者，那一定要到这里来看看。你可以在这里观赏到碑廊墙上镶嵌着明代的“宝贤堂集古法帖”，清代的“古宝贤堂法帖”和清代所刻的苏东坡醉笔石刻“赤壁怀古”，其中，苏东坡手书的“赤壁怀古”，是乾隆二十七年（1762年），根据拓摹勒上石的。据说此刻全国仅有两处保存，另一在湖北黄州的东坡赤壁。当你来到寺院南部的塔院时，两座古塔完完整整的映入眼前。两塔都是砖石结构，相距60米，塔上的雕饰清丽、轮廓分明。东南这座先建造（东塔，也叫文峰塔），但不是佛塔，是为了弥补太原城“西北高东南低”不利于文化的发展，而建造的一座“塔”。建成之时起，就略微向西北倾斜。据说是设计者考虑到此塔地处东山前沿，面对着西北风的冲击，特意向西北倾斜，才能保证塔身稳固。西北这座是后建的佛塔（宣文塔），因为位于西北方位，故也被简称为“西塔”或“北塔”。是由明代万历年间的高僧妙峰大师（福登和尚）监造，因当年塔内藏有佛舍利子，所以又叫做宣文佛塔，或舍利塔。西塔（宣文塔）在解放战争中大部分毁于战火，如今所见的是上世纪八十年代重新修复的。如果你有兴趣，可以登塔。不过建议不必登塔，因为以当地的空气情况，登上了塔，四周遥望，也是雾蒙蒙一片。,https://dimg04.c-ctrip.com/images/0100112000f6qv57tDCDB.jpg
