city,名称,id,纬度,经度,评价分数,介绍,封面图片
宁波,金色大厅,143331367,29.666017,121.427668,0.0,,https://dimg04.c-ctrip.com/images/0102u1200086k28vc0A5C.jpg
宁波,天一阁博物院,9964,29.871075,121.540021,4.7,天一阁博物院位于宁波市内的月湖西岸，这里坐落着我国现存非常古老的私人藏书楼——天一阁。它是明朝嘉靖年间（1561-1566年）卸任官员范钦所建的藏书处，楼中摆放着古籍与书案，处处弥漫着厚重的书香气息。博物馆其实是座江南园林，园区内的东园和南园错落有致地分布着假山、池塘、亭台等景致，走在古朴的砖木长廊内，感受清幽的环境。园内建有明州碑林，数百通石碑记载了古代官方的教育史。还有书画馆，时常会展出天一阁所藏历代书画精品和名人雅士的书画佳作。园区内另有天一阁建成之前的藏书处“东明草堂”、展示宁波民居建筑特色的“秦氏支祠”、以及范氏故居等建筑。而在麻将陈列馆中则可看到麻将牌，让你了解到麻将文化的起源与发展。,https://dimg04.c-ctrip.com/images/1lo4e12000j5ijxnhE969.jpg
宁波,雪窦山,107387,29.688105,121.207886,4.6,雪窦山景区位于溪口风景区内，主要包括雪窦山、雪窦寺两部分。山上风景秀丽，空气清新，瀑布溪流值得一看，山下雪窦寺以露天弥勒佛像为抢眼。游玩雪窦山一般需要半天。在雪窦山旅游集散中心乘交通车至三隐潭，依次游览上隐潭、中隐潭、下隐潭，这里是雪窦山精华的部分，一条溪流在峡谷中形成三个潭，尤其是晴天的时候，下隐潭还可能看到彩虹。妙高台陈列着一些历史文献，自古就是雪窦山登高揽胜和避暑的圣地，这里有一个平台，视野广阔，是观赏风景的好地方。站在妙高台上，远处亭下湖的景色可尽收眼底。从妙高台后面的小路一路下行，经过张学良幽禁地，步行十来分钟便是雪窦寺，这里是弥勒佛的道场，寺院是新修的，不过这里有一尊金光闪闪的露天弥勒大佛，不少人来这儿“抱佛脚”求平安。雪窦寺门口有交通车站，可乘车返回集散中心。以上是游玩雪窦山的路线，不走回头路而且全程下坡。如果有两天时间，建议第一天中午到达溪口，买溪口风景区2日联票，午饭后上山，这样游玩时间正好，而且雪窦山上没有餐馆，只有一些小卖部提供基本食物。第二天上午游玩蒋氏故居之后便可返程了。此外，三隐潭西面三四公里的地方有一徐凫岩，也是一处不错的瀑布，不过走进去大概需要半小时，需原路步行返回，如果时间不多，可以考虑舍弃。,https://dimg04.c-ctrip.com/images/0106c1200087e4xsg0260.jpg
宁波,老外滩,48549,29.879399,121.56216,4.7,老外滩位于三江口，宁波的正中心，比上海外滩的历史还早20年。如今，老外滩仍保存着大量漂亮的欧式老建筑，它们大多改作了小资的酒吧和餐厅，形成一片颇有情调的休闲区，是宁波的地标之一。宁波老外滩和上海外滩有些相似，又多了几分精致，来这里走走逛逛，拍拍老建筑，或者找家小店坐下来喝点东西都很惬意。这里白天很安静，三三两两的游客在街上闲逛，常常能看到新人在这里拍婚纱照。到了晚上，街上热闹非常，酒吧飘出婉转的歌声，韵味十足。走到江边，欣赏三江口的迷人夜色，和爱人一起散步很是浪漫，而每到夏天，甬江边也是纳凉的好去处。老外滩的建筑也是一大看点，虽然都不能进去参观，但仅是外观也很有味道。无论白天还是晚上，南面的哥特式建筑江北天主教堂都是游客的焦点，旁边的断壁有几分圆明园的感觉，是老外滩的标志。教堂周边有和德坊、和泰坊、紫林坊、宏昌源号、江北巡捕房，都是很有特色的老建筑。另外值得一看的是位于扬善路和中北路口的石库门建筑群朱宅，西式雕花和宁波传统民居相结合，梅雨红石做的门框配上黑漆厚重的木门和一副铜环，非常别致。除此之外，还可以去街道北面的宁波城市展览馆，在这里可以通过三维虚拟演示感受宁波的过去和未来，有种身临其境的奇妙感觉。,https://dimg04.c-ctrip.com/images/0103s120005rfuzkt012B.jpg
宁波,溪口-滕头旅游景区,135869,29.680357,121.212891,4.6,溪口沿着宽阔的剡溪，依着以瀑布、溪水出彩的雪窦山，让它成了一处热门旅游地。如今溪口风景区包含蒋氏故居、雪窦山两大主要景区，值得你花上1-2天一探究竟。景区两个售票处分别在溪口镇上的武岭门（蒋氏故里门口），以及西边两景区交接处的游客集散中心。溪口风景区的旅游配套设施很完备，溪口客运站-武岭门-游客集散中心之间有绿色旅游公交往返。去雪窦山景区可乘车至游客集散中心，在此转乘绿色观光巴士（包含在雪窦山景区、统票门票内，不限次乘坐）至三隐潭，而后开始雪窦山的游览。行程安排：如果你是第一次来溪口，建议安排2天时间。比较推荐的行程是：第一天中午到达溪口，午饭后游玩雪窦山和山中的雪窦寺。晚上在溪口镇上留宿，第二天上午前往蒋氏故里，下午去到蒋母陵园。雪窦山攻略：游玩雪窦山大约需要大半天，山上非常养眼的自然景观是三隐潭的溪流与潭水，以及千丈岩的瀑布。由三隐潭出发，依次游览上、中、下三处潭水（约2小时），随后原路返回，乘坐观光大巴车到雪窦山中转站，游览千丈岩和妙高台景点。妙高台之后是常规的游览步道，一路下坡，很好走。不太久便可走到山下的雪窦寺，寺院比较新，可大致看看，这里有一尊露天大佛非常抢眼，许多游人在这儿“抱佛脚”求平安。雪窦寺门口也有绿色观光巴士站，乘车返回镇上即可。这样的安排是雪窦山比较合理的玩法，不仅能饱览山上的看点，全程下坡，而且不走回头路。蒋氏故居攻略：第二天早上由武岭门开始参观蒋氏故居景区，这里的主要景点沿着剡溪边的武岭路步行街排列，步行游览即可。值得一看的是入口附近的武岭学校、小洋房和文昌阁。其中，文昌阁在武山上，曾是蒋宋的别墅，现在悬挂着宋美龄的画作。另外，经堂路附近的丰镐房是蒋先生与毛福梅结婚的地方。里面的匾额楹联、雕刻堆塑也值得关注。西面的玉泰盐铺是蒋先生出生的地方，门额上刻着“清庐”二字。需要注意的是，景区有些小路通向外面的街道，游览时小心不要出了景区，门票只可用一次。蒋母陵墓在两景区交接处，包含在蒋氏故居景区门票内。陵园由蒋母墓道和杜鹃谷组成，风景很好。入口处有墓庐，曾是蒋先生的居所，有其手书的对联，现在这里是一个小型展览室。蒋母墓道的雕刻很精美，杜鹃谷视野开阔，郁郁葱葱的山林、草坪让人心旷神怡。,https://dimg04.c-ctrip.com/images/100r11000000r7ev106F5.jpg
宁波,天一广场,20509,29.869488,121.55407,4.6,天一广场是宁波市中心的繁华商圈，这里购物商厦、餐厅小吃云集，你几乎可以买到任何想买的，吃到任何想吃的东西。晚上来逛街、赏城市夜景的游人格外多，广场中心规模巨大的音乐喷泉也是一大亮点。天一广场东起车轿街、西至开明街、北沿中山东路、南临药行街，有国际购物中心、酷购商城、银泰百货、新华联商厦等大型百货楼，还汇集了各种品牌专卖店，是购物狂和吃货们天堂。这一带景点也不少，广场南部坐落着一座宏伟的哥特式建筑——药行街天主堂；广场西部则有一座供奉神农氏的药皇殿，是一座拥有三百多年历史的清代建筑，这些都值得去参观一下。而有名的月湖公园就位于广场以西800米处。,https://dimg04.c-ctrip.com/images/100j1f000001gprtn9122.jpg
宁波,月湖公园,135930,29.867189,121.543836,4.7,月湖是宁波市中心一片月牙状的湖面，这里曾是宋明时期文人坐而论道的城中山水，如今是宁波重要的绿肺。它虽然不比杭州西湖名声响亮，但在宁波的地位有如西湖之于杭州。湖畔点缀着庭院和老宅子，周末散步很是闲适。月湖中分布着芳草洲、柳汀、松岛、菊花洲等岛屿，有的以桥相连，有的已于陆地完全相连。湖畔曲曲折折的堤岸、垂柳下下棋的老人、树林掩映的古建筑，和周围车水马龙的大街形成鲜明对比。柳汀街穿湖而过，正好将月湖分为南北两个区域，期间点缀着不少遗迹和老宅。这些老宅许多被用作办公场所，不能入内参观，也有一些被改建为展览馆，可以进去看看。月湖边没有没有围栏，是全开放式的公园，只要有路便可进入，适合随心逛逛，也不必有既定行程。景点比较集中的是湖的北面和东面。从东北角开始逛，你会看到水中的小亭子内有一块“水则碑”，上面有个“平”字，是以前测水位用的宋朝遗物。不远处是有名的遗址，如今在遗址上修建了明州与陈列馆，里面有少量文物，图文资料也颇能长知识；一旁的大方岳第，有面向公众的免费艺术展，是月湖展览集中的地方。靠近湖边的卢宅是辛亥时期对光复宁波有重大贡献的卢洪昶、卢成章父子的住宅，此宅在清末颇有影响，现在只能看看外貌。靠近迎凤街的银台第是难得完整保存下来，并可供游人免费参观的老宅。里面每个房间都布置得非常精致，古代家具和生活用品摆设的十分齐全，能感受到古代豪门大家庭的格局。月湖中段的柳汀街是月湖的中心，如今已成为市区的主要交通道路。街边安静朴实的贺秘监祠是为纪念贺知章而建，现在是某单位的办公场所。一旁香火旺盛的关帝庙和佛教居士林，都是始自明朝近期重建的建筑，成为“柳汀三连贯”。南区北端有一片院士林，以银杏居多，南端的松岛上还有一所古色古香的学校，宁波二中的老校区。而月湖南岸紫金巷的“林宅”，是宁波市区罕见的清朝民宅，里面有一百多幅砖雕，甚是气派，现在是明州甲十二文化综艺馆，是个有书画展的私人会所。除了走走逛逛，在月湖上泛舟也是件挺惬意的事，南区北区都有码头可以购票。此外，月湖附近的天一阁博物馆也可一并游玩。,https://dimg04.c-ctrip.com/images/0102u12000fa39fuyB9B2.jpg
宁波,东钱湖,16825,29.770854,121.664963,4.7,东钱湖位于宁波东南近郊，面积比杭州西湖大了三四倍，不过东钱湖沿岸开发了各种收费景区，相比之下显得稍市侩些。想要享受东钱湖之美，可以花钱进入景区游玩，年轻人则更愿意骑自行车环湖，赏景拍照好不惬意。沿东钱湖分布着小普陀、陶公岛、福泉山、南宋石刻遗址公园、雅戈尔动物园等多个景区，还有一些自然村、小公园，通常会用周末的一两天挑几个感兴趣的游玩，并不会环游所有景点。环东钱湖有多条公交线路，可以到达几乎所有主要景区，很方便。人气景点：小普陀是湖中一道长堤，是东钱湖人气超高的景点，湖中心的霞屿禅寺总有许多人来烧香祈福。可以坐电瓶车直达水上观音，但更推荐沿着长堤走走，观赏东钱湖风光。从小普陀跨桥而过，是湖西的陶公岛，这里是本地的热门烧烤地，适合一群人一起来做拓展之类的活动，外地游客若时间紧，倒不必专门入内参观。如果带小朋友来，东钱湖北面的雅戈尔动物园是不错的选择，除了可爱的动物，还能玩旋转木马、碰碰车等游乐项目。东钱湖探幽：东钱湖适合探幽的景点集中在环湖东路，湖畔的南宋石刻遗址公园有南宋五个朝代的宰相的墓园，除了气派的墓道和石牌坊，更有200多尊栩栩如生的石像。公园内的博物馆梳理了南宋的历史和石刻发展史，还能看到许多周边地区的石刻文物，值得细细品味。南面的不远的福泉山上是大片的茶田，景色不错，旺季的时候还可以在上面的茶庄品茶。自驾车不可入内，山脚下检票处有上山的巴士，不过客满才发车，淡季比较难等，要做好心理准备。若是步行上山大约需要1小时。骑行东钱湖：除了参观景点，骑车环东钱湖可以说是非常受欢迎的活动，可以悠闲地欣赏沿岸的湖光山色和自然村落。沿湖有专用的自行车道，景区官方也有适合不同人群的骑行线路推荐。在游客中心、南面的水上乐园、马山湿地，以及北面的雅戈尔动物园等地有自行车驿站，提供各种类型的自行车租赁。此外，湖边还有多处码头，有水上巴士、摇橹船、快艇等，可以乘船往返沿岸景点，也可以包船环游东钱湖。,https://dimg04.c-ctrip.com/images/10051f000001gssiaE3DD.jpg
宁波,宁波博物院,135773,29.814918,121.545048,4.7,宁波博物院位于鄞州公园附近，馆内没有特别稀有的文物，但关于宁波的历史、民俗的展览很全，足以供你一窥座城市的历史。此外，博物馆的建筑本身就是一件“展品”，造型颇有设计感，很多人甚至就是冲着看建筑来的。博物馆是建筑师王澍先生的作品，外墙上使用了大量宁波老建筑上拆下来的旧砖瓦，有的墙面是倾斜的，而若是你仔细看，还能发现砖瓦上当年烧制时留下的符号。博物馆周边有荷塘和芦苇塘映衬，既现代，又充满了传统韵味。展厅一共分三层，一层展厅是临时特别展览，有时需另外购票参观，二层和三层则是免费的常规展览。博物馆二层是主题陈列《东方“神舟”——宁波历史陈列》，是馆内主要的看点。四个厅的展览讲述了宁波自远古时期至确立州城，再到成为国际港口和东南都会的历史。在这里你可以看到蜡像复原的河姆渡生活场景、越窑的出土瓷器，还有江厦街景、通商场景的复原。可以对宁波从古至今的发展历程有一个系统的了解，值得用心看看。三层则是竹刻和宁波民俗的专题陈列。“阿拉”老宁波民俗陈列比二层的展览更为生动，置身展厅内，你可以走在复原的老宁波街巷中，看街边林立的老城墙，以及一些传统工艺品的展示，仿佛穿越到上个世纪的宁波街头。出了民俗陈列馆是一个露台，走累了可以在此休息会儿，而后前往竹刻馆继续参观。,https://dimg04.c-ctrip.com/images/0105n12000ilb4uju5912.jpg
宁波,宁波鼓楼,48548,29.873664,121.546515,4.5,鼓楼也叫做海曙楼，是宁波市仅存的古城楼遗址。它的下部是中国传统的城楼样式，城楼之上却是罗马风格的钟楼，中西合璧的造型别具一格。如今鼓楼周边是一片仿古步行购物区，油赞子之类的宁波特色小吃值得一尝。如今，鼓楼及附近的公园路一带已成为宁波主要文化活动的聚散地，楼内时常会举办画展、书法展、照片展。道路两旁是仿宁波传统建筑风格的商店，小青瓦双坡屋面、风火马头墙，还有各种精细的外墙木装饰，既具有宁波传统商业街的风貌，又具有强烈的历史文化质感。在东西两端入口处的两座古石牌坊，以及城墙遗址、子城历史变迁的石碑、鼓楼附近的永丰库遗址公园，可供你仔细品读宁波的历史。到了晚上，鼓楼一带人气很旺，景观灯亮起时格外适合拍夜景。,https://dimg04.c-ctrip.com/images/01A4f120008ljeejiD000.jpg
