city,名称,id,纬度,经度,评价分数,介绍,封面图片
成都,彭镇,1868283,30.583289,103.87264,4.6,,https://dimg04.c-ctrip.com/images/1me6912000andvyjnA7EC.jpg
成都,蒋排骨顺湖园,16436629,30.830551,103.857426,4.0,,https://dimg04.c-ctrip.com/images/0102812000brylnxd6283.jpg
成都,成都西江月度假村,5241214,30.817074,104.319567,4.0,,https://dimg04.c-ctrip.com/images/0105m120009rajkbq8339.jpg
成都,红盛生态园,16014787,30.615501,104.158553,0.0,,https://dimg04.c-ctrip.com/images/0105n12000c2mnv90786E.jpg
成都,成都大熊猫繁育研究基地,4229,30.740995,104.139255,4.5,基地内有很多萌萌的大熊猫，你可以近距离的去观赏这些萌哒哒的国宝们。基地位于成都市北郊，距市区约10公里，建设完全模拟大熊猫野外生活环境，建有湖泊、溪流、竹林、草坪等。基地设有众多“熊猫别墅”就是熊猫的封闭休闲场所。内有露天园子和室内休息室，天气凉爽时大熊猫会在园子内玩耍，游人可以隔着栏杆观赏萌萌的大熊猫；天气炎热时，大熊猫就躲在开着空调的休息室内，这时候只能隔着玻璃观看了。熊猫基地新区也可以看熊猫吗？还有其他耍的吗？熊猫基地新区也可以看熊猫，而且还是我们的功勋熊猫，熊猫的家更大了，活动的范围更宽了。看熊猫是主要的，另外耍的看的还多，必须打卡的是我们的地标建筑——网红熊猫塔。作为成都市的新地标性建筑位于基地至高点，塔高69.8米，共11层，外形如同一颗大竹笋，内部则形似绽放的芙蓉花，内部有81个平台分布，供游客多角度眺望基地景观。还有位于新区密林片区的美术馆（新馆），运用多感官交互、灯光装置、交互装置、热感应等新兴展览方式，为游客构建沉浸式展览场景。熊猫基地新区计划在四大片区设置内容丰富、形式多样的科普展牌与互动设施，游客在观看大熊猫的同时，了解大熊猫知识，增强互动体验。在动物及环境保护相关的节日，还将针对不同年龄段的游客开展主题科普活动，例如互动讲座、亲子科普、探秘游戏等寓教于乐的活动。耍累了还可以去听听音乐剧——《熊猫》：将以大熊猫为代表的神奇动物在四川成都这片美丽富饶的土地上和谐共存、共享自然、热爱生活的景象生动地展现在观众面前。通过音乐剧的形式折射出四川成都的宜居风貌和当地人民质朴安逸的生活景象。从总面积来看，由原来的1035亩增加到了3570亩，扩大了2.5倍。在扩建时充分遵循并沿用原始地形地貌，利用山体冲沟及溪流形成的山地溪谷多层次景观带，打造了11个大熊猫场馆、多个科普场馆以及游客步行街等参观游览场所。扩建项目完成后，可容纳不低于180只大熊猫及小熊猫、金丝猴等伴生动物。截至目前，已经有67只大熊猫、43只小熊猫入住扩建区“新家”，以后还会有金丝猴等珍稀动物等候大家的到来。新区配套设施是否完善？新区在设计上按照5A景区标准配套了充足的游客服务设施，不仅提供观光车、旅游厕所等基本设施，还在山丘商业街和出口商业街以及各片区零星商业体配套了大量旅游服务设施，规划业态包含餐饮、纪念品售卖、邮政服务、影院、剧场、拓展教育等，从数量上可以满足游客需求。经过近一年时间的运营，基地针对新区面积较大、配套设施分布不均的实际问题，在新区内增设多处饮料售卖机、直饮水机、共享便民服务设施等改善游客体验，下一步基地还将在游客休息设施、咨询服务设施、导游导览设施等方面进一步补充和完善，以期的满足游客的需求。扩建后的成都熊猫基地将助力成都打造人与自然和谐共生示范地，改善大熊猫科研保护条件，保护生物多样性，全面彰显大熊猫品牌价值、文化价值和经济价值，塑造“天府三九大·安逸走四川”文旅品牌。2022年扩建区还将逐步开放熊猫美术馆、IMAX影院、熊猫剧院等新业态新项目，在看大熊猫的同时，满足游客吃喝玩游购娱的需求。一是更有利于熊猫科研保护。大熊猫作为国家保护动物，性情温顺，姿容可拘，行动逗人，深受人民喜爱。但伴随着大熊猫数量持续增长，基地老区在大熊猫饲养管理工作中面临的种群密度高、动物福利无法充分提升等问题日益明显，熊猫基地新区建成并投入使用能有效解决以上问题，全面提升熊猫基地大熊猫科研保护水平，切实保障园区动物福利。二是更有利于提升人民幸福感获得感。中国特色社会主义进入新时代，社会主要矛盾已经转化为人民日益增长的美好生活需要和不平衡不充分的发展之间的矛盾。当前，旅游已成为小康社会人民美好生活的刚性需求，广受百姓青睐。建设基地新区顺应人民群众旅游消费转型升级新趋势，将有效满足人民群众旅游消费高品质、多样化需求，增强人民群众的幸福感、获得感。三是更有利于打造大熊猫特色IP，助力公园城市示范区建设。基地老区自1987年建立以来，在大熊猫科研保护、科普教育、文化旅游、国际交往等方面取得了国内外公认的成绩，被国内外公认为开展圈养大熊猫保护科技实力强、科技成果多、应用推广效果的大熊猫迁地保护示范单位，先后获评“全国科普工作先进集体”“全国青少年科技教育基地”“国家科普教育基地”“国家环保科普基地”“海峡两岸交流合作基地”，两次承担“中宣部文化交流重点项目”，两次荣获联合国“全球500佳”称号。建设基地新区将有效提升中国旅游品牌形象，构建具有国际识别度的大熊猫特色IP，助力成都加快建设世界文化名城、践行新发展理念的公园城市示范区。,https://dimg04.c-ctrip.com/images/0105p12000f6scno87BC5.jpg
成都,宽窄巷子,63456,30.66369,104.053572,4.6,宽窄巷子是成都惟一遗留下来的清朝古街道，由宽巷子、窄巷子和井巷子三条平行排列的城市老式街道及其之间的四合院群落组成。来这里，喝茶、吃火锅，感受成都的闲生活、慢生活和新生活。你可以在这里要一杯蒙山黄芽，与旁边的老爷子摆摆龙门阵；也可以唤一名“舒耳郎”，舒舒服服的享受掏耳朵的惬意；更可以在小吃摊边，面对着琳琅满目的小吃大快朵颐。夜幕下的宽窄巷子也是别有韵味，点醉、白夜、胡里等酒吧，都充满了成都的时尚感，在夜间绽放它的魅力。,https://dimg04.c-ctrip.com/images/100r1f000001gon9mBC5D.jpg
成都,锦里古街,48862,30.647508,104.048964,4.6,锦里古街是成都知名的商业步行街，由一大片清末建筑风格的仿古建筑组成，拥有众多民居、酒吧、餐饮名店，有名的景点武侯祠也在其中。锦里古街与武侯祠一墙之隔，游客一般会在游玩武侯祠后，来此逛一逛，这里洋溢着成都特有的喧嚣和随意。古街里青瓦错落有致，青石板路蜿蜒前行，街道两旁店铺里摆着许多颇具当地特色的物品，如手工的皮包、五颜六色的布灯笼等，还有众多老成都手艺人制作吹糖画、捏面人。此外，这里各色美食也会令你垂涎三尺，有张飞牛肉、豆花、牛肉焦饼、钵钵鸡等，各具风味。锦里古街在夜幕来临时会亮起大红灯笼，这时酒吧、茶馆热闹非凡。其中比较有名的是莲花府邸酒吧，每晚都有当地歌手来此驻唱，逛累了，可以在这里小憩。,https://dimg04.c-ctrip.com/images/0105y1200086whywyF282.jpg
成都,武侯祠,4227,30.646254,104.047947,4.6,成都武侯祠是纪念刘备、诸葛亮等蜀汉英雄人物庙宇所在。它肇始于蜀汉昭烈帝章武元年（221年）刘备惠陵修建时，在修建惠陵的同时也修建了汉昭烈庙。约在公元500年前后南北朝时期，武侯祠从成都“少城”迁建惠陵、汉昭烈庙旁，这格局持续到明代。明洪武二十三年（1390年），明蜀献王朱椿到武侯祠朝拜，以“君臣宜为一体”为由，将惠陵、汉昭烈庙、武侯祠合为一体，由于诸葛亮在老百姓心目中的影响超过刘备，民间习惯称为“武侯祠”。成都武侯祠的文物区主要由惠陵、汉昭烈庙、武侯祠、三义庙等组成，主体建筑为武侯祠。武侯祠分大门、二门、刘备殿、过厅、诸葛亮殿、三义庙等，排列在从南到北的一条中轴线上。祠内供奉刘备、诸葛亮等蜀汉英雄塑像50尊，区域内还有众多的关于诸葛亮和三国文化的碑刻、匾额等。成都著名的“红墙竹影”，就在景区内，记得拍照哦。武侯祠的园林区，位于武侯祠西侧，区域内有石牌坊大门、三洞门、四方亭、荐馨堂、墓室等建筑，是西南地区惟一一座北方风格的陵园建筑群。武侯祠毗邻锦里（锦里民俗区），可以一并游玩。,https://dimg04.c-ctrip.com/images/0103n12000f6trha712AE.jpg
成都,杜甫草堂,4226,30.660141,104.028424,4.6,唐代著名诗人杜甫流寓成都时的故居。杜甫在此居住近四年，创作了上百首诗歌，这里因此被视为中国文学史上的“圣地”。现今的杜甫草堂是经宋、元、明、清多次修复而成。草堂位于成都市西门外的浣花溪畔，园内亭台林立，古木参天。从正门进入后，大廨、诗史堂、工部祠三座主要建筑物由南至北依次排列于中轴线上。工部祠的东北部，是少陵碑亭和大诗人当年的茅屋故居，茅屋以东是盆景园，往南依次是浣花祠、花径、大雅堂和靠近南门的草堂陈列室。大雅堂原是草堂寺的大雄宝殿，因北宋文学家黄庭坚的《大雅堂记》而名。2002年正式开放。门上匾额“大雅堂”三个字是集的唐代著名书法家颜真卿的字。大雅堂内陈列着迄今为止国内面积的大型彩釉镶嵌磨漆壁画和12尊历代著名诗人雕塑，形象地展示了杜甫生平和中国古典诗歌的发展史。标志性景观——茅屋故居茅屋故居，是借鉴川西民居的特点复建的，成为了杜甫草堂的标志性景观。茅屋东侧的盆景园内，有1999年建成的“杜诗书法木刻廊”，陈列着百余件杜诗书法木刻作品，其中有“杜诗绝唱、书法绝品、楠木绝材、刻工绝活”等四绝。因杜甫曾作为节度参谋检校工部员工郎，故称杜工部，祠由此得名。祠堂一屋三楹，封山亮柱，高台石阶，花窗格门，肃穆庄重。祠内有明、清两代石刻杜甫像，其中明万历三十年（1602）石刻杜甫半身像是草堂遗存最早的石刻像。当年杜甫的茅屋前，有一条两旁栽满花木的小径，他在诗中曾写到：“花径不曾缘客扫，蓬门今始为君开”。今天的花径，是连接杜甫草堂纪念建筑群与原草堂寺的一条红墙夹道小径，花径尽头是“草堂影壁”，清末四川劝业道道尹周善培用青花碎瓷镶嵌的“草堂”二字于此，数度毁损又几经修复。草堂有三个门，其中正门和南门都位于草堂的南部，北门位于西北部。正门和南门相距不远，游人多从这两个门出入。,https://dimg04.c-ctrip.com/images/0104712000f6pqdbe0C80.jpg
成都,春熙路,138472,30.651481,104.082079,4.6,春熙路是成都的时尚中心、也是当地美食和美女的集中地。来这条成都代表性的商业步行街逛逛，吃吃东西，看看养眼的美女，是来成都必做的一件事。春熙路不仅仅是一条街，而是指北新街以东、总府路以南、红星路以西、东大街以北、南新街、中新街及其临街区域。外地人来到成都，如果不逛逛春熙路，就好比到北京不去王府井，到上海不到南京路一样会非常遗憾。春熙路街道两边，百年老店、时尚商场、品牌专卖、美味小吃店云集，钟水饺、赖汤圆、韩包子、龙抄手等名吃在春熙路上都有分店。周末，这里也是成都市民休闲的好去处。春熙路还是打望成都美女的时机。而周末的春熙路，则是一场美女云集的盛会。春熙路主街的交汇处是著名的中山广场，屹立着孙中山铜像。北口还有用花岗石雕制而成的成都风俗浮雕艺术墙，描绘了唐代成都的庙会、花会、灯会、采桑等各个景观。,https://dimg04.c-ctrip.com/images/100410000000owden3387.jpg
