city,名称,id,纬度,经度,评价分数,介绍,封面图片
拉萨,阳城广场,2331462,29.646117,91.154398,0.0,,https://dimg04.c-ctrip.com/images/0103212000d3074cc105A.jpg
拉萨,布达拉宫,3117,29.65446,91.118487,4.8,布达拉宫是西藏的象征，是所有朝拜者心中的神圣场所！“布达拉”是梵语，又译作“普陀”，原指观音菩萨之居所。来这里，不仅可以观赏宫内收藏的大量历史文物，欣赏藏民族精彩的建筑艺术，更可以在那种圣洁的氛围中进行一次灵魂的洗礼。布达拉宫由来据史书记载：公元七世纪三十年代，吐蕃第三十三代赞普松赞干布迁都拉萨，始建布达拉宫。此后，重大的宗教、政治仪式均在此举行，成为西藏政教合一的统治中心。白宫和红宫布达拉宫具有鲜明的藏式风格，气势雄伟，是西藏地区现存完整的宫堡式建筑群，被誉为世界十大土建筑之一。其主体建筑分布宫白宫和红宫两部分。白宫因外墙为白色而得名，是喇嘛们生活起居和政治活动的地方。由于这里终日阳光普照，故称东、西日光殿。红宫位于布达拉宫的顶部中央位置，外墙为红色，由众多灵塔和各个佛殿组成。历史文物布达拉宫收藏和保存的大量历史文物，有佛塔、塑像、壁画、唐卡、经文典籍，还有表明历史上西藏地方政府与中央政府关系的明清两代皇帝封赐的金册、玉册、金印以及金银器、玉器、瓷器、珐琅和工艺珍玩。其中引人注目的是五世以来的八座灵塔，无不金碧辉煌，上缀宝石琳琅满目，堪称是一座艺术的殿堂。,https://dimg04.c-ctrip.com/images/0101c1200061ynv4356C0.jpg
拉萨,大昭寺,3119,29.650258,91.13337,4.5,"大昭寺，藏语为“觉康”，又名“祖拉康”，是藏传佛教信徒朝拜的终点，在他们的心中，大昭寺之神圣，并不逊于布达拉宫。不论从地理位置上，还是在藏传佛教信徒的心目中来说，大昭寺都是名符其实的藏传佛教圣地和中心，在藏传佛教史上拥有极其崇高而圣洁的地位。大昭寺始建于公元七世纪中叶，是藏王松赞干布为了安放其王妃尼泊尔尺尊公主，从家乡加德满都带来的释迦牟尼8岁等身佛像而建，公元1409年，格鲁派创始人宗喀巴大师在大昭寺宏扬佛法，举行传昭大法会，从而奠定了其在藏传佛教史上的重要地位。公元八世纪，大唐文成公主入藏时从长安带来的释迦牟尼十二岁等身像供奉于大昭寺内，成为大昭寺的镇寺之宝，是游客及前往朝拜的人必不可错过的看点之一。此外，寺内有长近千米的藏式壁画《文成公主进藏图》和《大昭寺修建图》，还有两幅明代刺绣的护法神唐卡，为难得的艺术珍品。转经道拉萨有“内、中、外”三条转经道，都是围绕着大昭寺为中心而进行。其中，沿寺内千佛殿绕觉康大殿一圈为内转，称“囊廓”；沿大昭寺外围一圈为中转，称“八廓”；围绕布达拉宫、药王山、小昭寺和大昭寺一圈为外传，称“林廓”。景点导览沿正门进入大昭寺后是一个天井式院落，院子东侧有数排酥油灯，因信徒每天都会添加酥油，故常年不灭。酥油灯后面既是大昭寺主殿正门，门口左侧为红教创始人莲花生大师，右侧为强巴佛，即弥勒佛，也称：未来佛。右侧墙上是关于大昭寺建寺故事的壁画，主要内容是7世纪时期布达拉宫的样子，以及当年填湖建大昭寺的情景。按照顺时针的顺序过去是供奉黄教祖师宗喀巴大师及其八大弟子的佛殿。继续右绕前行，穿过两边的夜叉殿和龙王殿，数百盏酥油供灯后面便是著名的""觉康""殿。它既是大昭寺的主体，也是大昭寺的精髓之所在。觉康殿中央为大经堂，是平日里喇嘛们念经修行的地方，四周有很多小经堂，其中不可错过的既是位于正中的释迦牟尼佛堂，供奉着文成公主带来的释迦牟尼十二岁等身金像，这里是大昭寺的中心，也是前往此地的虔诚朝拜者向往的圣地。庭院旁有楼梯通往二楼和三楼，二楼有供奉藏王松赞干布、文成公主、尺尊公主的法王殿和供奉吉祥天母的班丹拉姆护法神殿。站在二楼宽阔的露台上，可远眺布达拉宫，是拍照的绝好位置。三楼的金顶也是大昭寺的看点之一，只不过三楼绝大多数时候不对外开放，万一机缘巧合可以登上三楼，四座金碧辉煌的金顶让人叹为观止。",https://dimg04.c-ctrip.com/images/010231200087e45x769E7.jpg
拉萨,八廓街,3124,29.650158,91.130238,4.7,八廓街又叫八角街，地属西藏拉萨。它是能代表西藏民风民俗的千年古街，因其古朴的文化底蕴、悠久的历史传统，入围“全国历史文化十大名街”之列。狭义上的八廓街可以理解为围绕大昭寺的环形转经道，广义上的八廓街，指围绕大昭寺而建的一片居民地，是一个由许多四通八达的小巷组成的居民区。八廓街繁华处为紧挨大昭寺的环形转经道，随着大昭寺宗教地位的加深，藏传佛教认为，以大昭寺为中点顺时针绕行为“转经”，表示对供奉在大昭寺内释迦牟尼佛像的朝拜，八廓街由此成为拉萨三大转经道之一。此街集西藏土特产销售、旅游观光、具代表性的民风民俗、西藏特色古建筑等为一体，是拉萨旅游去好去处。,https://dimg04.c-ctrip.com/images/100w0z000000nn74564AC.jpg
拉萨,罗布林卡,3118,29.651714,91.091817,4.5,罗布林卡，意为宝贝园林，存有大量的遗迹和珍宝。园内有三百多间房屋，是西藏历史上规模庞大且极为精美的一处园林。罗布林卡环境优美，植物、花卉种类和数量都很多，树荫蔽日，好像拉萨的“世外桃源”。罗布林卡长度约有1公里，宽500米左右，步行游览即可。园内共分为三个区域，分别为东边入口阁楼的前园区，中部的核心宫殿区和西部以植物丛林为主的金色林卡区。前园区园内的树木很密集，共有100多种植物，其中还有取自西藏各地甚至内地和国外的名贵花卉，被称为“高原植物园”。一走进园区便有浓密高大的树木出现在眼前，掩盖了内部的建筑，只有脚下的宽阔石板路引领人们向前。由于游人不多，使得园内有难得的静谧之感，阳光穿过浓密树叶漏洒在石板上非常安静，周围两侧的花朵多种多样又色彩斑斓，景色在拉萨十分难得。核心宫殿区而其中宫殿也均是当年精心修建的，建筑以金色房顶，红白围墙的藏式风格为主，布局大多依水而建。园林中间是一座小湖，走进水中间的湖心亭放眼观去，古木参天、芳草遍地，周围凉亭、水榭、回廊布局相得益彰，精致的让人觉得仿佛来到了苏州园林之间，十分优美。佛堂、讲经堂、护法神殿等宗教气息浓厚，其中的佛像、唐卡、壁画等，或光彩夺人，或富丽，都为艺术珍品。同时，因为有驻藏大臣帮助修建的原因，其中还有很多类似于“福禄寿喜”主题壁画的汉式艺术品，令人新奇。园内还展示了各国元首赠送的礼物，各具特色，值得好好参观一番。在这里除了基础设施和佛堂外，还有收音机、淋浴设施等物品。另外，园中除了有多种植物外，还建有一座动物园，现有多种动物，其中不乏雪豹等珍稀物种，可以一观。,https://dimg04.c-ctrip.com/images/10060z000000nm57g70EB.jpg
拉萨,色拉寺,3122,29.694323,91.134781,4.4,色拉寺位于拉萨北郊色拉乌孜山下，为拉萨三大寺之一，是藏区规模第二大的寺院。寺内建筑都是藏式风格，寺院大殿金碧辉煌，而且非常宏大。寺院内供奉了很多佛像，还藏有大量的经书、精美唐卡、堆绣、壁画等名贵的艺术珍品，参拜或是观赏都是不错的选择。著名的辩经色拉寺的辩经一直在藏区闻名，也是来到色拉寺游览的重点。色拉寺的辩经仪式在寺内北边的辩经场进行，每天下午三点开始，持续到五点，其中周日和特殊节日时没有，需要注意。辩经时，僧人们往往一个席地而坐，另一个站在对面，动作夸张的辩论经文，十分有趣。赏色拉寺建筑观赏色拉寺的建筑佛堂可以步行，整个寺院的周长约有1.5公里，色拉寺的布局是以措钦大殿为中心，周围散布着各大扎仓的众多建筑。与内地汉传佛教的建筑不同，色拉寺并非中轴对称布局，而是分散的错落在山间，殿宇中有名的就是马头明王殿和措钦大殿，可以重点参观。马头明王殿中供奉着色拉寺有名的马头明王像，马头明王是藏传佛教密宗的护法神，具有强大法力可以驱邪解难。传说这一尊马头明王神像是藏传佛教格鲁派的创始人宗喀巴大师在散步时听到了马嘶鸣的声音，沿着声音向地下挖掘而出的，所以在藏传佛教的传说中具有强大的祛邪法力。这里也是信众们参拜色拉寺的重点，可以加入到信徒的队伍中参拜一下，为自己祈福消灾。中心的措钦大殿则是色拉寺较大的建筑，由108根大柱子支撑，在举行宗教仪式的时候，可以容纳8000余名僧人。殿内供奉着寺院创始人释迦益西的塑像，塑像头顶的帽子十分独特，上面书写梵文，这顶帽子是他在内地讲经时明朝永乐皇帝亲自赐予的，可以亲自前去发现一下。登后山看拉萨全景色拉寺的后山位置较高，山顶可以观看拉萨市的全景，是爱好爬山者们的胜地。山相对高度约有500米，爬山需要4小时左右，需要一定体力，不过沿着山路稍微上升一点回望拉萨市区视野就十分开阔，体力不好或刚到拉萨容易高反的游客建议不用上到山顶。,https://dimg04.c-ctrip.com/images/0105i12000f6t2w12C0EB.jpg
拉萨,哲蚌寺,3121,29.673249,91.049185,4.6,哲蚌寺坐落于拉萨西郊的山坳之中，寺院的建筑群规模宏大，白色的房屋和红色殿堂鳞次栉比的铺满山腰，远远望去像是巨大的米堆，对着山腰拍摄出的照片非常壮观。它在藏传佛教格鲁派中地位极高，内部建筑既大气又金碧辉煌，有很多美丽的珍宝，还有僧人的辩经仪式可以观看。游览哲蚌寺首先到达哲蚌寺的山门，在山门前即可看到寺院处于山坳之中，三面环山，面对着拉萨河和前方的平川，建筑层层叠叠，气势壮观，像一座白色山城。而进入哲蚌寺后便可近距离观看寺内的藏式建筑，房屋都以白色围墙为底，金顶红沿的大殿错落其间，均是藏族特色。西藏的寺院与内地汉传的不同，在建筑上并非中轴对称布局，而是分散的错落在山间，可以沿路顺时针一一观赏，哲蚌寺总周长大约2公里，步行下来并不累，同时顺时针绕寺一圈也是为自己祈福积累善业的一种方式。哲蚌寺各个大殿之内雄伟壮观，其中寺院的大经堂有183根立柱，每一根立柱上的雕刻都十分精美。寺内的佛像庄严高贵又数目众多，而且还藏有大量的精美唐卡、堆绣、壁画等名贵的艺术珍品，可以一一观赏。哲蚌寺辩经哲蚌寺香火旺盛，有很多藏族群众在此转经磕头，跟随朝拜者的脚步一起转转经朝拜一下也是难得的静心方式。另外，每天午后，哲蚌寺的辩经场上热闹的辩经仪式也是来哲蚌寺旅游不可错过的一道风景。僧人们往往一个席地而坐，另一个站在对面，动作夸张的辩论经文，十分有趣。雪顿节每年藏历六月末的雪顿节，哲蚌寺都会举行盛大的晒佛仪式，长约30米宽20米的大佛像在山上的晒佛台展出，同时会有藏戏等节目表演，是拉萨极为盛大的景观之一，每年都会吸引全拉萨几乎空城而来共襄盛况。,https://dimg04.c-ctrip.com/images/0101l1200086923i3DB63.jpg
拉萨,小昭寺,5520,29.655958,91.132227,4.3,"""小昭寺位于拉萨市北京路以北的小昭寺路上，始建于公元641年，由文成公主奠基而建，寺庙取名“甲达热木齐祖拉康”，意为“汉虎神变寺”。小昭寺虽然规模和名声都比不过大昭寺，但别有风味。小昭寺建筑风格融合了汉藏式建筑特点。起初是由文成公主入藏时带来的汉族工匠修建而成，所以早期的小昭寺带有明显的汉唐风格。拉萨当地老人管这里叫“热木齐”，意思就是“汉人的”。建成后的小昭寺历史上几经火焚和重建，风格早已被藏式同化，只有殿内残存的10根大柱子依旧可见吐蕃遗风，精心雕刻的莲花图案、四周环绕的花草、卷云、六字真言还有镶嵌的珠宝，仿佛正在诉说着那些陈年往事。相对于拉萨其他寺庙，小昭寺显得很小，主体建筑为正面的一座大殿及门楼、转经回廓等附属设施。大殿有三层，底层为门庭、经堂和佛殿三部分，周围是转经廊道。门庭内左右为隔门小房，右间是放法器的地方。左间是配殿，内供有石榴树枝做的贡布色懂马塑像。门庭后的经堂内供奉有舍利佛的灵塔和密集金刚、吉祥金刚、四大天王和藏巴拉等佛像。后部为佛殿，殿内供有尼泊尔尺尊公主带来的铜鎏金不动金刚佛像和八大随佛弟子泥塑像，以及两大忿怒力士、宗喀巴塑像等，是尤为值得驻足的地方。大殿二层主要为僧房，寺庙的堪布也住在这里。其后是金顶殿，金顶为汉式风格，以斗栱承托。金顶垂脊末端套有羯摩鱼头，殿内门窗壁画、柱子等则是藏式风格，金顶殿是藏汉建筑的巧妙结合体。参观完大殿，就基本来到了寺庙后部的廊道，环绕大殿的廊壁上绘有精美的无量寿佛图像和四大金刚及六道轮回图，图案精美而鲜艳，有时会遇到热心的喇嘛为你讲解其中的奥妙。廊道旁边是一大排转经筒，平日里，来朝拜的藏民会沿着廊道边走边拨动转经筒，以祈福迎祥。这里也是寺内仅有可以拍照的地方。拨动着转经筒前行，就走回到寺门口。除了小昭寺，可以在门口的小昭寺路上逛逛，路上有当地人的肉店、商铺和茶馆等，徜徉其间，感受拉萨当地人的市井生活。""",https://dimg04.c-ctrip.com/images/0100t12000h0hei894AB9.jpg
拉萨,拉萨河,54499,29.6589,91.26487,4.6,拉萨河藏语称：吉曲，发源于念青唐古拉山南麓，向西南流经拉萨市后至曲水县汇入雅鲁藏布江，拉萨河流域东西长约551公里，流域面积32471平方公里，是雅鲁藏布江流域面积较大的一条支流。这里气候温和，地势平坦，土质较厚，水源充沛，土质较好，流域内拥有丰富的高原动植物以及地热资源，是当地主要粮食产区之一。,https://dimg04.c-ctrip.com/images/fd/tg/g4/M05/CB/30/CggYHVZzrUGAKPhNABwIGJ16XYQ767.jpg
拉萨,药王山,5525,29.650002,91.111504,4.7,药王山，藏语称：夹波山，意为：山角之山。位于布达拉宫西南侧，海拔3725米，与布达拉宫所在的红山咫尺相对，两山之间有北京路穿过。其半山腰有观景台，是拍摄布达拉宫的较佳位置之一，同时也是50元钱币的背面图案拍摄地。每天清晨，总有摄影爱好者在此汇集等待，拍摄布达拉宫的首缕阳光。药王山摩崖药王山东侧有个洞窟式的庙宇，造型奇特，称为：查拉鲁普。相传，它顶上的山崖是文成公主思念家乡时向东方朝拜的地方。洞窟开凿于松赞干布时代，至今仍然保存完好。石窟呈不规则长方形，岩壁上有69尊石刻造像，廊道两边排列石刻神像，北面石壁上有松赞干布与文成、尺尊两位公主以及大臣的造像。洞内光线较暗，全靠酥油灯照明。,https://dimg04.c-ctrip.com/images/1A0v14000000xcw65331B.jpg
