city,名称,id,纬度,经度,评价分数,介绍,封面图片
昆明,C86山茶坊,2506920,25.039837,102.72802,4.0,,https://dimg04.c-ctrip.com/images/01A3a120008wxeepn3E29.jpg
昆明,滇池,2967,24.820864,102.688101,4.7,滇池又称昆明湖，是中国第六大淡水湖。湖面烟波浩渺，十分壮阔，游玩昆明的游客大多会到这里来看一眼。可以在湖边漫步、乘船游湖，冬季还能喂鸟；也可以登上龙门俯瞰滇池，让人心旷神怡。滇池位于西山脚下，距市区约5公里，北端紧邻大观公园，云南民族村与西山公园隔水相望。前些年因不注意保护，水中蓝藻泛滥，导致水质急剧恶化。这些年开始大力治理，水质明显好了很多，多年未见的红嘴鸥也开始出现在湖畔。游玩滇池，可沿着滇池东岸的观景路走走，这条路修的非常漂亮，冬季时候，市民也常到此投喂红嘴鸥，其乐融融。路对岸既是西山森林公园，旁边就是滇池海埂公园，去往西山森林公园的索道就在海埂公园内。乘坐索道直达西山龙门，站在龙门上，居高临下，五百里滇池尽收眼底，风光无限。走完观景路，也可以顺路到海埂公园北侧的云南民族村游玩一番，感受云南省多民族的风情。或者在滇池北端的大观公园内，乘坐游船游览滇池风光。游船有手划船、机动船和快艇，可自行选择。,https://dimg04.c-ctrip.com/images/0101712000l9f17290372.jpg
昆明,云南民族村,2973,24.965773,102.660868,4.4,云南民族村位于昆明市区南侧，滇池池畔，是昆明旅游的热门去处。村内有1:1建造的傣族、白族、彝族等25个少数民族的村寨，而且各有不同的民俗、工艺表演等，一日内就可以遍览云南众多民族的风情。民族村中，以傣寨和彝族村值得一看。傣寨是进入民族村的第一个村寨，里面种满了热带和亚热带植物，一幢幢精致典雅的傣家竹楼点缀其间。有干栏式的民居楼、风情楼、泼水亭、佛寺、泼水广场等典型的傣式建筑物。引人注目的是村里的白塔——“波中塔”，它是按比例仿德宏州盈江的允燕塔建造的，40座小塔簇拥着高高的主塔，还有365个风铃声，十分悦耳。傣寨附近还可以乘坐画舫。彝族村很值得一看的是太阳历广场，广场中间竖有一根石柱，古时的彝族人便是通过石柱的日影来观测时辰。村里的巨“虎”则是古代彝族人的图腾。另外有村里还有彝族特有的土掌房建筑、烤酒作坊、文化楼等。在四月傣族的“泼水节”、七八月彝族的“火把节”等少数民族节庆时期，民俗村内也会举行热闹的庆典活动，不妨在此期间前往游玩，可以体验到更生动的民族风情。游玩时，你可选择步行，也可在景区内租借电瓶车、双人自行车代步，景区内还设有民族团结广场、民族歌舞厅、风味食品区等场所，可以观赏民俗表演、品尝民族风味小吃，以及购买民族工艺品，在领略民族风情的同时，享受休闲时光。园内的滇池广场每天都有《高原的呼唤》大型演出，如果有兴趣前往观看，订票时直接订购套票，更加划算。同时，在售票处的时候也要记得向售票员拿一份节目单，一些村寨的表演广场会有定时的演出活动，在指定时间到达便可，这些表演的时间在官网也可以查看。另外，景区正门售票处对面是云南民族博物馆，感兴趣的话可以和民族村一并游览。,https://dimg04.c-ctrip.com/images/1lo5912000dt5w2io0F56.jpg
昆明,翠湖公园,12098,25.048546,102.703738,4.7,翠湖公园位于昆明市区北部，云南大学对面，是昆明市区环境优美的城市公园，也是很多游客在昆明市内游玩的好去处。这里湖水碧绿，树木、荷塘典雅优美，冬季时还可以喂养、拍摄成千上万的红嘴鸥，趣味十足。翠湖公园以翠湖为中心，纵贯南北的阮堤和直通东西的唐堤，将翠湖分成五片景区；湖心岛景区以湖心亭和观鱼楼等清代建筑为主。湖心亭又叫“碧漪亭”，飞檐黄瓦造型美观，亭内有前后两个内院，平日里为各种展览举办之地。东南面是水月轩和金鱼岛；东北面是竹林岛、九龙池和知春亭，逢节便有人聚此对唱山歌，别有一番风情。堤畔垂柳拂面，湖内藕荷飘香，岛上亭台楼阁，将翠湖点缀的秀丽清新。秋天是赏枫好时节，翠湖公园从十月下旬开始，枫树就会慢慢变红，从金黄相间的枫叶到深红的枫叶也许只是一夜之间。这里的红枫林层层叠叠，与湖水交相辉映，形成唯美的秋日画卷。每年立冬时分，成千上万只红嘴鸥会从北方飞来在此越冬，这个时候是翠湖公园热闹的时候，市民、游客集中在此，投食喂鸟，与红嘴鸥互动，其乐融融，和谐的场面为翠湖公园增添了无穷乐趣。逛完翠湖，公园外环绕的四条街（翠湖东路、翠湖南路、翠湖西路、翠湖北路）上布满特色小店、咖啡馆和酒吧。你既可以环湖走走，度过一个悠闲的下午，也可以在夜幕降临时，融入到灯红酒绿的夜生活中。此外，翠湖公园附近有云南讲武堂旧址、云南大学等，可一并游玩。,https://dimg04.c-ctrip.com/images/100a1f000001grncg2491.jpg
昆明,金马碧鸡坊,17730,25.03335,102.710089,4.6,金马碧鸡坊位于昆明市三市街与金碧路交叉口，始建于明朝宣德年间，如今是昆明的地标和市中心，也是昆明的象征之一。绝大多数到昆明的游客都会造访这里，和牌坊合影，也逛逛周围的市中心和夜市。金马碧鸡坊是两座牌坊的合影，东侧的临近金马山的牌坊叫做金马坊，西侧牌坊临近碧鸡山，因此叫碧鸡坊。两座牌坊的区域不光是昆明的地标，也是城内繁华的商业中心之一，周围几条街内购物中心、美食餐厅遍布，是逛街好地方。夜里，周围街道上常常有热闹的夜市，可以去小摊贩上选择自己喜欢的东西，也可以在各个小吃摊边大快朵颐。,https://dimg04.c-ctrip.com/images/100s1f000001gx6ys21BE.jpg
昆明,海埂公园,17876,24.960503,102.658688,4.5,海埂公园位于滇池的东畔，是一处风光秀美的公园，也是滇池的主要观赏地。这里沿湖绿树婆娑，搭配了橙黄色的步道，各种色彩鲜亮的雕塑，环境清新优美。海埂顾名思义，就是指深入滇池中的一道长堤，这条堤坝把滇池分成了两片湖泊。如今堤坝两侧种植了草坪，沿着堤坝到湖中游览观光感觉十分不错。每年冬天，滇池都是红嘴鸥栖息的乐园，届时在公园里喂鸟观鸟更是昆明市民的一项热门活动。,https://dimg04.c-ctrip.com/images/0102k12000h1bffs1F80E.jpg
昆明,东川红土地,77453,25.901626,103.06064,4.8,东川红土地位于昆明市东北，因土壤里含铁、铝成分较多，就形成了炫目的赤红色彩。土地被田地和农作物分割成一个个色块，远远看去，五彩斑斓，衬以蓝天白云，更为壮观。这几年，红土地逐渐成为了摄影爱好者的天堂。游玩红土地较佳时间有几个：每年4-5月麦子成熟期间、9-12月荞麦和油菜花旺盛生长的时候和2-3月田间偶有残雪的时候。因红土地各观景点距离较远，如果需要拍摄落霞和日出的话，建议在花石头村住宿。红土地景点较为分散，在花石头村附近有一个明显的三岔路口，是花石头村至红土地镇、东川区和昆明三条公路的交汇点，三条线可以将红土地的主要观景点串联起来，形成三条主要的观景线路：西北线、东北线和南线。游玩红土地简便的方式是包车，在东川城区包车一般每天250-300元不等，这样可以一天内跑完三条线，并且随时可以路边停车，不错过一丝美景。常规的拍摄路线：朝霞在打马坎观赏，其它时间在七彩坡、锦绣田园、乐谱凹、老龙树，傍晚时分到落霞沟拍落日。西北线：景点从南到北有浪大地、锦绣园、七彩坡和打马坎。浪大地位于三岔口以西，层层梯田如翻腾的浪花，故而得名。七彩坡与锦绣园其实是同一片土地，但从不同的角度去观赏，则会带来不同的视觉冲击。由于种植有大片土豆、荞麦等农作物，开花时节，色彩丰富颇为壮观。打马坎位于西北线的北部，是适合拍摄日出的地方。东北线：景点从南到北沿途有大平塘、老龙树、冬瓜湾、落霞沟和月亮田等。老龙树是一株树龄上千年的冷杉，孤独的立在红土地上，古朴而沧桑。每年五月份梯田放水插秧的时候，落霞沟的线条像一面琵琶，而且，落霞沟也是傍晚拍摄夕阳和落霞的好位置之一。月亮田距离花石头村约20公里，梯田景观和峡谷景观在这里结合，层次很丰富，是很多摄影爱好者钟爱的出大片的地方。南线：南线是去往昆明的公路，两侧有乐谱凹、大窝塘、大丫口等观景点。乐谱凹距离花石头村只有一公里多，一层层几乎水平的梯田仿佛七彩的五线谱，田间劳作的农民则是点缀的音符，惟妙惟肖。,https://dimg04.c-ctrip.com/images/0106e1200086sl3r59244.jpg
昆明,西山风景名胜区,12381,24.963687,102.628325,4.5,西山位于昆明市西侧，毗邻滇池，距离市区约15公里。这里森林茂密，环境清新雅致，又可以俯瞰浩瀚滇池，一直是昆明人和游客们爬山观景的好去处。山上的龙门石窟更是古老珍贵，是热爱人文的游客的必体验之地。西山景区内名胜景致众多，华亭寺、太华寺、聂耳墓、三清阁等，无不更具特色。从景区入口开始，上山的路都是柏油路，一路前行，不时可以看到滇池，也能遭遇到华亭寺、太华寺等古刹，加之山间空气清新，徜徉其间颇为惬意。从入口到山顶龙门，步行约需2小时。建议乘坐景区环保车直达龙门口，游玩龙门后，再慢悠悠的步行下山，这样比较轻松。龙门指的是西山三清阁到山顶达天阁之间的一段石雕工程。一路的千百个台阶和沿途随处可见的浮雕、石刻和山洞等都是由清代匠人采用原始的工具一点点雕琢而成，整个工程历史72年才得以完工，堪称壮观。达天阁是龙门的制高点，建有专门的观景台，站在台上，可俯瞰苍茫的五百里滇池。过了观景台继续前行，可达凌虚阁，凌虚阁比达天阁海拔更高，视野也更开阔。但是沿路却十分开阔且平坦。游玩结束，可乘坐龙门索道回到半山腰的太华山庄。沿着太华山庄旁的山路慢慢走下山，不远即来到聂耳墓。内有聂耳的汉白玉雕像和一个展览馆，馆内有带有耳机的点播器，可以在此欣赏聂耳的音乐作品并稍事休息。继续前行来到太华寺和华亭寺。两寺分别修建于元代和唐代，钟鼓楼、天王殿、大雄宝殿等主要建筑都随山势上升，显得高大雄伟。两寺之间以“太华古道”相连接，石阶的山路宽敞平坦，步行于期间，感觉宁静悠远，也能避开上下山的人流。继续下行，依次经过玉兰园、升庵亭，就可以回到景区大门口了。,https://dimg04.c-ctrip.com/images/100f0n000000dzojg09A9.jpg
昆明,龙门,2964,24.950948,102.637063,4.5,龙门位于昆明西山风景名胜区内，是西山景区的主要景点。这里可以俯瞰浩瀚天池，欣赏道教古迹，更有历时72年开凿的石窟岩壁，非常珍贵。游玩龙门景区，可以在西山脚下乘坐环保车前来，也可以直接从云南民族村或者海埂公园乘索道直达。进入景区后，可以沿着石壁栈道步行游览，一路的千百个台阶和沿途随处可见的浮雕、石刻和山东等都是由清代匠人采用原始的工具一点点雕琢而成，整个工程历史72年才得以完工，堪称壮观。达天阁是龙门的制高点，建有专门的观景台，站在台上，可俯瞰苍茫的五百里滇池。过了观景台继续前行，可达凌虚阁，凌虚阁比达天阁海拔更高，视野也更开阔。这几处都有道观，供奉着道教的神祗，香炉、滇池和远处的城区拍出合影非常好看。游玩结束后，可乘坐龙门索道回到半山腰的太华山庄（近龙门景区门口）。,https://dimg04.c-ctrip.com/images/0100b12000lu5dmp4E88A.jpg
昆明,大观楼,144843,25.024224,102.673895,4.5,大观楼位于昆明西山大观公园内，建于清代，是俯瞰观赏滇池的好地方。由于大观楼在历史上闻名海内，所以有很多文人墨客为这里留下了墨宝，其中清代名士孙髯翁留下的长联就悬挂在大观楼的大门两侧，登楼前不妨仔细瞧瞧。,https://dimg04.c-ctrip.com/images/0100312000fjxftczA124.jpg
