city,名称,id,纬度,经度,评价分数,介绍,封面图片
杭州,西溪天堂商业街,1441456,30.266371,120.088348,4.7,"西溪天堂商业街位于西溪湿地公园的东南角，紫金港路和天目山路口。这里游人不算多，环境宜人，有不少酒吧、餐厅，其中外婆家旗舰店无论规模还是装潢都让人眼前一亮。
游完西溪湿地之后，你可以来这里走走逛逛，去保利国际影城看电影，悦榕庄、喜来登等有名高端酒店都在这附近。西溪天堂是《奔跑吧兄弟》的外景地之一，游览途中，综艺迷们或许会遇见熟悉的场景。",https://dimg04.c-ctrip.com/images/1A0k1a0000019508u4116.jpg
杭州,清晨假日山庄,5148287,29.967799,120.1298,5.0,自开放以来，该山庄依托丰富的自然资源和人文景观，为游客提供了一个远离城市喧嚣、亲近自然的理想去处。游客可以在这里进行垂钓、徒步、烧烤等多种户外活动。,https://dimg04.c-ctrip.com/images/0105b12000cnvevxtBCC3.jpg
杭州,红栎山庄,5149210,30.231854,120.13661,0.0,红栎山庄内植春柳，四围亭台环之，内有莲池，池蓄金鱼。园景以春竹、夏荷、秋菊、冬梅出名。园内园外互相映衬，湖山秀色一览在目。可惜抗日战争杭州沦陷时，庄屋被毁，只剩“藏山阁”一处。2003年取原山庄之园林意趣，在杨公堤畔易地恢复。,https://dimg04.c-ctrip.com/images/0102y12000ck20zb88E82.jpg
杭州,西湖风景名胜区,49894,30.222577,120.121526,4.7,西湖无疑是杭州之美的代表，很有名的“西湖十景”环绕湖边，自然与人文相互映衬，组成了杭州旅行的核心地带。你不必执着于走遍每个景点，倒可以花上半天或一天在湖边徜徉一番，无论怎么玩，都让人心情舒畅。杭州市杭州西湖风景名胜区，见证了中国传衍至今的佛教文化、道教文化以及茶禅等文化传统的发展	。1982年杭州西湖风景区被评选为首批国家重点风景名胜区。2007年被评为“国家AAAAA	级旅游景区”。2011年6月24日，杭州西湖文化景观被列入《世界遗产名录》。西湖风景名胜区东起杭州城区松木场、保路转少年宫广场北，经白沙路、环城西路、湖滨路、南山路至万松岭以南及吴山、紫阳山、云居山景点全部；南自鼓楼沿吴山、紫阳山、云居山东侧山麓经凤山门沿凤凰山路于天花山沿西湖引水渠道至钱塘江北岸，转珊瑚沙贮水库至留芳岭以北；西自留芳岭、竹竿山、九曲岭、名人岭至美人峰、北高峰、灵峰山至老和山山脊线以东；北自老和山山麓（浙江大学西围墙）转青芝坞路北侧30米，接玉古路、浙大路、曙光路至松木场以南。西湖风景名胜区有100多处景点，其中以“西湖十景”“新西湖十景”和“三评·西湖十景”而闻名。西湖概览游玩西湖可以步行、坐游船、乘电瓶车，也可以自驾或者骑行。其中，电瓶车是方便省力的，环西湖有招手即停的游览车，线路正好绕西湖一圈；沿湖骑行浪漫又悠闲，西湖沿岸有不少租借公共自行车的点；若想坐船游览，湖边有近10个码头，有各种不同的船和线路，比较推荐乘船去湖中心的三潭印月，顺便在船上饱览西湖景色。或者在湖边招揽一艘手划船，由船夫划船带你游湖，更自由一些。北线风光西湖北岸集中了不少景点，通常从东北角的断桥残雪出发往西一路逛到岳王庙。你可以沿着白堤一路走到孤山，看西泠印社、浙江省博物馆、中国印学博物馆、放鹤亭等人文景点，在楼外楼吃地道的西湖醋鱼，从西泠桥下岛，不远便是岳王庙和曲院风荷。如果是日晒强烈的夏天，则推荐顺着北山路走走，躲在浓密的树荫下看对面白堤上断桥的曲线和摇曳的垂柳，沿路有不少入口通往宝石山，可以去爬山看景，下山也就到了岳王庙。岳王广场上有不少小店可以吃东西，晚上这里的印象西湖演出也很值得一看。如果时间、精力充沛，还可以从这里上苏堤，步行赏西湖全景。东南沿岸（湖滨-南山路）另一个景点集中的区域是东南沿岸的湖滨路-南山路，湖滨路在杭州市区和西湖景区的交接处，可以看西湖景色，也有码头可坐西湖游船，还有标志性的音乐喷泉。湖滨路的好处是能很快从景区到达市中心的商圈，适合行程比较匆忙的游人短时停留。由湖滨路往南，沿着南山路走，沿路可游玩柳浪闻莺、长桥、雷峰塔、南屏晚钟、花港观鱼等景点，相邻景点之间的距离都不算远，可以步行，游览车、公交车也很方便，可安排一天按照喜好挑选几个来游玩。其中，雷峰塔、南屏晚钟可以安排在傍晚，净慈寺里听钟、雷峰塔上俯瞰西湖夜景都是很赞的体验。,https://dimg04.c-ctrip.com/images/0100312000iznjmym62D5.jpg
杭州,灵隐寺,2040,30.240712,120.101383,4.7,灵隐寺又称“云林寺”，坐落于西湖西面的灵隐山麓。寺内环境清幽，是杭州最早的名刹，留存着各朝代众多精美文物。这里是济公的出家地，据说求愿很灵验，每天来祈福的香客络绎不绝。一千七百年的风雨，使灵隐寺成为历史与文化的宝库：天 王殿上悬“云林禅寺”匾额，为清康熙帝所题；大雄宝殿前的石塔、天 王殿前的石经幢均是五代十国吴越时的遗物；寺内珍藏的佛教文物有古代贝叶写经、东魏镏金佛像、明董其昌写本《金刚经》、清雍正木刻龙藏等珍贵宝物。灵隐寺还是“济公”道济和尚出家的寺庙，在道济禅师殿中供奉的一尊右手拿破扇、左手持念珠、右脚搁在酒缸上的佛像便是济公像。灵隐寺背靠北高峰、面朝飞来峰，飞来峰虽然山不高，但山上有许多奇幻多变的洞壑，更遍布着五代以来的佛教石窟造像多达三百四十余尊，是我国江南少见的古代石窟艺术瑰宝。寺庙常年香火旺盛，特别是在初一、十五或者佛教盛日，善男信女从四面八方而来，更是人山人海。,https://dimg04.c-ctrip.com/images/10090n000000e2tjiAAF1.jpg
杭州,西溪国家湿地公园,25481,30.267233,120.064922,4.5,西溪国家湿地公园位于杭州城市西部，离杭州主城区武林门只有6公里，距西湖仅5公里。西溪起始于汉晋，发展于唐宋，兴盛于明清，衰落于民国，再兴于当代。杭州历史上曾有“西湖、西溪、西泠”并称“三西”之说。历史上的西溪占地约60平方公里，现实施保护的西溪湿地总面积约为10.38平方公里。有“秋芦飞雪、高庄宸迹、渔村烟雨、河渚听曲、龙舟胜会、曲水寻梅、火柿映波、莲滩鹭影、洪园余韵、蒹葭泛月”等十景，“福堤、绿堤、寿堤”三堤。西溪是国内仅有的集城市湿地、农耕湿地、文化湿地于一体的罕见湿地，也是全国较早国家湿地公园。 西溪湿地蕴涵了“梵、隐、俗、闲、野”五大主题文化要素，分区特征为“南隐、北俗、东闹、西静”。西溪文化的精髓是“一园五地”：洪园、越剧首演地、词人圣地、水浒孕育地、文人逍遥地、民俗浓缩地。西溪有梅林300亩，种植有江梅、宫粉、朱砂、绿萼、玉蝶、美人梅等多个品种。西溪赏梅的好去处在梅竹休闲区，梅竹山庄和西溪梅墅集中，从周家村到高庄的梅堤沿线也种植了不少梅花。从11、12月至次年3月，都陆续有不同品种的梅花开放。“曲水寻梅，摇舟探梅”是西溪特有的赏梅方式。,https://dimg04.c-ctrip.com/images/0101v12000f6tsjqh2BFD.jpg
杭州,杭州宋城,4081,30.16963,120.098912,4.6,给我一天，还你千年！杭州宋城是一个穿越古今、颠覆想象的景区，二十个剧院、百场演出，一天看不完，总有一款适合你。景区内东街、西街、北街、市井街、虹桥、风花巷街衢纵横，一派繁华的宋韵景象，国风、古风扑面而来。朋克街、宋城门、天空树、时光树、相思树、云梯漫步、演艺广场等一步一景，穿越时空。泛舟宋河上，人在画中游，体验浓郁的江南韵味。在森林剧院尽情狂欢，在悬崖剧院与风齐鸣。主秀《宋城千古情》是一生必看的演出，金戈铁马、美女如云，与拉斯维加斯的“O”秀、巴黎红磨坊并称“世界三大名秀”。《丽江恋歌》《库克船长》《幻影》《水上音乐会》《悬崖音乐会》《抛绣球》《锅庄》《快闪》等演艺秀，风格迥异。清明上河图电影馆、光影馆、聊斋惊魂鬼屋、《虚拟空间》《幻境空间》等大型体验项目，上天入地。《大地震》《上甘岭》《映山红》等实景剧，山崩地裂、战火纷飞，是一次涤荡心灵的红色之旅。宋城是一个全家共享天伦之乐的亲子基地。带孩子体验精灵谷、挑战空中探险，释放天性。老人在鳞次栉比的作坊，寻找儿时的记忆。景区一切以游客为中心，主要剧院和景点都有风雨廊相连，为游客提供晴雨皆宜的舒适体验，是一个集旅游、演艺、度假于一体的网红打卡地。毗邻景区的千古情酒店为你提供便捷的度假体验，购买景酒套餐可多次入园、更享优惠。宋城，给我一天，还你千年！,https://dimg04.c-ctrip.com/images/0105d12000jc363pv3AB5.jpg
杭州,雷峰塔,2033,30.23082,120.148872,4.5,雷峰塔又名“黄妃塔”，位于西湖南岸夕照山的雷峰上。很多人的“雷峰塔情结”源于白娘子传说，尽管旧塔在1924年就倒掉了，如今这座是在原塔基上新修的，里面有电梯和空调，但并不妨碍你来此寻访白娘子的踪迹。景区看点雷峰塔本身是整个景区一大看点，新修的雷峰塔更像一个博物馆，从底座往上共有5层。检票后先乘坐电梯（当然也可爬旁边的楼梯）到塔基遗址，这里可以看到被玻璃围起来的旧塔的残破底座，里面满地都是零钱，也算是雷峰塔一景。这一层还有一些地宫出土的文物展，以一座阿育王塔甚是精美。再往上，来到塔的底层，这一层展出的是大型东阳木雕壁画《白蛇传》，非常细致。从这里继续往上才开始正式登塔，里面有步行的楼梯，也有手扶电梯，大多数时候都需要排队。登塔赏西湖全景塔里每层楼都展示着一些诗文、壁画，但大多数人登塔是为了看景。雷峰塔高处的视野很好，不仅可以看西湖全景，还可以俯瞰对面净慈寺的全貌。尤其是晚上，西湖沿岸的灯光勾勒出整个西湖的轮廓，景色醉人。其它景观除了雷峰塔之外，景区内还有夕照亭、妙音台、放生池等小景点。其中，塔前的放生池里有一块巨大的假山石，挂满了被放生的旱龟；佛舍利馆里可看到佛螺髻发舍利。,https://dimg04.c-ctrip.com/images/100v0x000000lrchnB808.jpg
杭州,苏堤,2036,30.232125,120.14268,4.7,苏堤贯穿西湖南北，是苏东坡在杭州做官时所建，也叫“苏公堤”。因春景迷人，亦被称为“苏堤春晓”。苏堤全长近3公里，堤上柏油路两侧柳树成荫。你可以漫步欣赏三潭印月、雷峰塔等西湖美景，人少时骑单车也很不错。沿途景点苏堤由南向北有映波、锁澜、望山、压堤、东浦、跨虹六座石桥。映波桥和锁澜桥之间有有名景点“花港观渔”的入口，站在映波桥上可见到里面的一角；压堤桥适合观赏西湖全景，桥南的御碑亭里立有康熙皇帝题写的“苏堤春晓”碑刻；东浦桥则是湖上赏日出的好地方。苏堤两端景点较集中，南端路口有苏东坡纪念馆，可免费参观，此处离雷峰塔、净慈寺仅500米。北段路口附近有岳王庙、曲院风荷、孤山公园等景点，还有《印象西湖》的演出地。自然风光春季的苏堤景色迷人，适合散步、摄影；而夏季则可观赏到苏堤西侧成片的荷花。走在苏堤两侧的临湖小径上欣赏湖色十分惬意，走累了还可在长椅上小憩。游玩攻略由于苏堤禁止汽车通行，步行是常见通行方式，边走边看但不作停留的话，通常大约1个小时就可走完。想节省时间的话，可以坐招手即停的环湖游览车。骑自行车逛苏堤感觉也不错，但节假日人多的时候千万不要骑上去，否则会总想着避开人群。,https://dimg04.c-ctrip.com/images/10051f000001gsqaqA5D8.jpg
杭州,白堤,2044,30.256709,120.15001,4.7,白堤原名白沙堤，它一端连着断桥，一端接着平湖秋月和孤山，中间是平坦的柏油路。道路两边种着整齐的杨柳和桃树，抬眼便是西湖美景，很适合悠闲漫步。白居易的名句“爱湖东行不足，绿杨荫里白沙堤”说的就是这里。游览季节与看点通常会从北山路的断桥进入，一路走走逛逛，经过锦带桥后到达平湖秋月，由此上孤山可继续游览西泠印社、浙江省博物馆（孤山馆）等景点。游览白堤四季皆宜，若要欣赏白堤经典的“一株杨柳一株桃”的景色，则须在春天三四月前往，而且好选择在对面的北山路上观看桃红柳绿的白堤全景，拍出的照片也是美的。游玩建议游玩白堤以步行为主，也可以租辆自行车骑行，机动车是禁行的。白堤没有苏堤那么长，全长约1公里，一般人都能轻松游览。沿白堤骑车的感觉也不错，可以在公共租车点租辆自行车，也可以在旅馆或路边的租车店租一辆。不过，节假日游人较多时不建议骑车，可能一路都得避让人群。旺季常这里常人满为患，如果有条件，不妨选择错开旅游高峰。而由于堤上种植的是低矮的柳树和桃树，夏季遮挡并不严密，因此也并不建议在烈日暴晒下在白堤上行走。好是在每天早、晚，尤其是傍晚饭前天将暗未暗时，悠闲地漫步堤上，累了在湖边长凳上小憩，你会发现这是白堤一天中难得的清静时刻。,https://dimg04.c-ctrip.com/images/0103v1200087dxt1u51AD.jpg
