city,名称,id,纬度,经度,评价分数,介绍,封面图片
武汉,金桂园休闲农家乐,5286012,30.598896,114.079603,4.7,,https://dimg04.c-ctrip.com/images/0105f120008ffsws6E605.jpg
武汉,澜庭,16504337,30.573095,114.378525,0.0,,https://dimg04.c-ctrip.com/images/100b16000000zoouw6ECB.jpg
武汉,黄鹤楼,8979,30.543864,114.304379,4.6,"黄鹤楼（Yellow Crane Tower），位于湖北武汉武昌长江南岸蛇山峰岭之上。始建于三国时代吴黄武二年（公元223年），历代屡建屡毁，今天看到的黄鹤楼，是1985年重建的。黄鹤楼是国家5A级景点，享有“天下绝景” 、“天下江山第一楼”之称，是武汉的城市地标之一，因唐代诗人崔颢“昔人已乘黄鹤去，此地空余黄鹤楼”的诗句而名扬天下，李白等都为黄鹤楼留下了诗词。登上黄鹤楼远眺，可以看到滚滚长江和武汉三镇风光。黄鹤楼公园有东门、南门、西门3个入口，东门位于近首义广场一侧，有专门的停车场，停车较方便；南门位于长江大桥武昌侧引桥处，有专门的公交车站，公共交通较方便；西门位于长江大桥上，便于步行游览长江大桥及从户部巷上长江大桥的游客进入。黄鹤楼位于武汉长江南岸的黄鹤楼公园内，是公园的主体景点，公园和黄鹤楼统一售票。黄鹤楼与岳阳楼、滕王阁并称为""江南三大名楼""。黄鹤楼坐落在蛇山山顶，楼5层，高50余米，72根圆柱拔地而起，60个翘角凌空舒展，恰似黄鹤腾飞。楼内各层布置有大型壁画、文物等。楼外铸铜黄鹤造型、胜像宝塔、牌坊、亭阁等一批辅助建筑。楼面用10多万块黄色琉璃瓦覆盖，在蓝天白云的映衬下，色彩绚丽。2月至3月间是二月兰花期，山北之地，紧邻电瓶车道，大片二月兰，从不起眼的零零星星开到迷人的紫色海洋。在西区南北亭至南北轩、山脊白云阁至春牌坊沿线，粉嫩的垂丝海棠笑东风，花期为三到四月。在紫薇苑内、岳飞广场至东门牌坊沿线，每年三月怒放的白色的喷雪花如大雪初降····",https://dimg04.c-ctrip.com/images/1lo3k12000dfdqf7dB871.jpg
武汉,东湖生态旅游风景区,8974,30.559282,114.41937,4.6,武汉东湖风景区，是国家5A级旅游景区，景区内主要有听涛景区、磨山景区、落雁景区和吹笛景区，四个景区各具特色：听涛休闲、磨山赏花、落雁观鸟、吹笛游山。此外，湖北省博物馆、武汉欢乐谷、武汉植物园、东湖海洋乐园均在东湖风景区内，101.98公里的东湖绿道，将所有景区紧紧串联。听涛景区位于东湖的西北岸，景区内有以纪念诗人屈原为主体的景点群，是当地市民重要的纳凉休闲之地。主要风景点有：行吟阁、长天楼、牡丹园等。每年春节，这里还会举办大型的“东湖灯会”。 东湖海洋乐园在景区内，湖北省博物馆离景区1.5公里。磨山景区位于东湖的南岸，景区内设有多个植物园，花木品种繁多，尤以樱花和梅花的盛名，每年都会举办各种赏花节。景区的东湖樱园内，樱花品种和规模远盛于武汉大学，每年樱花节，樱园接待游客超百万人。这里还有全国较大的楚文化游览中心，主要景点有：楚城、楚天台等。落雁景区位于东湖的东北岸边，是一个湿地公园，以湖滨湿地、古树名木为特色。每年冬天，这里聚集着数以万计来自北方的鸬鹚，并常有大雁、野鸭、白鹭等鸟类。景区还有雁洲索桥、鹊桥相会、鸳鸯合欢等人文景点，是当地人婚纱摄影的热门场所。吹笛景区位于东湖的东南部，是由之前的马鞍山森林公园改建而成，湖畔有座吹笛山，景区内森林茂密，可以爬山和烧烤。湖北省博物馆东湖边的湖北省博物馆，八大级别博物馆之一，现有藏品24万余件。其中郧县人头骨化石、越王勾践剑、曾侯乙编钟和元代青花四爱图梅瓶被誉为湖北省博物馆的四大“镇馆之宝”。东湖海洋乐园位于东湖的西岸，看海陆空萌物出没，观国际大马戏全程高能，冲下彩虹滑道过夏天，释放能量，亲子溜娃。武汉植物园武汉植物园位于磨山景区旁，成立于1958年，园区面积70公顷，是中国三大核心科学植物园之一。武汉植物园的厉害之处在于，除了逛公园之外，它本身就是一个科研基地。与你擦身而过的某位白大褂，可能就是一位无所不知的“博物君”。落雁景区位于东湖的西北部，景区拥有亚洲首座双龙木质过山车“木翼双龙”、720°圆环过山车“凤舞九天”、弹射过山车“极速飞车”可爱的饼干王国，大小朋友都能玩。东湖杉美术馆位于东湖的南部，背靠杉树林，藏身磨山茶园间，所有展览室均是脱胎于园内废弃的建筑。1号展室在馆外，曾是茶厂的瞭望台，登梯上去，才发现它被改造成了蜂巢万花筒，草木的四季变化被折射如幻境一般；剩下的仓库和老民房则成了另外3座展室，其中4号展室长年展出长近20米的巨型水墨画《驾云起飞》，画前长纱随风舒展，仙逸灵动。,https://dimg04.c-ctrip.com/images/0100512000j6bxlg4CFC1.jpg
武汉,户部巷,50969,30.547993,114.298406,4.4,户部巷位于武昌区，清代时，小巷因毗邻户部下属的藩台衙门而得名。这里汇集了众多的武汉小吃，是来武汉的必体验之地。户部巷以经营武汉小吃和早点而闻名，是武汉市民“过早”的好去处。户部巷孕育了陈记牛肉面、徐嫂糊汤粉、李桃烧麦、今楚汤包、多乎斋豆皮馆等数十个武汉本地小吃品牌，也吸引了一批武汉的老牌小吃企业来此扎堆，如近年驰名全国的武汉精武鸭脖、周黑鸭、大中华酒楼、蔡林记热干面等。从户部巷出发，步行十几分钟可以到武汉长江大桥，这里夜景十分美丽。此外，户部巷距离黄鹤楼不是很远，吃饱喝足后，可以登黄鹤楼，眺望长江。,https://dimg04.c-ctrip.com/images/0102m12000h46c4gaC3F6.jpg
武汉,武汉长江大桥,8978,30.54999,114.287676,4.7,武汉长江大桥，是长江上修建的第一座桥梁，也是武汉的地标性建筑。大桥横跨于武昌蛇山和汉阳龟山之间，1957年建成。桥的两端建有民族风格的桥头堡。大桥的建设得到了苏联政府的帮助，整座大桥充满了厚实的俄式风格。大桥分为两层，上层是公路，两旁有人行道；下层是铁路。大桥南、北桥头堡下分别是武昌江滩和汉阳江滩，武昌江滩附近有黄鹤楼（从桥头堡步行约半小时可到）、辛亥革命博物馆等景点；汉阳江滩附近有龟山公园和晴川阁等景点。武汉长江大桥是可以步行走上桥面，并走过江的。你可以从武昌的黄鹤楼附近和汉阳的龟山公园南门附近，通过引桥走上桥面过江，全程耗时约50分钟；或者在大桥南、北两个桥头堡下，乘坐电梯（电梯收费）到达桥面后，再步行过江，全程耗时约30分钟。,https://dimg04.c-ctrip.com/images/fd/tg/g2/M03/8D/1C/Cghzf1Ww-9yAMZiEAB-9TBnygDw675.jpg
武汉,武汉大学,45011,30.536522,114.366263,4.7,武汉大学前身为清末湖广总督张之洞创立的自强学堂。学校濒临东湖，环抱珞珈山，校园内绿树成荫。近年来，武大的樱花名声远扬，校园内主要赏樱地点有：樱花城堡、樱花大道、樱顶、珞珈广场等处。在武大校园里，除樱园外，第四教学楼、鲲鹏广场、人文科学馆、行政大楼、校医院一带以及工学部主教学楼、信息学部星湖、医学部等处皆有樱可赏。而赏樱地点，还是莫过于“樱园”，这片直接以“樱”命名的园区了。樱园一带以小日樱花为主，收集了早樱、晚樱和垂枝樱等共6种10余个佳品的樱花，花色丰富，绚丽多彩，枝、干多异且花期不同。每当寒冬过后，梅花凋谢之时，早樱开放，继而小日樱花、垂枝樱花、晚樱等开放。盛开时节，樱园酷似花的海洋，成千上万游客慕名而至，留连观赏，如醉如痴。作为“中国大学校园建筑的佳作与典范”，武汉大学除了樱花，更值得一看的是那一幢幢的老建筑。宋卿体育馆、老图书馆、老文学院、老法学院、大学生俱乐部，还有学生被称为“樱花城堡”的老宿舍（也称老斋舍）。而珞珈山腰东南的教工住宅群，建筑风格更是整体采用了英式乡间别墅风格，每一栋都自有其特点。,https://dimg04.c-ctrip.com/images/0104r120008cakc5hA392.jpg
武汉,武汉欢乐谷,119529,30.592517,114.395025,4.8,"武汉欢乐谷，是华中地区的大型文化主题公园，由华侨城集团倾力打造，于2012年4月29日开园迎宾。惊险刺激的游乐设备、丰富多彩的演艺项目、精彩纷呈的主题文化节庆活动让武汉欢乐谷成为“时尚、动感、激情”的繁华都市开心地。园区创新设置了100多项娱乐体验项目，包括双龙木质过山车“木翼双龙”、720度圆环过山车“凤舞九天”、中国至高的弹射过山车“极速飞车”等30多项游乐体验设备，以及40多处生态人文景观、10多台文化演艺精品和20多项主题娱乐游戏，精彩诠释多元欢乐。欢乐海洋“欢乐海洋”融科技性、互动性、观赏性为一体，打造一站式狂欢，欢乐加倍升级！丰富的游玩体验、七大亲子互动设备让游客眼界加倍、亲情加倍、体验加倍，一票通玩，全家出动随时畅享狂欢！梦想大道梦想大道位于欢乐谷文化公园前方,在主题风格上强调简约的现代主义原则,以玻璃大棚构建仪式空间,以缤纷主题奉献欢乐生活。在功能上集中了检票、商业和餐饮等游客服务功能,游客寻着欢快的音符,穿过这里,进入公园的核心娱乐地带。欢乐时光欢乐时光是武汉欢乐谷具有激情的主题区。它以马戏团与嘉年华相融合的文化特色为背景,突出欧洲马戏的滑稽幽默和灿烂多彩的节日狂欢,营造出热烈奔放的海岸风光以及热闹喧嚣的派对风情。极速世界极速世界是具有速度的力量体验区,位于公园入口区的右侧,与魔幻城堡区相呼应。在规划上,以极速飞车（弹射过山车）围合出娱乐广场空间,以太阳神车（大摆锤）为广场焦点，星际奇航矿山车呼啸期间；以极限表演场强化演艺功能,营造刺激氛围。欢乐江城欢乐江城主题区以荆楚地域人文为背景,以多彩诙谐的语风串联出一幅幅欢欣鼓舞的侠义场面,生动地再现了湖北地区的文化风情,规划了水寨集市、水岸江城两大版块,景观丰富。飓风湾飓风湾主题区是水上项目的聚集区,以美洲海域风情为文化背景,突出阳光、运动、活力和热情,以舒展的空间效果结合沙滩、海浪元素,创造主题区的特色体验。羽落天堂羽落天堂是延续水杉林湿地资源修复而成的生态园地,是欢乐谷具有生态柔情的主题区,着重强调人与自然的和谐关系。区域以动植物花园和赏鸟园为主,以连缀的鸟笼和湿地展厅构成观光游览体系,结合地域园林景观,着力营造出自然与人工布景相互交融,四季景色分明的宜人世界。渔光岛渔光岛主题区是武汉欢乐谷的生态体验区,更是远眺东湖的制高点。规划上分为主题娱乐与休闲体验两大空间,主题娱乐区临近主环路,与大型情景剧场互为添彩；休闲体验区独居湖中,茶生蔓坡,蝶飞鱼翔。甜品王国甜品王国主要面对儿童和家庭市场,以热门IP“饼干警长”为主题,突出亲和友爱的氛围。主体空间分为中型器械游乐、小型器械游乐、互动体验馆等几大部分。",https://dimg04.c-ctrip.com/images/010011200089jjkpl9105.jpg
武汉,湖北省博物馆,8977,30.561503,114.365484,4.8,湖北博物馆的四大宝：出土于“曾侯乙墓”的曾侯乙编钟；冷兵器时代的精品之作越王勾践剑；距今100万年的郧县人头骨化石；元青花瓷中的珍品：四爱图梅瓶。馆内的日常展览，还具有鲜明的古楚文化和古长江文明的特征。湖北博物馆由综合陈列馆、楚文化馆、编钟馆等三座仿古建筑构成，布局体现了古楚国建筑的“一台一殿”、“多台成组”的高台建筑布局格式。1978年出土于“曾侯乙墓”的曾侯乙编钟，音域宽广，它的出土改写了世界音乐史；冷兵器时代的精品之作越王勾践剑，至今锋利无比，在它边上展出的是“吴王夫差矛”；郧县人头骨化石的地质年代距今约100万年，早于北京猿人的头骨化石；元青花四爱图梅瓶，是元代青花瓷中极其罕见的精品。湖北地处长江中游，在春秋、战国时期属于楚国的疆域，博物馆的日常展览，展示了与北方黄河文明不一样的中国南方古代文明。目前馆内常设展览有《楚文化展》、《郧县人——长江中游的远古人类》、《屈家岭——长江中游的史前文化》、《盘龙城——长江中游的青铜文明》等。在博物馆观赏文物之余，还可以欣赏编钟表演。在馆内的演奏厅，开馆时间段内每天都有编钟表演。,https://dimg04.c-ctrip.com/images/100s1f000001gx5wcC0A8.jpg
武汉,木兰天池,50921,31.177751,114.281986,4.5,木兰天池，是山中的一个水库，景区内山清水秀，森林密布，夏季的气温比市区低，适合避暑。这里传说是花木兰的外婆家，来这里，穿行在林中，或乘坐游船、在水边漫步。景区内还有一片草场，有滑草、滑道等娱乐项目。景区在武汉市黄陂区北部的石门山中，距离市区约55公里。游览景区时，由景区东部的大门进出景区，景区内的道路并不复杂，进入景区后，根据指示牌，一路向内（向西）游览即可。一部分游客会在景区内的农家乐住宿，也有游客会当天返回武汉市区。在景区内乘坐游船，5分钟左右就可以到天池另一头的朱家山寨（可步行，约30分钟）。山寨中有一幢幢青砖黑瓦，古朴整洁的徽派式建筑，景区内的农家乐就在这里。从朱家山寨，你可以乘坐景区内的电瓶车，10分钟后到达景区的尽头外婆民居和山里人家（可步行，约40分钟）。在外婆民居和山里人家出，可以看到一些石盘、石磨等农家用品，还能欣赏到茶艺表演。,https://dimg04.c-ctrip.com/images/0101o12000f6q4bf1E296.jpg
