city,名称,id,纬度,经度,评价分数,介绍,封面图片
沈阳,沈阳故宫,9216,41.797167,123.455729,4.7,沈阳故宫位于沈阳市沈河区，是中国现存完整的两座宫殿建筑群之一。后金入关前的皇宫，也是清朝迁都北京后的盛京行宫（也称奉天行宫）。沈阳故宫博物院不仅有精美的古代宫殿建筑，还以丰富的珍贵收藏而著称海内外，宫内收藏有大量旧皇宫遗留下来的宫廷文物，在宫中的各陈列馆可以观赏到这些珍贵的宝物。沈阳故宫按照建筑布局和建造先后，分为三部分：东路为努尔哈赤时期建造的大政殿与十王亭；中路为清太宗时期续建的大中阙，包括大清门、崇政殿、凤凰楼以及清宁宫、关雎宫、衍庆宫、永福宫等；西路则是乾隆时期增建的文溯阁等。整座皇宫楼阁林立，殿宇巍峨，雕梁画栋，富丽堂皇。大清门是盛京皇宫的正门，俗称午门，是一座面阔五间的硬山式建筑，房顶满铺琉璃瓦，饰以绿剪边，纹饰为凸出的海水云龙及象征吉祥的各种动物，做工精巧，栩栩如生。大清门庄严富丽，与整个宫殿建筑俨然一体，显得十分协调。崇政殿俗称“金銮殿”，是清太宗皇太极日常处理政务接见外国使臣的重要场所。殿内陈列有金漆云龙屏风、透雕金龙宝座、鎏金铜甪端炉等珍贵文物，崇政殿宝座上方高悬的“正大光明”牌匾是乾隆皇帝御笔亲书。大政殿俗称“八角殿”，清入关前也称“大殿”或“笃恭殿”，是清太祖努尔哈赤营建的重要宫殿，也是东路的主要建筑。清入关前，这里是举行皇帝登基、元旦、万寿节朝贺、筵宴典礼等重要庆典的地方，平时则用以举行议政王大臣会议或颁布重要诏令等。殿内陈设有金龙宝座、金漆屏风、嵌珐琅象驮瓶等珍贵文物，和康、乾、嘉、道东巡盛京时留下的墨迹，再现了当年大政殿的原貌。凤凰楼位于崇政殿以北，建造在4米高的青砖台基上，楼高三层，三滴水歇山式围廊，顶铺黄琉璃瓦，镶绿剪边。此楼有《盛京八景》之一的“凤楼晓日”、“凤楼观塔”等传称。凤凰楼上藏有乾隆御笔亲题的“紫气东来”匾。文溯阁建于1782年（乾隆四十七年），专为存放《文溯阁四库全书》而建，是沈阳故宫西路的主体建筑，《古今图书集成》也存于阁内。文溯阁建筑形式与其它宫殿红金为主的外檐彩饰迥然不同，其彩绘画题材也不用宫殿中常见的行龙飞凤，而是以“白马献书”、“翰墨卷册”等与藏书楼功用相谐的图案，给人以古雅清新之感。只因这是乾隆皇帝“东巡”时的读书之所。,https://dimg04.c-ctrip.com/images/0100i12000jn8cd9nE3D8.jpg
沈阳,张学良旧居,9227,41.794059,123.457791,4.7,张学良旧居始建于1914年，占地5.3万平方米，包含有三进四合院、大青楼、小青楼、关帝庙、红楼群、赵一荻旧居、边业银行旧址和办事处旧址等多组文物建筑，是全国重点文物保护单位。目前，利用张学良旧居建筑群共开设有张学良旧居陈列馆和沈阳金融博物馆。张学良旧居陈列馆展区包括三进四合院、大青楼、小青楼、关帝庙和赵一荻旧居。在边业银行旧址基础上建立的沈阳金融博物馆，主要展示原边业银行交易大厅、总裁办公室和地下金库等复原陈列和东北金融发展史、货币的故事等基本陈列，全面反映了边业银行的历史、东北金融发展简史和货币金融演进史。,https://dimg04.c-ctrip.com/images/1lo3b12000holfj0z96D1.jpg
沈阳,清昭陵,9263,41.850824,123.427673,4.6,清昭陵也称为“北陵”，位于沈阳市区北部的北陵公园内，是公园内的主体景点。清昭陵是清朝第二代开国君主太宗皇太极与孝端文皇后博尔济吉特氏的陵墓，还葬着关睢宫宸妃、麟趾宫贵妃、洐庆宫淑妃等后妃佳丽。在清初的“关外三陵”（福陵、昭陵、永陵）中，昭陵是其中规模较大、气势较为宏伟的一座，这里古松参天、楼殿威严，处处透着皇陵的气势，你还能在这些建筑中看到明朝皇陵和满族建筑特点的融合。陵寝始建于1643年，于1651年基本建成。陵寝遵循“前朝后寝”的布局，自南向北由前、中、后三个部分组成。从下马碑到正红门为前部，正红门到方城为中部，神道两侧有石兽、华表对称排列，中间有为颂扬墓主而建的碑亭，竖有“昭陵神功圣德碑”。后部是方城和宝城，是陵寝的主体。方城好似一座城中城，有主殿和多座配殿，隆恩殿是其主体建筑，它以雕刻精美的花岗岩台阶为底座、金光闪闪的黄琉璃瓦为屋顶，很是华丽。隆恩殿之后是宝顶（一座大土丘），底下是地宫，安置着墓主夫妇的棺椁和陪葬品，但地宫目前为止并未被打开。陵寝的外围即是北陵公园的休闲区域，如果不进昭陵参观，那么仅买公园门票即可。公园西侧有象征中日友好的友谊园和玲珑剔透的芳秀园、杜鹃园等。东侧为开阔湖面，还有幽静的沁芳亭以及儿童乐园。整个公园树林密布，每逢春夏绿意盎然，适合踏青消暑，还可以在湖中划船，冬季时一派美丽的北国雪景。,https://dimg04.c-ctrip.com/images/0100x12000jsifr2q4556.jpg
沈阳,沈阳世博园,9272,41.857639,123.639462,4.6,"沈阳市植物园（沈阳世博园）是2006中国沈阳世界园艺博览会的会址，占地2.46平方公里，被誉为“森林中的世博园”。园区地处沈阳市东部风景秀丽的棋盘山旅游中心地带，距市区仅十公里，交通十分便利。荣获国家首批AAAAA级旅游景区称号，并通过ISO9001质量管理、ISO14001环境管理体系和OHSAS18001职业安全健康体系整合认证，是集绿色生态观赏、精品园林艺术、人文景观建筑、科研科普教育、娱乐休闲活动于一体的多功能综合性旅游景区。沈阳市植物园（沈阳世博园）栽植露地木本植物、露地草本植物和温室植物2000余种。园区内汇集、展示了东北、西北、华北及内蒙古地区植物资源，是东北地区收集植物最多的综合性植物展园。百合塔、凤之翼、玫瑰故事（玫瑰园）为园区标志性主题建筑，园区荟萃了世界五大洲及国内重点城市的园林和建筑精品。近百个风情展园如繁星般点缀在整个园区之中，散发出人文艺术与自然景观和谐统一的独特魅力。寓教于乐的松塔研学课堂、科普馆、百合文旅创客工场等让游客更加贴近自然，领略自然科学的奥妙与神奇。这里植被繁茂，景观丰富，空气新鲜，可谓是城市中的森林大氧吧，更是广大游客休闲和消夏避暑的胜地。园区鲜花绽放,景色秀美宜人。其中，4—5月份举办郁金香花节、杜鹃展、樱花展；5—6月举办牡丹花节、芍药花展、鸢尾花展、睡莲花展；7月举办百合花节、荷花展；8月百日草花展、千日红花展；10月举办菊花文化节。这些花展争奇斗艳、精彩纷呈，是北方地区少有的绚丽景致。荟萃世界园艺，尽显当代奇观，花展绚丽多姿，体现万种风情。沈阳市植物园（沈阳世博园）真诚欢迎八方宾朋的到来。",https://dimg04.c-ctrip.com/images/1lo1b12000hmvgoglF4C7.jpg
沈阳,沈阳方特欢乐世界,109993,41.965272,123.418188,4.9,沈阳方特欢乐世界位于沈阳市沈北新区盛京大街，占地约50万平方米，由深圳华强集团精心打造，是东北地区规模颇大的第四代主题乐园。方特欢乐世界以科幻和互动体验为乐园特色，由飞越极限、疯狂成语、恐龙危机、生命之光、海螺湾、聊斋、熊出没历险记、熊出没脱口秀、火流星、神秘河谷、飓风飞椅、儿童王国、矿山飞车、逍遥水母、柯基跑跑车等十几个大型主题项目区组成，涵盖主题项目、游乐项目、休闲及景观项目300多项，其中包括许多超大型游乐项目，绝大多数项目老少皆宜。这里有高空飞翔体验项目“飞越极限”、大型火山探险项目“维苏威火山”、大型恐龙复活灾难体验项目“恐龙危机”、让人琢磨不透的中国传统神话神奇演绎项目“聊斋”、色彩斑斓、如梦似幻的项目“海螺湾”、神奇的卡通互动项目“熊出没脱口秀等。,https://dimg04.c-ctrip.com/images/1lo6o12000iwtz51rA478.jpg
沈阳,清福陵,9264,41.837897,123.591798,4.8,"清福陵坐落在沈阳市东北郊，又称东陵，这里是清朝的奠基者太祖努尔哈赤与孝慈高皇后叶赫纳喇氏的陵墓。福陵始建于1629年，竣工于1651年，它背倚天柱山，草木茂盛，在这里既能感受到皇家陵园的气势，又能享受到清幽的自然环境。福陵的正门是正红门，进入后脚下是砖铺的甬路，两旁整齐地排列着华表、驼、马、狮、虎等石雕，在登完108级石台阶（称为108蹬）后，看到的是一座大碑楼，内立""大清福陵神功圣德碑""，上面镌刻着康熙帝撰写的碑文，主要是歌颂清太祖创业开国的功德。碑楼的北面是方城，是福陵的主体建筑。方城为砖筑长方形城墙，墙上有马道、垛口，墙城的四隅各有一座角楼，这座方城好似既像一座小型宫殿又像一座小型城堡。隆恩殿是方城的正殿，里面供奉着神牌和祭祀，殿前有焚帛亭，两侧有东西配殿，殿后有石柱门、石五供和券门。方城的北面就是月牙形的宝城，宝城前壁的正中有一座琉璃照壁。宝城的正中是宝顶，系用三合土筑成，下面的地宫埋葬着清太祖努尔哈赤和孝慈皇后叶赫那拉氏。由于整个陵墓依山势而建，你会发现建筑物也随着坡势起伏，显得更加错落有致、高大雄伟。",https://dimg04.c-ctrip.com/images/0100412000jpzx7hxF110.jpg
沈阳,“九•一八”历史博物馆,9232,41.836457,123.467579,4.8,坐落于沈阳市区东北隅的“九·一八”历史博物馆是为纪念在“九·一八”事变中的受难同胞、警示国人勿忘国耻而建。馆内陈列着大量的史实照片、档案，还有各种侵华罪证物件、抗日烈士遗物等文物展品，从各个方面展示了侵华日军的史实罪证，以及沦陷区人民的苦难生活与不屈不挠的斗争事迹。这里是个很有意义的教育场所，很适合带孩子一起来学习历史、接受爱国主义思想的洗礼。博物馆的主体建筑很有特色，是一座残历碑造型的巨大石雕，碑形为翻到事变日期的台历，上面布满了弹痕与骷髅，寓意着倒在枪口下的千万个冤魂在呼号，残历碑上镌刻着“九·一八”事变的日期和时间，以及事变简介。从残历碑正面拱形门进入正厅，迎面黑色大理石上刻有“勿忘国耻”四个大字，字上方的残月形时钟时针指着10时20分，这是侵华日军进攻北大营的时刻。建议跟随讲解员听详细的讲解。也可以在入口处租用语音导览机。要注意博物馆内不能拍照。博物馆内大致分为四个部分：第一部分介绍了“九·一八”事变的预谋过程以及当时东北军的部署状况，还通过光影演示了日军暗杀张作霖并炸毁火车然后，诬称中国军队破坏铁路、袭击日军守备队的过程；第二部分展示了日军占领东北后残害中国老百姓的血腥情景；第三部分介绍了中国人民与日本侵略者的抗争事迹；第四部分介绍近年来的中日关系，同时提醒世人警惕日本军国主义的复苏，时刻以史为鉴。在馆中，可以看到很多逼真的蜡像，展示了日军“731部队”残忍血腥的人体试验、八路军战士的生活和战斗等场景。你能看到日军的运尸车、弹等罪证，以及和被屠杀的同胞身上的手表、烟嘴、子弹头等物品。还能见到不少缴获的日军军旗、武器、军刀等物件，还有八路军用过的战刀等物品。,https://dimg04.c-ctrip.com/images/0100q12000isot34f2A6B.jpg
沈阳,棋盘山,9290,41.936331,123.643248,4.6,棋盘山位于沈阳市区东北部约30公里处，景区内山水相间，树木葱郁，合适季节还有荷花红叶可以观赏，自然风光十分优美。在棋盘山可以体验登山、野外CS、高山滑道等多种娱乐项目，也可以来此野餐休闲，度过悠闲周末，而每到冬天，这里的冰雪大世界更是赏冰雕、玩雪的乐园。另外，景区内还有关东影视城等人文景观可供观赏，内容十分丰富。棋盘山景区有多个出入口，景区面积较大，仅中心的秀湖周长便有十几公里，景区内没有区间车，所以游览棋盘山建议要选择自驾进入。推荐的游览路线为：景区南门--秀湖及码头-辉山-棋盘山-大洋山。此路线中的每一个部分都有多个景点，可以一一游览。棋盘山景区内有多家住宿、餐饮地点，既有酒店也有农家山庄，若想要慢慢游玩可以选择在景区内住宿。秀湖从景区南门进入景区，首先会看到第一个景点“碧塘风荷”，约有一个足球场大小的池塘里广种荷花，若是夏季前来，一定会饱览荷塘风光。穿过荷塘之后就来到湖边，秀湖两边风光旖旎，还有很多人在湖边垂钓。沿着湖边的路向左开，可以到达秀湖码头，在这里可以乘坐游玩或快艇洗水湖上，观两岸的山上翠意盎然，十分的悠闲惬意。每到秋天，几座山上的枫叶全都绽红，与绿色交融，使得山顶色彩丰富，是拍照摄影的好时机。辉山在秀湖码头的背后便是辉山，辉山的高度有265米，山顶的石头呈白色，被称为“辉山晴雪”，现在由于山顶植被茂密，在夏天时已经看不到。辉山上有石阶，登顶辉山可以看到山顶的晴雪楼、险亭和悬空露台等，在悬空露台上向下观望景观优美又让人感觉刺激。辉山下建有索道，一般游客都在此乘坐索道上山，索道是开放式的座椅，坐在其中脚下的树木清晰可见，十分开阔。下山时除了走石阶和索道外还有滑道可以选择，从山顶乘坐滑车一路滑到山底只需要三五分钟，路上经过树林、山坡，惊险刺激有趣味盎然。在辉山底还有辉山鸟林和向阳寺可以观看，其中辉山鸟林是亚洲较大鸟林，里面有各种仙鹤珍禽八十多种，不可错过。棋盘山游览完辉山之后便可以沿湖边西行，来到棋盘山，这座山高260米，上山的步道有些绕，大概1个小时左右可以到山顶，中间会经过气象台等景点。山顶有一块大石头，石头顶部十分平坦，传说是吕洞宾和铁拐李在此下棋的棋盘，也是棋盘山得名的由来。棋盘山的山下是沈阳野生动物园，喜欢动物的话可以前去观看。关东影视城游玩过棋盘山之后便继续沿湖边西行，首先会来到关东影视城，有一百七十多栋仿古建筑，可以根据自己的兴趣选择是否购买影视城的票进去观赏。大洋山最后来到湖西北方的大洋山，大洋山脚下是一个民俗风情村，里面提供山野菜、农家餐饮、烤全羊等东北原汁原味的美味，山脚还有野外CS、游乐园等娱乐项目，是景区内的娱乐的好地方。冰雪大世界每年冬天，在棋盘山西侧的冰雪大世界会开放，内有很多冰雕雪雕展览，里面的滑雪场更是和冰雪亲近的名地。另有雪地摩托、卡丁车等游乐项目，满足不会滑雪的游客游玩的需要。,https://dimg04.c-ctrip.com/images/1lo5a12000e83sb77FD93.jpg
沈阳,沈阳金融博物馆,62948,41.793998,123.459125,4.6,沈阳金融博物馆位于沈阳市区、张学良旧居的东面，是一座宏伟的仿罗马式建筑，边业银行的旧址。博物馆内陈列了中国古代各种货币和世界各国的货币，展示了东北金融业的发展历程，还以人物蜡像再现了银行营业厅当年的繁荣景象，十分有趣。走进博物馆，仿佛穿越到了二十世纪30时代，只见大厅内都是人，有的在交谈、有的在存钱，一派热闹景象。这些都是穿戴着民国时期服装的蜡像人物，反映了当年银行营业时的场景，栩栩如生。你也可以充当“人群”之的一员，拍照合影。穿过大厅开始进入总裁办公室复原陈列室，从这里开始依次进入每个展厅参观。各个展厅分别陈列了战国时代、清代、民国时期和现代的各种货币实物，还可以看到世界各国货币、以及专门的金属钱币陈列，同时还有人民币及假币展览，教你怎么识别假币。而后一个展厅被布置成模拟的证券交易所，让你体验置身于金融中心的感觉。除了货币展示，各个展厅还以丰富的图片和文字让你了解到东北金融业、中国证券业的发展历程。展厅顺序基本都为单向行走，建筑内部格局有点复杂，不过好在展厅间都有方向标识，也都有工作人员可帮助指引。,https://dimg04.c-ctrip.com/images/0106g12000ikz97vf7D3A.jpg
沈阳,沈阳科学宫,1413101,41.761522,123.436391,4.8,沈阳科学宫坐落在青年大街南端，毗邻科普公园、五里河公园。科普展示馆是科学宫中的核心展馆，主要有三层，展示着百件科普展品，其中大半的展品可供观众直接动手参与。一层是基础科学展区，在这里你可以尝试踩脚踏车发电让小球浮起，或者利用滑轮原理用绳子把自己拉升起来，通过各种互动设备和展示，了解到机械、光学、力学、物理学等基础科学的规律与原理。二层是数字世界和机器人展厅，你可以看到指纹识别系统、妙用声音操作电脑的声音识别系统以及巧用声光的声控树、无弦琴。还有各种用于工业制造的机器人、拟人机器人等，此外还有会唱歌、投篮等功能的机器人，你还可以与机器人下一盘棋，比比谁更聪明。三层是航空航天展区，你可以了解到各类飞机在人类生活中的作用，还能学到飞机的飞行原理，这里还展示我国航天事业的发展历程和取得的辉煌成就。另外，科学宫里还建有球幕影院、4D影院和天象影院，你可以与孩子一起观看生动有趣的科普影片以及神秘的天象景观。,https://dimg04.c-ctrip.com/images/0106k12000ijj37wg1EDC.jpg
