city,名称,id,纬度,经度,评价分数,介绍,封面图片
济南,济南国际鲜花港,1808293,36.694596,117.35824,4.3,济南鲜花港占地面积360亩，是一座综合性花卉经济园区，包含花卉种植、物流、销售、科研、旅游等多个业态。这里除了有各种精美的鲜花外，还有绿植、果树、盆栽等花卉系列产品。走进港区，你会看到一幅色彩斑斓、气息芬芳的画面。整个花卉产业园区，被分为八大区：景观展示区、管理服务区、垂钓休闲区、商品交易区、培训育人区、科技孵化区和商业配套区。而在商业配套区，你还能看到一些品牌服饰、手工艺品和食品等产品的摊位。,https://dimg04.c-ctrip.com/images/0102612000cm8blx707D6.jpg
济南,任泉,3198321,36.662655,117.031325,4.6,任泉是山东泉城济南的一处小型泉水，位于琵琶桥西，南护城河北岸，南珍珠泉西北侧。任泉以青石砌垒，水从砌层缝隙流入河中，属“黑虎泉泉群”。泉水流入护城河，泉池北壁嵌泉名石刻，由书法家胡连珠提写。,https://dimg04.c-ctrip.com/images/1mh4m12000apxm24w77C5.jpg
济南,趵突泉景区,4971,36.661182,117.015918,4.6,趵突泉公园位于济南市中心繁华地段，南倚千佛山，北靠大明湖景区 ，东与泉城广场连接，是以泉水为主题的特色园林，被誉为“天下第一泉”的趵突泉位于济南“七十二名泉”之首，至今已有2000多年的历史。它也曾多次出现在文学作品中，有代表性的则是老舍笔下的《趵突泉》。而游客来此都是为了一睹趵突泉三股泉水喷发的壮丽景象。趵突泉是公园中的主景，泉水分三股，澄澈清洌，昼夜喷涌，水盛时高达数尺。泉的四周有大块砌石，环以扶栏，可在栏边俯视池内三泉喷涌的奇景。泉边立有石碑一块，上题“第一泉”，其色为墨绿色，为清同治年间历城王钟霖所题。此外，在趵突泉附近，还散布着金线泉、漱玉泉、洗钵泉、柳絮泉、皇华泉、杜康泉、白龙泉等三十多个名泉，构成了趵突泉泉群。由于7、8月份当地雨水较多，因此此时是来观赏泉水的较好季节。盛夏时节游客在公园中可以与泉水来次亲密接触，有些泉水周围没有栏杆，池中有石路，泉水在石路上流淌，游人可以下到池中亲水，走在石路上，脚面会被泉水打湿，凉凉的感觉。除了亲水，在趵突泉池边还有供游客直接饮用的免费泉水。而泉东侧有望鹤亭茶社，这里有专为游人提供用趵突泉水沏的香茶，价格适中。除了泉水，公园内还有一处值得观看的景致就是公园的南大门，它布置得富丽堂皇、雍容华贵，大门上的横匾“趵突泉”蓝底金字，是清朝乾隆皇帝的御笔，被人誉为中国园林“第一门”。前几年的趵突泉经常出现季节性停喷状态，经过近几年的保护已基本恢复其正常水位。此外，趵突泉公园还会经常举办各种文化活动。每年的正月初一，园内会举行灯会活动，持续20天。每年的9月下旬，还有趵突泉水文化节，持续10天左右，届时园内会有各种民俗活动、书画展出、戏曲演出等表演供游客欣赏。而每年的10月底至11月底在园内还会举办菊花展，金秋时节，众泉齐涌、菊花与泉水交相辉映，非常值得一看。此外，趵突泉景区也推出了游船线路，游客游览完趵突泉景区后，有兴致的话可从趵突泉船展登船，坐船穿过济南老城区的西门桥，途经五龙潭公园东门，进入济南历史上的首座客运船闸——五龙潭船闸，期间可感受2米多的落差。坐在船的东侧还能看到“济南八景”的浮雕。沿途岸边有很多的水生植物，而且河水清澈见底。游船最终穿过烟波桥，就进入了大明湖景区。,https://dimg04.c-ctrip.com/images/0100o12000l65ovb8542E.jpg
济南,大明湖景区,4967,36.67747,117.025711,4.6,大明湖风景区位于济南市中心偏东北处、旧城区北部，是集水域风光、园林景观、古建筑为一体的公园。大明湖就在公园中心，更可以说公园是依湖而建的。大明湖是一处天然湖泊，水源来源于城内诸多泉水，有“众泉汇流”之说，且它历史悠久，可以追溯到北魏时期。大明湖景区分为老景区和新景区，整个景区共有16景，漫步其中，就像是在水墨画中游赏一般。此外，整个景区还与环城河相连，形成了环湖休闲游览景观线。园内水陆美景连绵不断，也是当年名人雅士的聚集之地，如今在此还能参观到老舍纪念馆，有着辛弃疾生平事迹展的稼轩园。大明湖景区有东南西北四个大门，每个大门进去都有不同景致，其中，东门进入是老景区，这里主要可以看到的景色有“曾堤萦水”，曾堤是位于景区东面一条连接南北的长堤，也是大明湖南岸通往北渚亭的必经之路。堤上杨柳垂阴，堤两侧湖水波涛阵阵。曾堤旁一处超然楼，可以登高远眺整个大明湖的风光，这也是大明湖16景之一的“超然致远”。沿着曾堤向南门方向步行进入新景区，这里有七座风格各异的桥，这里便是16景中的“七桥风月”。其中的鹊华桥是其中历史悠久，也是较为有名的一座桥。老舍纪念馆便坐落在该景点中。过了南门向西步行，便可至16景中的“稼轩悠韵”，它位于南门和西门之间，稼轩园原名稼轩祠，是为纪念爱国英雄辛弃疾而立。这里所到之处皆可感受到辛弃疾那爱国情怀、戎马生涯的画面与意境。在此可坐景区内游船去湖中央的小岛，岛上有一座历下亭，亭子上方红底金字匾额是由乾隆皇帝手书的，亭中的墙上刻有蒲松龄为该亭作的《古历亭赋》全文。这里便是16景之一的“历下秋风”。从这里继续坐游船前往景区北部，靠近东门处有一座“汇波楼”，登上汇波楼向南可眺望佛山，向北可眺望鹊华桥，而汇波楼下则是大明湖清澈的湖水。每当夕阳西下，湖面上波光粼粼，这便是16景之一的“汇波晚照”。下了汇波楼向西步行，过了北门便可来到了16景之一的“沧浪荷韵”，此处有铁公祠、沧浪亭和小沧浪亭，每逢夏季，河面上荷花盛开，非常漂亮。游览大明湖除了步行之外，游船也是不错的选择，泛舟大明湖上，既轻松又不误观光赏景。如果逛累了，北面和南门处还有餐厅供游人补充能量，价格会相对于园外贵一些。不愿在园中就餐的游客可自带食物，也可前往位于南门外的芙蓉街，这里是小吃一条街，价廉物美。,https://dimg04.c-ctrip.com/images/100g1f000001gqzyj0422.jpg
济南,千佛山,4970,36.639353,117.034512,4.7,千佛山景区位于济南中心城南部，是济南三大名胜之一。周朝以前称历山，相传虞舜曾于山下开荒种田，故又称舜耕山。隋开皇年间，依山势镌佛像多尊，并建“千佛寺”，始称千佛山。1959年辟建公园，1995年被列为省级风景名胜区，2005年被评定为国家AAAA级旅游景区，2017年被列为国家级风景名胜区。千佛山景区占地面积151.8公顷，最高点海拔285米，峰峦起伏，秀丽壮美，清朝著名文学家刘鄂曾在《老残游记》中描绘：“仿佛宋人赵千里的一幅大画，作了一架数十里长的屏风”。千佛山历史文化悠久，以虞舜文化、佛教文化、自然生态为核心内容，是世界佛教文化与帝王文化双元共生的名山。千佛山是虞舜文化的发源地之一，舜曾躬耕于千佛山下，名传四方，景区内现存有历山院、舜祠、三圣殿、大舜石图园、历山溯源等舜文化景源；千佛山佛教文化发源可追溯至隋唐时期，留下了兴国禅寺、千佛崖造像等丰富的佛教文化景源；千佛山自然环境优越，古树名木众多，有佛山赏菊、历山揽胜、唐槐怀古、南麓丹霞、慈云探幽等众多自然景源；千佛山传统民俗文化特色鲜明，有“三月三”民俗文化庙会、“九月九”重阳山会等非物质文化遗产。千佛山景区人文底蕴深厚、自然资源丰富、地域价值显著，是国内少有的位于城市中的自然山体景观，也是济南市民休闲、健身的胜地，被誉为济南市的“城市阳台”、“天然氧吧”、“生态乐园”。近年来，千佛山景区又有了长足的发展。自2011年起逐年进行环境改造提升，加强生态绿化景观效果，突出历史文化主线，全面提升了景区整体景观和文化品位。2013年，在山南麓兴建了集山东碑刻文化之大成、济南市碑刻文化主题公园齐鲁碑刻文化苑；2014年以来，为大力弘扬舜文化，先后建成了南风亭、思亲亭、卿云轩、历山溯源等舜文化景点，形成了由十个舜文化景点组成的、具有泉城文化特色的舜文化游线，成为一处融历史、文化、风景于一体，功能齐全、规模宏大，深受游客喜爱和欢迎的旅游胜地。,https://dimg04.c-ctrip.com/images/0100612000j05h1njCBAC.jpg
济南,黑虎泉,4975,36.662443,117.030853,4.7,黑虎泉为济南四大泉群之一（趵突泉、黑虎泉、珍珠泉、五龙潭），它位于济南环城公园内，泉城广场东部，在绿树掩映之下，与广场东边的古城护城河相连，又与对面的解放阁相望。黑虎泉在济南泉水中很有气势，它是一处自然形成的洞，水深3米。夜色中远远听更像是虎吼，该泉也因此而得名。泉水涌入方形泉池内，池内的泉水清澈，青藻漂浮，之后再流入护城河，形成瀑布，故黑虎泉已成为了环城公园中的一大胜景。游览指南来到黑虎泉，你会发现很多市民在此取水，可见水质之好，装备齐全的话，你也可以试试品尝这泉水。这里环城公园专为观赏泉水而设的亭台，游客在此可以看到泉水从洞中通过暗道从三个石雕头中喷射而出，可喷射达到一米多，在青石砌成的方池中激起层层的水花，动人心魄。游客游览完方池中的黑虎泉可来到位于方池北面，这里有一水闸，水漫流形成水帘，泄入河中，好似瀑布。游客可在此看水从巨石下涌出，湍击巨石，发出粗犷的鸣响。而在黑虎泉的不远处还有一个小池，位于石墙洞中，没有人工修饰的痕迹，很多当地人围在这里打泉水，游客也可在此用矿泉水瓶接水品尝。泉水有一股沁入心脾的凉意，在夏季可以解暑。而在泉源的东侧有两只一铜一石的巨虎，引首奋蹄，呈猛虎下山之势，好不威风，游客可在这里与其合影留念。,https://dimg04.c-ctrip.com/images/100v1b000001c8dfx43D8.jpg
济南,泉城广场,56525,36.661624,117.022209,4.6,泉城广场位于山东省会济南，毗邻护城河，西连趵突泉、五龙潭公园，东接黑虎泉，距离北边的大明湖不过1公里，地理位置可以说相当好，小伙伴们出游的会合地点往往选在这里。泉城广场周边的大型购物商场、饭店也很多，可以说来这既能旅游，也能购物，还能吃美食。泉城是济南的别名，整个广场的设计紧扣“泉”这一主题，南北两侧是狭长的绿化带，正中间坐落着泉标，蓝色高耸的钢制雕塑和中间的铁珠构成了篆书“泉”字的造型，你可以合影留念。东端的山东省科技馆适合带小孩的游客一游，孩子在里面能学到很多科普知识。广场上常能看见在此休闲娱乐的当地市民，喂鸽子、放风筝、溜旱冰，到了傍晚市民更多，愈发热闹。泉城广场东部的荷花音乐喷泉中间是荷花雕像，绕着荷花的喷泉会变幻不同的造型，每场喷泉约30分钟。晚上的喷泉特别好看，灯光不停变幻，适合拍夜景，夏夜又是纳凉的好去处。喷泉东部圆弧形的文化长廊可以登顶，有很好的视野，能拍摄喷泉和泉城广场的全景。沿着北边紧贴广场的护城河散散步也是不错的选择，东端还有泉城广场游船站，可以坐游船欣赏护城河风光。护城河游船共设10站：黑虎泉站、泉城广场站、趵突泉站、五龙潭站、大明湖西南门站、大明湖稼轩祠站、司家码头站、超然楼站、知春桥站、青龙桥站，每人每站次10元，全程100元。泉城广场地下有银座购物广场，有麦当劳、85度C、nike、adidas等等，入口就在蓝色泉标的东侧。若往北走200多米到与广场平行的泉城路上，街两侧有贵和商厦、恒隆广场、泰府广场等大商场。泉城路的岔路芙蓉街上则是琳琅满目的美食店，无论想吃小吃还是正餐，都能在这得到满足。,https://dimg04.c-ctrip.com/images/1A071g000001hilfh5B04.jpg
济南,芙蓉街,114664,36.664945,117.023237,4.4,芙蓉街是一条济南性格的老街，是济南市的老商业街，被誉为“齐鲁第一小吃街”。芙蓉街以街中芙蓉泉而得名，邻近历代两大府衙和贡院、府文庙及古城主干道。金、明、清时，是文人墨客饮酒赋诗之地。现在在济南的老街中，芙蓉街尤为热闹。无数的小商小贩，在路两边各据一摊或一店，神州各地、欧美日韩色小吃琳琅满目。芙蓉街上每天人流不断，相比于大多数寂寂无声的老街，芙蓉老街充满了商业活力。游览指南来到这里，除了在这里的特色街区逛逛，感受齐鲁大地的历史文化，还有就是吃美食了。国足臭豆腐，不同于长沙臭豆腐，皮焦里嫩，香味十足。有一家苓记鸭血粉丝味道也很棒，汤香味美，茶叶蛋味道也可以。路边有摊贩卖烤猪蹄，路过的时候闻着超级香，口水都要流出来了。还有各种烤串、冰糖葫芦等，来这里逛逛寻找你心仪的美食吧。这里人群较为拥挤，注意保护好自身财物。,https://dimg04.c-ctrip.com/images/01025120009dgr1qu5F08.jpg
济南,九如山艺文小镇,107538,36.490159,117.265027,4.6,九如山，一个充满激素气息的神奇地方。这里有木屋建筑群落与大自然山水构成的妖娆风光，这里有“制造浪漫，创造惊喜”的浪漫向往，这里有“把日子过成生活”的美好主张，这里更有“让生活充满仪式感”的野奢时尚。九如山 · 沉浸式浪漫生活体验游秉持“把日子过成生活，并让生活充满着浪漫仪式感”的九如山，一直围绕年轻人需求的变化而改变。按国际野奢休闲度假标准打造的沉浸式浪漫生活体验游，让九如山成功实现了从观光游览到休闲度假的华丽转身。来到九如山，不仅可游园登山欣赏户外秀丽美景，还可在沉浸式浪漫生活体验馆深度体验，比如在研磨时光体验手磨咖啡的惬意时光、在诺漫堡牛烘烘体验手工烘焙、在铁木臻大自然艺术工坊进行创意手作、在豪蒙女人花香坊亲手制作香囊、在不二木居大树趴来个精致下午茶……30余处沉浸式生活体验馆，因让旅行变得更浪漫，而受到更多时尚年轻人的追捧。自2016年起，九如山相继推出不二木居、猫窝民宿、红颜容木桶民宿、天体帐篷民宿、阅木山居、豪蒙客栈、梦枕书香民宿、诺漫堡生活情境酒店等10余家网红民宿。在这里，艺术、文明与大自然完美结合，为知审美、懂艺术、有品位、爱生活的人们，提供了零距离亲近大自然、天人合一的度假体验。九如山 · 高端定制大自然party“制造浪漫，创造惊喜”。九如山高端专属私人定制板块，致力于倡导热爱大自然、融入大自然、回归大自然的生活方式，以追求美好生活为导向，以营造难忘的游憩体验为宗旨，为热衷高品质生活的浪漫人群量身打造了一场“野”于自然，“奢”于品质的原生态自然山水的沉浸式体验：机车电影趴、星空趴、名媛趴、溪流趴、泳池趴、峡谷趴、森林趴……以大自然为依托的美好场景打造，九如山正创造一份又一份的走心之作。把日子过成生活，生活是充满浪漫的仪式感！九如山成功实现了从观光游览到休闲度假的华丽转身。是时候，以浪漫的名义，重新定义旅行，重新定义九如山了！美好生活的倡导者，浪漫旅行的践行者。向美好进取，为浪漫发声。九如山，为生活更美好，让旅行更浪漫。,https://dimg04.c-ctrip.com/images/100e1f000001gsyxy4C1C.jpg
济南,红叶谷,50902,36.485959,117.168938,4.2,红叶谷位于济南市锦绣川乡南部山区，整个山谷主要以被野生的黄栌为主，它是一种观赏性树木。秋季，登高远眺，满山的红叶，层林尽染，非常好看。当然，红叶谷并不是只有在秋天观赏红叶，在谷中也有四季之分，每个季节都能看到属于当季的美丽山景。游客来此主要以步行为主，景区内还会有观光车方便游客游览山谷。步入景区大门后就能看到一组仿唐代的建筑群，走上69级长台阶便是检票口。此处的南侧是一条长廊，也是游客观景和休息的好地方。过了检票口之后就是百合园，这是一个以百合花为主题的园区。而每年的7、8月这里也会举办百合花花节。之后可来到绚秋湖，这是景区中心的一处景点，湖中有个凉亭，秋天来此，游客可在凉亭中欣赏满山遍野的红叶倒映水中，景色非常绚丽。过了绚秋湖便可步入香巴拉休闲谷，这里是一处宽8米的瀑布，在瀑布的前方依山搭建了一个舞台，每逢节庆的时候，游客在这里可以看到民族歌舞表演。之后进入竹林谷，这里郁郁葱葱，高大挺拔的竹林，有种置身世外桃源的感觉。从竹林谷向南便来到了兴教寺，这是山东境内较早的一家寺庙，始建于西汉时期，如今游客在此可以感受到寺庙的清幽。寺中还有一处泉水名为圣水泉，它源自山上自然崖壁，泉水从岩壁的石缝中流出，汇流成池，而且常年不干，它也是济南72名泉之一。从竹林谷向北可以前往到天趣苑，这里绿树成荫，散养着许多鸟类，其中包括白天鹅、黑天鹅、绿头鸭、大雁、白鹭等。此外还可以看到瀑布飞泻的景色。过了天趣苑向前便可来到了蔷薇园，园中种满了樱花、玫瑰、蔷薇等蔷薇科植物，点缀在园中南北两组建筑之间，这里虽然地方不大，但是游客在此可以看到遍地是花，处处是美景的景色。蔷薇园的边上就是樱花园，每到春天，枝头上开满了粉色、白色的樱花，在风的吹拂下，纷纷漂亮，非常美丽。此外，园中还有欧洲风情谷、情人谷和万叶塔等景点。其中欧洲风情谷是以郁金香为主题的展区，每天的4、5月份会在此举办红叶谷的郁金香花节。情人谷位于景区最深的山谷中，有三条道路，这里种满了藤蔓植物，紫藤、葛藤、野葡萄藤，各种树藤之间相互缠绕，互相依赖。夏天此处可是避暑佳地。而万叶塔是景区中的一处观景塔，它位于兴教寺南面，登上此塔，可以将整个园区的美景尽收眼底。,https://dimg04.c-ctrip.com/images/0103612000a6brom3EF71.jpg
