city,名称,id,纬度,经度,评价分数,介绍,封面图片
澳门,大三巴牌坊,3399,22.194529,113.545981,4.6,大三巴牌坊为巴洛克风格，以花岗岩建成，上下共分五层，其雕刻和镶嵌较为精细，融合了中外建筑艺术的精华，是一个中西文化交融的艺术品。如今人们常常在此打卡拍照。,https://dimg04.c-ctrip.com/images/10020p000000g78ewD14B.jpg
澳门,澳门威尼斯人度假区,54501,22.144086,113.564905,4.7, • 超百家餐厅以百变鲜香激发您的味蕾 • 完善的度假设施缔造难忘度假体验 • 众多娱乐表演令人目不暇接澳门威尼斯人度假村是集酒店、会展、购物、体育、综艺及休闲设施于一体的综合性场所。酒店以水都威尼斯为主题，内部布满威尼斯特色拱桥、小运河及石板路，充满意式浪漫狂放的异国风情。如果你是购物狂，不能错过大运河购物中心，来一次贡多拉之旅，头顶一幅偌大的天幕，即使子夜时分，一样会出现蓝天白云，让人分不出是室内还是室外、昼夜还是晨昏。大运河的两岸云集了几百家购物商铺，数十家的餐饮店，环境典雅瑰丽，仿如置身昔日威尼斯的街道。逛累了，也可在购物中心内的圣马可广场休息片刻，这里经常举行精彩的表演，如钢琴独奏、哑剧等。△ 集会展、酒店及表演、购物元素于一体的超大型建筑△ 跳上一叶轻盈优雅的贡多拉船，徜徉于购物中心内的运河或户外的人工湖上，体验水都威尼斯的独特风情。,https://dimg04.c-ctrip.com/images/100r12000000ryju5E1F1.png
澳门,澳门塔,136025,22.177156,113.541964,4.7,• 站在观光塔233米高空，360度全景欣赏澳门。• 乘坐玻璃子弹升降机，不到60秒即可飙升到新高度。• 多种刺激项目等您来挑战：蹦极跳、空中漫步和百步登天。△ 站在233米高空，360度远眺，澳门全景尽收眼底△ 适合不同年龄层的多种刺激项目，等您来挑战到澳门旅游，总不能错过城中著名地标澳门旅游塔! 观光塔不单是一个场地，更是城中玩乐、休闲、购物的好去处。先登上观光廊，在 360 度澳门全景下自拍，再挑战Skypark Macau Tower的蹦极跳、空中漫步和百步登天！吃得讲究的您，一定要试试我们的得奖餐厅：360°旋转餐厅自助餐、皇家葡萄肴的正宗葡国美食、南湖明月的高雅传统粤菜 、Café on 4 的招牌香浓咖啡和甜品……旅游不少得买手信吧! 玩具反斗城、义莎的首间旗舰店、澳门佳作的精品，琳琅满目，不会让您空手而回 ! 无论您想给小朋友一个乐而忘返的周末、与朋友挑战胆量、安排浪漫约会、或是带爸妈散步观光，澳门旅游塔是您必到的景点 !,https://dimg04.c-ctrip.com/images/100g0y000000m5y22D503.jpg
澳门,官也街,132400,22.150591,113.562069,4.6,官也街是澳门手信街，政府将狭窄道路加以装饰，大量餐厅、甜品店、手信店在这里集中，是新兴的景点之一。不要小看了这条只有约115米长，5米宽的小街，钜记饼家，咀香园，晃记饼家这些饼屋人气很旺，杏仁饼、凤凰卷、纽结糖、姜糖、老婆饼、肉切酥、鸡仔饼、牛耳朵等等在这里应有尽有。官也街还有各种美食，诚昌饭店的水蟹粥，莫义记的雪糕很值得品尝，很多港澳明星来这里经常去光顾。从官也街绕到巴波沙总督前地，能找到好吃的大利来记猪扒包，肉香多汁，咬起来非常松软。官也街另一头是古老的凼仔市集旧址，往前途径北帝庙，这座庙160多年的历史，小小的两三间屋供奉着金花娘娘、关圣大帝、财帛星君及鲁班先师等神祇。每年的北帝诞，在庙外的空地都会搭上戏棚演神功戏，又有烧香酬神等贺诞活动一连数晚在举行，热闹非凡。,https://dimg04.c-ctrip.com/images/1A091c000001dbir2B9A9.jpg
澳门,大炮台,3366,22.194191,113.547332,4.6,大炮台位于大三巴牌坊附近的柿山上，建于1616年，是澳门重要的历史古迹之一。大炮台曾经作为澳门防御系统的核心，构建了覆盖东西海岸的炮火防卫网。炮台整体是一个不规则的四边形，四个墙角成为棱堡，墙高约9米，可以架设三十多门大炮，可以抵御来自此各个方向的攻击。如今的大炮台成为旅游胜地，前面有很大一片绿地，可以在这里俯瞰澳门全景。,https://dimg04.c-ctrip.com/images/1A051800000152xltF860.jpg
澳门,议事亭前地,49198,22.19061,113.544879,4.6,"议事亭前地是澳门民政总署大楼前的广场，面积约3,700平方米，是澳门四大广场之一。广场四周坐落多座百年历史的葡式老建筑，广场黑白相间的波浪地面和中间的喷水池更添南欧风情。澳门每逢重大节庆，经常会在议事亭前地举办活动。例如澳门民署每年6月都要举办“澳门荷花节”，活动开幕时会有3000盆共有60多个品种的荷花，分别在氹仔龙环葡韵、议事亭前地及卢廉若公园等地竞相绽放，如果是6月份来这里应该就可以遇到。",https://dimg04.c-ctrip.com/images/100i0p000000fyziy572E.jpg
澳门,澳门博物馆,45076,22.19428,113.547271,4.6,博物馆坐落在大三巴牌坊附近的柿山上，可一并参观大炮台。博物馆展示了当地的历史、社会变迁，通过丰富展品记录了文化在当地交汇、和谐共处，并形成独特的民俗文化的历程。博物馆楼高三层，其中两层建于大炮台平台之下，只有上一层由原气象台的地面建筑改建而成，从而很大限度地保留了大炮台原有的建筑风格和地貌特征。参观完博物馆，出来便是大炮台，可以俯瞰整个城市的风景。博物馆的一楼主题为当地文明的原始，介绍当地的起源和发展历程；二楼为民间艺术与传统，展品揭示当地历史的方方面面，包括娱乐、日常生活方式、宗教礼仪和庆典等，三楼展示当代城市生活的特色和对未来的展望。此外，馆内还展出一些知名作家的作品，其中包括葡萄牙文学家贾梅士和庇山耶。,https://dimg04.c-ctrip.com/images/0101h12000f6r77e49719.jpg
澳门,澳门渔人码头,26487,22.18975,113.561352,4.7,渔人码头有三个主题区域：唐城区、东西汇聚区和励骏码头，其中，“励骏码头”以海岸设计为主题，由拉丁式建筑群组成，设有各类娱乐设施，包括水上表演场及电子游戏中心等，此外，这里还有人造火山、瀑布、斗兽场、比塞塔、古战船和儿童游乐区。,https://dimg04.c-ctrip.com/images/0104i12000euytgla9A4F.jpg
澳门,妈阁庙,3381,22.183268,113.53642,4.6,妈阁庙俗称天后庙，是一座很有当地文化特色的古建筑。妈阁庙规模不大，但充分融合周围的自然环境，古木参天，建筑布局错落有致。门口有一对石狮，做工精致，形态逼真。庙里面景色清幽，常年香火旺盛，紫烟弥漫，还有巨大的盘香悬挂着，非常壮观，也是庙里的一大看点。妈阁庙里供奉妈祖娘娘，是海上的保护神。每年春节期间、庙里香火就格外鼎盛。,https://dimg04.c-ctrip.com/images/0107112000f6o3a6a1541.jpg
澳门,玫瑰圣母堂,3400,22.191666,113.545518,4.6,教堂由淡黄色的石头及白色的灰墁所修建，拥有美丽的祭坛和木质屋顶，具有巴洛克建筑风格。因教堂供奉玫瑰圣母，故又称“玫瑰堂”。以前的钟楼，现在收藏了神圣艺术宝藏、阿拉丁的教会艺术洞穴和三层楼展示的礼仪物品。,https://dimg04.c-ctrip.com/images/100910000000ozloe3776.jpg
