city,名称,id,纬度,经度,评价分数,介绍,封面图片
福州,三坊七巷,64505,26.081937,119.296708,4.6,"""三坊七巷""地处福州市中心，是南后街两旁从北到南依次排列的十条坊巷的概称。""三坊""是：衣锦坊、文儒坊、光禄坊。""七巷""是：杨桥巷、郎官巷、安民巷、黄巷、塔巷、宫巷、吉庇巷。""谁知五柳孤松客，却住三坊七巷间""，这是一整片的古民居，它从明朝开始初建，经过明清两代数百年的历史，大部分建筑仍保存完好，街区里面有许多名人故居，还有个民俗博物馆。俗话说，要了解一座城市并不一定要走遍这座城市的大街小巷，可以选择一条老街，慢慢悠悠地行走其间，走过三坊七巷的同时，你也走近了福州。",https://dimg04.c-ctrip.com/images/0103q12000aoh72b2D3E9.jpg
福州,鼓山,8721,26.054402,119.394174,4.6,鼓山风景名胜区位于福州市东郊，闽江北岸，可以算的上是福州市知名风景区。它因其山顶有一巨石如鼓，每当风雨交加，便有簸荡之声，故名鼓山。鼓山登山不需要门票，从山脚通往山顶的道有好几条。如果想要强身健体，推荐从开辟于公路和索道中间的石阶古道上山，古道每隔一段路就立有一座凉亭可供休息，沿途有众多的摩崖石刻，是个锻炼身体的好地方。鼓山历来是福州的佛教胜地，半山腰的涌泉寺是鼓山重要的景点。从石阶古道步行而上，蜿蜒1800余米，穿过七亭后进山门就直达涌泉寺了。爬到涌泉寺大约也就一小时。鼓山的售票处也位于此，如果想要入涌泉寺，需要买票入内。寺里香火不错，建筑物也规模雄伟，寺中千年铁树、鸡丝木供桌及血经书合称为镇山“三宝”。下山时间充裕的话，可以原路返回，如果实在懒散，也可以坐缆车下山，但是因为山不高，所以并不推荐，还是建议走走路，锻炼下。原路返回的话，可以顺便去看看鼓山的达摩洞十八景。,https://dimg04.c-ctrip.com/images/100s12000000skeq72C20.jpg
福州,于山风景名胜公园,8710,26.077955,119.307283,4.6,于山位于福州城区中心鼓楼区东南隅，地处五一广场对面。相传古代有一支“于越氏”居此，由此得名。它是福州市区三山之一，值得一去。整座山形状如巨鳌，名胜古迹众多，景点错落有致。比如有白塔、九曰台、平远台、炼丹井、廓然台等，还有纪念明代抗倭名将戚继光的戚公祠、严复读书处法雨堂。此外，还有不少小巧玲珑的亭榭，如万象亭、吸翠亭、补山精舍等。这些亭子隐约在松竹花卉之间，引人入胜。所有的景点里面为出名的要数位于于山西麓白塔寺内的白塔，它因外表涂成灰白色，故称“白塔”，外表真的很好看，很适合拍照。另外，登塔远眺，附近的景色可以尽收眼底。整座山不高，不难爬，环境也很好，有很多的绿植，上山以后即见树木参天，古榕盘根错节，非常适合散步。,https://dimg04.c-ctrip.com/images/0102s12000ikibxzt6D34.jpg
福州,福州国家森林公园,8797,26.161603,119.285524,4.7,福州国家森林公园，又名福州植物园，是全国十大森林公园之一。它位于福州北郊新店镇赤桥村。福州国家森林公园的规模很大，整个公园共分六大区域（游览区）：竹类观赏园、树木观赏区、人文景观区、以自然景观为主的龙潭风景区、福建森林博物馆和鸟语林。在一个公园里面特意找景点就显得没有那么必要了，这里非常适合爬山休闲。森林公园里面的植被丰富，氧气充足，是福州的天然氧吧。人气高的时候当属春季，每年的樱花季，公园里面花开遍野，有很多不同品种的樱花、梨花、桃花，很是美丽。踏青赏花、呼吸新鲜空气，再好不过了。爬山主要在公园的龙潭风景区，登山道蜿蜒于景区的山岭之间，起于荔枝园，终于龙潭瀑布，全长5.2公里，强度不大，完全不用担心体力问题。另外，沿着林荫大道往里面走，在八一七水库旁边有一株千年榕树，值得一看。,https://dimg04.c-ctrip.com/images/0102p120005u5o5no2D27.jpg
福州,福州西湖公园,8799,26.09203,119.289008,4.7,"西湖公园位于福州市区的西北部，它的历史悠久，有1700多年的历史，是福州保留较完整的一座古典园林。说到西湖，人们的反应往往就是杭州西湖，实际国内叫西湖的远不止这么一处。福州西湖比起杭州西湖，要略逊一筹，它水域面积不能和杭州西湖相提并论。西湖公园就是个老牌的街心公园，它挨着河边，是老年人早起活动的场所。公园内有八景，包括仙桥柳色、大梦松声、古堞斜阳、水晶初月、荷亭唱晚等。历代文人墨客赞叹不止，多留有佳篇。明谢肇制《西湖晚泛》赞曰：“十里柳如丝，湖光晚更奇”。 辛弃疾游览福州西湖也曾写下：“烟雨偏宜晴更好, 约略西施未嫁”。但是，对于一个街心公园，你大可不必追寻什么景点，既费心又费力，平白浪费了时光。完全可以像本地人一样，随意拣择一处环境清幽的地方走走，收获一份心平气和。 景点比较集中的地方在开化屿，往北过玉带桥有省博物馆、美术展览馆、西湖影剧院等建筑；往西过飞虹桥是儿童乐园；往西南过步云桥可去动物园。如果你是想在一日游的行程中插入西湖公园，由于它离省博物馆及三坊七巷都不远。你大可以从公园往北走到博物馆逛一圈再饶回三坊七巷玩。",https://dimg04.c-ctrip.com/images/100r1f000001goov0898B.jpg
福州,南后街,64506,26.085205,119.29623,4.7,福州南后街西起杨桥路口，南至吉庇路达澳门桥，全长1000米左右，是福州城内“三坊七巷”的中轴。它的东侧有七巷，西侧有三坊，是曾经主要的商业街，由北到南路面商贾云集。南后街是三坊七巷的中轴，翻修后的南后街将充满古色古香韵味，路面的宽度将达到12米，包括中间宽7米的步行街。起于杨桥路、止于吉庇路的南后街全长只有634米，是传统与现代相结合的休闲文化商业街。,https://dimg04.c-ctrip.com/images/100t1f000001gqdqh9B9D.jpg
福州,闽江,8715,26.018072,119.38509,4.8,闽江流经福州的50多公里造就了许多景观，主要有金山寺、金刚腿、五虎门以及闻名于世的马尾港。福州这一段的闽江共有6座大桥，从东至西分别是鳌峰洲大桥、闽江大桥、解放大桥、三县洲大桥、金山大桥、洪山大桥，其中解放大桥和三县洲大桥的景观比较好。,https://dimg04.c-ctrip.com/images/0105j12000bbdtiw8FBCA.jpg
福州,林则徐纪念馆,8719,26.078417,119.29731,4.7,林则徐纪念馆原是林则徐祠堂，建于清光绪三十一年。进入林则徐纪念馆，屏墙左右两边的石拱门上，横额分别为“中宗宗衮”及“左海伟人”。祠门外围屏墙内壁有浮雕虎门销烟图，大门上额刻着“林文忠公祠”，仪门两侧回廊陈列了20多面执事牌。仪门厅后有石道可以直达御碑亭，内有光绪三十一年立的道光三十年“圣旨”、“御赐祭”、“御制碑文”等3块青石碑。御碑亭的北边为树德堂，里面有林则徐坐像。树德堂的西面为南北花厅，厅的西面有两层的曲尺楼，原为林家子弟读书的地方，楼前有草坪、鱼池、假山、花木等。全馆为古典式园林建筑，现如今，堂、厅、楼均辟为林则徐生平展室，分林则徐生平事略、林则徐与鸦片战争、林则徐与救灾、水利，放眼看世界第一人、林则徐手迹等部分。,https://dimg04.c-ctrip.com/images/0106b12000f6tsp36E29F.jpg
福州,衣锦坊,8738,26.083495,119.296472,4.6,"三坊七巷之一。衣锦坊旧名通潮巷，因为这个地方是水网地区，西湖、南湖的潮水可以通到这个坊巷的沟渠里去。坊内有人在外出仕做大官，后衣锦还乡而改坊名。坊中16号为清嘉庆进士郑鹏程居宅，其中的水榭戏台具特色。这是一个木构单层平台，四柱单开间,下建清水池塘，中隔天井，正面为阁楼。于此观看戏剧演出，水清、风清、音清,具有声学原理和美学价值。",https://dimg04.c-ctrip.com/images/0104t12000c4gfyv12D4E.jpg
福州,乌山,8711,26.0715,119.28677,4.6,乌山自唐代起即为游览胜地，“唐宋八大家”之一的曾巩所作的《道山亭记》中的道山，指的便是乌山。说是乌山，其实也就是市民公园，这里树木成荫，曲径通幽，滕类植物繁多，靠近三坊七巷，很适合从三坊七巷逛累了到这里小憩一下。如果是特意过来看三山二塔的，可以坐公交到乌山站下，下车直接就可以看到乌山景区，而从乌山步行到于山也就20分钟路程，可以一同游玩。乌山景区门口有游览导游图，登山可以往八十一阶登山道的方向走，一路也都有指示牌，不算难找。山上可以观赏福州市貌和五一广场。夏天坐在乌山长廊里乘凉也再悠闲不过了。而乌山另一个不容错过的景点就是乌塔，它是“三山二塔”的二塔之一，位于乌山的东麓，与于山的白塔遥遥相对。塔身是用花岗石砌成，因为年代久远外表略微的呈黑色，呼应着它的名字，很多人在这里拍照。总体而言，市区内留下这么一个僻静之处还是不错的，闲暇之余过去散步挺好的。,https://dimg04.c-ctrip.com/images/01025120009dh06s31C76.jpg
福州,西禅古寺,8734,26.071732,119.275986,4.7,"该寺为六朝古刹，古号""信首""，至隋末废记。唐咸通八年（867年），福建观察使李景温礼请长沙沩山高僧大安禅师前来驻锡，寺遂中兴。之后改名""清禅""、""延寿""。五代后唐长兴间（930-933年）,闽王王延钧奏名""长庆""。宋景祐五年（1038年）敕号""怡山长庆寺""。 后此寺位于福州西郊，且郡城外有南禅、北禅、东禅三寺，合此为四，故名""怡山西禅长庆寺""，俗称""西禅""，相沿至今。元、明两代，屡有修建相沿至今。",https://dimg04.c-ctrip.com/images/100p1f000001gpes6F2D2.jpg
