city,名称,id,纬度,经度,评价分数,介绍,封面图片
绍兴,绍兴柯岩风景区,2189,30.047587,120.47344,4.6,柯岩风景区位于柯山脚下，包含柯岩、鉴湖、鲁镇三部分。柯岩是整个风景区的核心，三国时期，这里曾是一处采石场，拥有姿态各异的石宕、石洞、石潭、石壁等奇景。这里离市区不远，来了解绍兴文化、休闲度假都很合适。景区有两个大门，一个是柯岩，一个是鲁镇，两个门都可以进入景区，且相距不远。上午游览景区建议选择柯岩-鉴湖-鲁镇线路，下午2点后买票建议选择鲁镇-鉴湖-柯岩线路游览。如今的柯岩景区包括石佛、镜水湾、越中名士苑、圆善园四大景点，其中较为特别的是“天工大佛”和“奇云石骨”。“天工大佛”开凿于隋代，历经石工三代凿成，颇有气势；而“奇云石骨”上宽下窄，犹如一座颠倒过来的宝塔，高30余米，底围仅4米，看似头重脚轻，却已在风雨中屹立了一千多年，令人惊叹。鉴湖是绍兴的“母亲湖”，建有东汉笛亭、南洋秋泛、五桥步月、葫芦醉岛等四处景点。在这里可以坐乌篷船泛舟在鉴湖之上（需另付费），还可以在葫芦醉岛品黄酒、看曲酒流觞，感受绍兴的黄酒文化。鲁镇本是鲁迅笔下虚构的小镇，鲁镇景区则是为了还原鲁迅笔下的“鲁镇”而建的一个乡村小镇主题公园。鲁镇依傍着鉴湖，有商铺客栈、文化展馆、台门戏台等等，鲁镇街上，有演员扮演的鲁迅小说里阿Q、祥林嫂等人物，很逼真，可以和他们合影。景区内有柯岩酒家、品酒馆、一石居酒家等餐馆可以用餐，价格略贵，建议自带些食物。游玩过后，返回绍兴市住宿。,https://dimg04.c-ctrip.com/images/3506180000015gwrkF95C.jpg
绍兴,沈园,2204,29.990186,120.590324,4.5,当年陆游为追忆与唐婉的沈园邂逅，写下了著名的《钗头凤》，寄予了这座精巧的江南园林许多浪漫的想象。如今人们到沈园，除了欣赏古典园林之外，更多的是去感受爱情，甚至将这里视为执着爱情的寄托。沈园的开放时间分为白天和晚上两场，白天主要看园内建筑，虽然宋代的沈园建筑早就不存在了，如今看到的沈园是近几十年在原址上按照当年的布局重修和扩建的，但这并不妨碍人们来沈园感受爱情。如今沈园分为沈园古迹区、东苑和南苑三部分，景区并不大，步行2小时左右便可逛完。其中，古迹区是游玩的重点。如果你是戏迷，那么晚上的沈园之夜会更对你的胃口。进入沈园便是古迹区，迎面看到一块太湖石，上面写着“诗境”二字，由此便可开始游览了。左手边上一条回廊，墙壁上有许多诗词的碑刻，屋檐下挂满了风铃，小木牌上满是情人们写的留言。顺着步道走在园林中，过问梅槛、八咏楼来到六朝井亭，这口井和旁边的葫芦形水池是园中仅有的六朝遗物。亭子旁边的孤鹤轩是沈园的中心，它的南面便是著名的《钗头凤》碑，来到这里的游人无不在此驻足，吟几句《钗头凤》，回味陆游唐婉的爱情。孤鹤轩东面的双桂堂则是沈园之夜堂会表演的地方，它的入口附近是南苑和东苑的入口。南苑是连理园和陆游纪念馆，这里没有古迹区的忧伤气质，更多的是一股书卷气。陆游纪念馆展出陆游诗词手记的碑牍，还有沈园的全景模型。而东面的东苑以爱情为主题，又叫“爱情苑”，有心形的琼瑶池、鹊桥、相印厅等历史和传说中充满爱情寓意的景观，很适合情侣走走逛逛。沈园的特别之处在于它的夜游，晚上的园林比白天多了点浪漫和神秘，其中值得一看的要数双桂堂的堂会，你不仅可以看到演员用现代的形式表演钗头凤、新说陆游和唐婉的故事，还可以听到各种绍兴地方戏，包括鹦哥班、莲花落等等，非常精彩。沈园离鲁迅故里大约只有200米，若只想游览园林，可白天将二者一并游览。或者白天参观鲁迅故里，晚上到沈园欣赏演出，也是不错的选择。,https://dimg04.c-ctrip.com/images/01A0i120008vhir7g0D4F.jpg
绍兴,鲁迅故里,2193,29.992354,120.585401,4.6,鲁迅故里是绍兴市内的一条历史街区，这里是文豪鲁迅先生少年时生活过的地方。景区内不仅保留了不少当年的老建筑，还恢复了先生笔下的土谷祠、寿家台门等景观，百草园、三味书屋等儿时课本中的场景，也能在这里找到。景区的主道两边粉墙黛瓦，你可走进鲁迅故居参观先生诞生之地；还有屋后那曾是他儿时乐园的“百草园”；或是去“三味书屋”看一看少年鲁迅学习时用过的书桌；还可以去“咸亨酒店”，与“孔乙己”铜像合个影，吃吃茴香豆、来碗黄酒，品味一下绍兴式慢生活。景区内还可参观鲁迅祖辈们的世居大宅、鲁迅笔下的“风情园”、陈列鲁迅生平事迹的纪念馆，以及鲁迅幼时做过记名弟子的寺庙——长庆寺。如果对鲁迅的著作有印象，还可去《阿Q正传》中提到的土谷祠和静修庵、《呐喊》中提到的当铺“恒济当”看看，感受一下作品中真实存在的建筑场景。这段街区不算长，却很有江南水乡古城的风貌。街两边有不少店铺，可以尝尝街边卖的绍兴臭豆腐、龙须糖；也可以坐上乌篷船穿梭于水巷之中，感受水乡的气息。,https://dimg04.c-ctrip.com/images/0100712000kl8icpc9886.jpg
绍兴,东湖,2206,29.997583,120.63251,4.4,东湖位于绍兴古城东约6公里处，面积不大，景观并不深刻厚重，也没有水天一色的浩淼气势，反而给人一种小巧而有灵气的感觉，因此东湖被人们比作“山水盆景”。此外，这里也是82版《西游记》中女儿国的取景地。东湖的水比绍兴市区的乌篷船河道清澈许多，尤为特别的是，由于这里曾是一个采石场，两岸是当年采石留下的陡峭山崖，这些开凿的痕迹被山泉冲刷出一道道斑斓的色彩，煞是好看。还有一些窄窄的石洞，有的仅能容一艘船经过，很奇妙。因此乘乌篷船游东湖也是许多人来此的理由。进入景区不远便是寒碧亭码头，由此乘乌篷船经仙桃洞、喇叭洞、陶公洞到稷寿楼码头上岸，单程大概20分钟，40元/人，1.2米（不含）以下婴幼儿童20元/人，4人一条船（供参考）。东湖奇妙的是陶公洞与仙桃洞，站在岸上看，仙桃洞只是一座简单的石框门，当你乘船靠近时，才能看到石门与倒影组合在一起的巨大桃形形状。而陶公洞入口处仅容一艘小船通行，进入洞内之后却是另有洞天，整个洞像一口天然巨井，在洞底仰望小片天空，颇有几分坐井观天的意味。稷寿楼码头在景区的里面，稷寿楼旁的扬帆舫每天有2场社戏表演：9:30-10:30、14:00-15:00，可免费观看。但看社戏好的位置都被摆上了桌椅，需要泡上一杯茶才可以坐。如果说坐乌篷游东湖是主要目的，那么沿着岸边走走看看，你会发现这里的亭台楼阁也十分精巧。沿着湖边的小道步行游览，湖上有跨湖的霞川桥和秦桥，水杉休闲区附近有步道可以登上箬篑山，山上有茶园，远远望去，是阡陌纵横的乡村风光。因此，乘船进入，步行出来是比较推荐的玩法。,https://dimg04.c-ctrip.com/images/0102i120008fb1nlq127C.jpg
绍兴,兰亭景区,2190,29.925876,120.499605,4.6,兰亭位于绍兴古城西南约13公里处的兰渚山下，因王羲之等人曾在此雅集，留下一篇著名的《兰亭序》而出名。兰亭地方不大，但景色非常雅致。鹅池碑、兰亭碑、曲水流觞、御碑亭是这里的主要景观。过了检票处不远就会看到写有草书“鹅池”的石碑，相传“鹅”字由王羲之所写，显得娟秀挺拔，而“池”字却较为粗旷、豪迈奔放，是儿子王献之所写，这块碑也因此被称为“父子碑”。来到这里的游客，几乎都会在这里拍照。传说王羲之很喜欢鹅，现在兰亭的鹅池里也养了几只白净的鹅。鹅池北岸即是兰亭碑亭，碑上的“兰亭”两字是康熙皇帝的御笔。兰亭碑旁边就是曲水流觞的区域，曲水流觞简单的说可以理解为现在的行酒令，有人在曲水的上游，放上一只盛酒的杯子，酒杯有荷叶托着顺水流漂行，到谁处停下，谁就得赋诗一首，作不出者罚酒一杯。当年王羲之便是趁着酒兴，挥笔成就了被誉为“天下第一行书”的《兰亭序》。当今很多游人来到这里，兴致勃勃地用塑料杯子，盛上饮料，放在曲水里“流觞”，体味当年曲水邀欢的乐趣。右军祠是纪念王羲之的祠堂，祠堂四面环荷花池，是康熙年间所建，这里主要看不同模仿版本的《兰亭序》。继续往西走，可以看到御碑亭，碑的正面是康熙皇帝所临写的《兰亭集序》全文，背面是乾隆皇帝游兰亭时即兴所作的一首七律诗《兰亭即事诗》，祖孙两代皇帝同书一碑，所以又称祖孙碑。祖孙两代皇帝同刻一碑，这是全国独特的，也是兰亭的镇亭之宝。御碑亭背后还有十八口水缸，游人可以在此用毛笔蘸水在石桌上写字，体验当年王献之学字的场景。另外，景区西北有兰亭书法博物馆、兰亭瓷砚艺术馆，展出了不少书法作品和各种各样的砚台，感兴趣的话，不妨前往参观。,https://dimg04.c-ctrip.com/images/100k1f000001gui3g361D.jpg
绍兴,安昌古镇,48416,30.137821,120.491305,4.5,安昌古镇位于绍兴市柯桥区北部，是中国历史文化名镇、CCTV中国魅力名镇、中国师爷文化之乡、国家4A级景区、浙江省非遗主题小镇、浙江省首批旅游风情小镇、浙江省智慧景区、浙江省第二批大花园“耀眼明珠”、浙江省夜间文化和旅游消费集聚区、入选浙江省旅游休闲街区培育名单、长三角古镇文化和旅游深度融合创新发展优秀案例，是华语辩论世界杯初中小学组的永 久举办地。古镇核心区约1.2平方公里，老街长1747米，素有“碧水贯街千万居，彩虹跨河十七桥”之美誉。古镇生活气息浓厚，商贸特色繁荣，被称为“活着的古镇”。安昌是千年古镇，历史悠久。“夏商的魂，春秋的水，唐宋的桥，明清的建筑” 是对它很好的写照。安昌是师爷故里，人文荟萃。“天下师爷出绍兴”，绍兴师爷出安昌。安昌是商埠重镇，因商而荣。古有钱庄二十多处，海盐、棉花、酱及酱制品交易、“两白一黑”，支撑了老街的商业繁荣。安昌拥有“绍兴宣卷”、“绍兴祝福”等1个国 家 级、5个省级和26个市级非遗项目。连续26年举办腊月风情节，非遗市集、水上婚礼、水乡社戏等节目精彩纷呈，集中展示安昌越文化底蕴，成为绍兴地区非常热闹的节会。,https://dimg04.c-ctrip.com/images/1lo1o12000jtfjeoqE9F7.jpg
绍兴,三味书屋,18188,29.991463,120.586199,4.6,三味书屋位于鲁迅故里景区内，鲁迅少年时代曾在此学习了5年。游人来到这里，总难免要回味一番儿时课文《从百草园到三味书屋》中的字句，以及鲁迅在书桌右下角“刻下一个小小的‘早’字”的故事。百草园和三味书屋相距不远，你可循着鲁迅的足迹，从百草园一路走过来。出百草园往东走几百米，再过一座石板桥，就到了。进了三味书屋，旧时私塾映入眼帘。虽然后来有过重修，但里面的陈设基本保持了当年的原貌，和课文中的描述相差无几。书屋正中悬挂着“三味书屋”的匾额，匾额下挂着一副《松鹿图》，旁边摆的是寿镜吾先生的像。以往学生上课要先对着匾额和图行礼，才开始读书。书屋中间一张八仙桌，后面的高背椅是先生坐的，四周是学生的课桌，由于是学生自备的，所以看上去各式各样。鲁迅刻过“早”字的那张课桌躲在左边墙角，旁边有标识让人一眼就能认出来。这张有两只抽屉的硬木书桌是当年鲁迅用过的原物，可惜有围栏挡住了，只能远看，上面的“早”字几乎很难看清楚。书屋后面的小园里有砖砌的小花坛，还能见着文章里描绘的那边的情形：“三味书屋后面也有一个园，虽然小，但在那里也可以爬上花坛去折腊梅花，在地上或桂花树上寻蝉蜕”。如今这里种着腊梅、天竹、桂花，也是个不错的小园子，供游人想象鲁迅儿时的欢乐。三味书屋前有乌篷船码头，可乘乌篷船至咸亨酒店，算得上是不错的水乡体验。也有其它线路可以选择，线路不同价格也不同（具体可看码头的价目表）。,https://dimg04.c-ctrip.com/images/01071120009kjqqzvDD71.jpg
绍兴,仓桥直街,97321,29.997552,120.577956,4.5,仓桥直街位于越子城历史文化保护区内，青石板、湿苔藓、乌篷船，一派小桥流水人家的景致。街道两旁是绍兴特有的台门建筑，还有不少商店和餐馆、特色小店和展览馆，是游人品味绍兴旧时风韵的理想选择。这条老街与南方许多城市的老街有几分相似，不同的是，这里没有太多的商业气息，也少有熙熙攘攘的旅游团。在街头漫步，你会遇到在这里生活了一辈子的老人、嬉闹的孩子，满满的生活气息。尤其是傍晚的时候，更能感受到老街不紧不慢的生活节奏，拍出的照片也很有感觉。饮食方面也不用担心，仓桥直街上有贩卖绍兴黄酒、茴香豆等特色小吃的传统小店，也有状元楼这样有名的馆子，节假日用餐高峰时间生意格外火爆。,https://dimg04.c-ctrip.com/images/0106012000f4dmebnC97B.jpg
绍兴,百草园,18187,29.993075,120.585089,4.5,百草园是周家的一个菜园子，位于鲁迅故居后面。这里是鲁迅小时候玩耍的地方，因为《从百草园到三味书屋》中趣味横生的描写，成为大多数游人共同的儿时回忆。如今的百草园大致还是当年的样子，里面种植着一些蔬菜，高大的皂荚树枝繁叶茂，让人依稀能感受到旧时光的影子。大园西边有一垛高约一米的泥墙，作为与邻居梁家后园的分界线。在泥墙的南端，即与鲁迅家后门墙角接壤处，有块刻有“梁界”两字的界碑。这块界石和这垛被鲁迅称为“有无限趣味”的“短短的泥墙”至今仍留存如故。,https://dimg04.c-ctrip.com/images/0103p12000f6t38ze18AB.jpg
绍兴,鲁镇,48425,30.044936,120.476258,4.4,鲁镇位于绍兴柯岩风景区内，是依照鲁迅笔下的“鲁镇”还原的主题公园。在这里你会看到许多熟悉的场景：鲁家祠堂、奎文阁、阿Q栖身的土谷祠等等，可以一路走一路回忆作品中的桥段，是种特别的体验。鲁镇被流水大致分为三部分，景区的入口，迎面是一座高大的石牌坊，上书“鲁镇”二字，一旁是鲁迅先生坐在藤椅上的铜像，颇有“横眉冷对千夫指，俯首甘为孺子牛”的神韵，也是鲁镇的标志。中轴线上是民俗风情街、双面戏台，左手边是赵府、土谷祠、奎文阁，右手边有静修庵、百匾馆、鲁府（鲁家花园）、鲁家祠堂、当铺、钱府（狂人府）等，各部分之间有小桥相连，河道中不时有乌篷船划过，颇有情致。鲁镇不大，顺着标识步行游玩即可。首先来到的是民俗风情街，这里是鲁镇繁华的地方，沿街许多特色小店，卖一些古玩玉器和乌毡帽之类的小玩意，街上还有游客可以参与的“投球入樽”、“套圈”等绍兴特色的游戏，感兴趣可以去玩一玩。风情街尽头是鲁镇的中心，双面戏台，游客可以在这里看社戏、品黄酒（社戏表演时间参考当日戏台附近的公告牌）。戏台往左来到阿Q的栖身之所土谷祠，再往里走便是鲁镇高的建筑奎文阁，登上楼去，可以俯瞰鲁镇全景。过桥来到钱府，这里按照《狂人日记》里的情节，布置了一个“吃人”而扭曲的环境，尤其是走进蠕洞里，好像走进动物的腔肠内部，有种被封建礼教吞噬的即视感。从钱府开始往景区大门方向走，沿路是当铺、《祝福》中的鲁家花园、阿Q调戏小尼姑的静修庵等等，过静修庵前的石板桥，便出了鲁镇广场了。除了这些建筑，鲁镇街上穿着戏服扮演鲁迅笔下角色的演员们也是鲁镇的一道风景，阿Q油腔滑调地装各种怪相，祥林嫂挎着讨饭篮拄着竹竿在街上四处游荡……让人感觉真的穿越进了鲁迅的故事里。游客多时，他们就扮演起自己的角色，念起经典台词来逗游人开心，引得游客纷纷掏出相机拍照。柯岩风景区有柯岩、鲁镇两个入口，可以先游玩鲁镇，乘画舫前往葫芦酒岛，然后去到柯岩景区看天工大佛。或者从柯岩进入景区，沿柯岩-鉴湖-鲁镇游玩。,https://dimg04.c-ctrip.com/images/0104412000h0km0un27A9.jpg
