city,名称,id,纬度,经度,评价分数,介绍,封面图片
舟山,普陀山风景区,126016,29.996762,122.388675,4.7,普陀山是观音菩萨的道场，有“海天佛国”的美誉。普济、法雨、慧济三大寺，还有33米高的南海观音立像，是游人香客们都不愿错过的景观。宜人的山海风光是普陀山另一动人之处，漫步千步沙，远眺海上卧佛，非常享受。普陀山岛位于舟山本岛的东部，与外界不通公路，只能乘船上岛来到普陀山码头。整个岛呈长条状，长度约有7公里，岛上景点之间距离在2-10公里之间不等，距离较近的景点可以步行游玩，较远的可在码头旁的客运站里乘坐岛上的旅游线路车游览。另外，岛上的佛顶山可乘索道游览，普陀山东部约5公里的小岛洛迦山可乘船游览（该岛只能从普陀山岛乘船前往，属于普陀山景区的一部分。普陀山风景区内的景点主要分布在三个区域，每个区域的景点可以放在一起游玩，游玩每个区域大概需要半天时间，游客可以根据自己的住宿地和到达岛上的时间安排行程。第一区域：以普济寺为中心，围绕有西天景区等位于岛西侧的景点。其中普济寺是岛上的寺院，也是全山供奉观音的主刹，普济寺的旁边是普陀山三宝之一的多宝塔。西天景区内则有磐陀石、心字石、梅福禅院等众多景点。第二区域：南边的南海观音、紫竹林、不肯去观音院、南天门等景点，其中的南海观音是岛上的标志性建筑，不肯去观音殿则拥有普陀山传奇的传说，不能错过。第三区域：以佛顶山为主，旁边有法雨寺、慧济禅寺两个寺院，普陀山三宝的另外两宝九龙藻井和杨枝观音碑，一个在法雨寺内，一个在法雨寺旁的杨枝禅院内。另外，如果时间允许，还可以乘船前往洛迦山，大概需要大半天时间，传说洛迦山上的观音十分灵验，可以前去参拜。除了这些宗教景点之外，在岛东侧还分别有千步沙和百步沙两个优良的海滨浴场，千步沙靠近法雨寺，百步沙则靠近紫竹林附近，喜欢观海玩水的游客可以前去。所以，一般游玩普陀山景区大概需要2-3天时间，需要在岛上住宿和吃饭。岛上的物价比岛外贵，所以如果可能的话尽量带一些零食和饮料，在岛上吃海鲜价格一般较高，要做好准备。岛上的三大寺院分别为游客准备素斋，价格便宜又是岛上特色，值得一试。岛上的住宿地有很多，宾馆、客栈、农家乐各种标准的住宿都有，不过一般价格都高于外面，周末和节假日会涨价，而且还需提前预订，需要做好准备。,https://dimg04.c-ctrip.com/images/0102k12000f6t3x3l9600.jpg
舟山,法雨寺,2131,30.001812,122.393396,4.7,法雨寺位于普陀山风景区中部，被称作“后寺”，其规模仅次于“前寺”普济寺，是普陀三大寺之一。因为它在山脚下，有景区的旅游巴士直达，每天来此朝拜的香客非常多，是来到普陀山的游客不可错过的寺院之一。游览法雨寺，你可以从佛顶山上的慧济寺顺着香云路的台阶走下来，也可以坐车或走路从普济寺过来（约3公里）。进入山门的牌坊，来到放生池上的海会桥，抬头便能看见红墙上“天华法雨”四个大字，两边的放生池里成群的红鲤鱼也是法雨寺令人难忘的一景。过了放生池，沿着弯曲的步道上坡，前方便是法雨寺的主体建筑群。寺院依山而建，分列在六层台基上。天王殿、玉佛殿、九龙观音殿、御碑殿、大雄宝殿、方丈殿，殿殿升高。隐在树荫环绕的香樟林中的法雨寺，给人既华美又沉稳的感觉。寺内值得一看的是天王殿对面的九龙壁，以及玉佛殿和九龙观音殿（大圆通殿）。玉佛殿内的原是供奉着缅甸请来的玉制释迦牟尼像，后在文革中被毁。现在看到的玉佛是后来从北京雍和宫请来的，比原来的小一些，也很精致。九龙观音殿就在玉佛殿后面，是法雨寺的主殿，也是国内规格较高的佛殿。夺人眼球的是屋顶上南京明故宫移来的琉璃瓦，以及殿内天花板上的九龙藻井。这二者都是古物，尤其是九龙藻井，雕的是九龙戏珠的图案，来到殿内千万不要忘记抬头观赏。拜过各大殿的菩萨，最后去到寺庙里的法物流通处请法物。这里的法务品种很多，价格也比较亲民。此外，法雨寺素斋也值得推荐。斋饭有中午和下午两顿，上午十点半左右，下午四点半左右，5元/人，便宜管饱，更不失为体验佛门氛围的途径之一。寺庙外不远处是千步沙，拜佛祈福过后步行前去看看海，在沙滩上散散步，感觉很清静。若是傍晚，还能看到海上日落。,https://dimg04.c-ctrip.com/images/0106912000f6qapz393AF.jpg
舟山,慧济禅寺,2132,30.010876,122.390257,4.8,慧济寺位于普陀山高处佛顶山上，又称佛顶山寺，是普陀山三大寺之一。这里有名的是观音堂里的注生娘娘，据说是很灵验的送子观音。另外，由于地处山顶，寺庙前的一块平台是观赏日出日落的好地方。慧济寺建筑别具一格，依山而建，横向排列，殿堂宽敞壮丽，深藏于森林之中，以环境清幽著称。整座寺庙内有4座殿、7座堂、5座阁楼以及库房等，共145间。该寺布局因山制宜，大雄宝殿、大悲殿、藏经楼、玉皇殿、方丈室等都在同一条平行线上，与左右厢房相拥，颇有浙东园林建筑风味。如果你体力好可以选择徒步登山，沿着黄墙夹道的嵌有莲花的石板道上步行上来，一路可以看到很多虔诚的信徒在那里三拜九叩，口中念念有词。当然你也可以选择索道上山，步行下山，比较节省体力。沿着香云路一路走下来就是法雨寺，沿途还能看到“海天佛国”的巨大岩石，天气好的时候能看到云雾环绕山腰。游览慧济寺，你可以在莲花池、“佛顶顶佛”墙、“同登彼岸”石碑等几个小景观处拍照留念，其他就属大雄宝殿和观音殿香火较为旺盛。与普陀山其它寺院不同，主殿大雄宝殿，供奉的是释迦牟尼佛像，两边侍立弟子阿难与迦叶。大殿两厢各塑有10尊塑像，是佛教传说中的“二十诸天”。大雄宝殿屋顶全用不同颜色的琉璃瓦盖成，如果是坐缆车上山，在阳光下有可能会看到“佛光普照”的绮丽景观。在大雄宝殿的左手边就是观音堂，堂内汇集了根据历代画家所绘观音像而镌的石刻观音，是普陀山宗教艺术的精华之一。当然这里也是很多来普陀山祈求生育的人必拜之地，听说很是灵验。在这里烧香心要诚，三注香足以，可殿内严禁喧哗、吸烟、拍摄及点香烛。拜完了佛可以去慧济寺后门看一看“普陀鹅耳枥”，这棵树是200多年前由缅甸僧人到普陀山朝拜时带来的，目前列为国家二级树种，也是很多游客会来观赏的景观。,https://dimg04.c-ctrip.com/images/0103f12000k4ugr42A39F.jpg
舟山,紫竹林,2129,29.977482,122.393829,4.6,紫竹林位于普陀山东南端，和洛迦山隔海相望。人们常说的“紫竹林”不是一片紫色的竹子，而是紫竹林禅院、不肯去观音院、潮音洞等景点。这里是观音在普陀山早的道场，也有许多人冲着“不肯去观音”的传说来此参访。由停车场进入景区，遇路口直走是南海观音和观音跳，往左走到尽头便是紫竹林禅院。紫竹林禅院的山门和天王殿合二为一，造型很独特。天王殿正中的大门上耸出一门楼便成了山门的牌楼，门额上题写的“补袒紫竹林”是康有为的亲笔。寺院规模不大，主要建筑为圆通宝殿，里面供奉着紫竹观音坐像，可以在此祈福。此外，寺内的细节之处还有不少名家题写的匾额、对联，禅意浓厚，值得细细浏览。出紫竹林禅院大门，沿着对面的小路往海边走，即是的不肯去观音院和潮音洞。在路上远远就能看到不肯去观音院前面的观海亭。寺院并不大，原来的古庵早已消失了，如今的建筑都是新建的，但这里是整个普陀山建寺早的地方，是供佛之始，因此也是普陀山不能不游的地方。不肯去观音院对面有潮音洞，半浸在海中的洞穴日夜吞吐着海潮，声若雷鸣。在此赏海景，远眺对面的洛迦山如一尊卧在海上的大佛，景色很美。传说这里曾是观音菩萨显灵的地方，因此善男信女们更愿意把这潮声看作菩萨的讲法声，让潮音洞多了几分神秘色彩。这附近还有一块碑，刻着“禁止舍身燃指处”，说的是以前许多信徒来到这里，在潮音洞边跳洞舍身，或者在不肯去观音院前燃指，以为这样做就能早得正果，于是当地的督军在此立了这块碑。现在早已没人在此“舍身燃指”，而这段历史成了导游津津乐道的故事，碑刻则成了游人留影的标志。游完紫竹林，步行即可到更南面朝拜33米高的南海观音像。此外，这里离码头很近，走回码头，顺路还可游览南天门和码头附近的景点。,https://dimg04.c-ctrip.com/images/fd/tg/g2/M02/2E/5F/CghzgFW2JaeAJXhfAARXghMA_T8404.jpg
舟山,佛顶山,110364,30.009738,122.390236,4.7,佛顶山位于普陀山岛北面，是普陀山上的高峰。山上的慧济寺是普陀三大寺之一，香火旺盛，因此来佛顶山朝拜的游客总是不少。香云路上常能看到三步一拜地朝山的信徒，还会路过的“海天佛国”石刻。游人可沿着法雨寺旁的香云路步行上山，大约45分钟能到山顶。想要省力也可乘索道（单程40元，往返70元），往上再走一小段便能到达山顶的慧济寺。坐索道上山，而后步行下山是优选择。山上的慧济寺是绝大多数游人来到佛顶山的游览重点，除了寺院建筑规模颇大，据说寺内的注生娘娘帮助人们实现生育愿望，吸引了许多人在此礼佛祈福。由于此处地势高，寺前的平台是人们赏日出和日落的佳地点。,https://dimg04.c-ctrip.com/images/010491200087cub29AE73.jpg
舟山,朱家尖风景区,139887,29.90485,122.386019,4.5,朱家尖是国家风景名胜区，位于浙江省舟山群岛东南部，与相距1.35海里的“海天佛国”普陀山并称普陀山重点风景名胜区，是舟山群岛核心旅游区“普陀金三角”的重要组成部分，是舟山群岛的第五大岛，岛屿面积74平方公里。朱家尖现已开发国际沙雕艺术广场（南沙景区）、乌石砾滩（乌石塘景区）、观音文化苑（白山景区）、东沙湾海滨浴场、大青山国家公园、观音法界等，旅游度假服务设施完备，海陆空交通便捷。朱家尖岛的潜在优势已凸显，它以“时尚海洋、自在生活”为蓝本，以大海、沙滩、佛语梵音为基调，以海洋文化、观音文化为内涵，努力打造成为国际海岛休闲度假胜地。,https://dimg04.c-ctrip.com/images/1lo0o12000hs5hz2e03D9.jpg
舟山,朱家尖南沙景区,10297,29.87667,122.408679,4.3,"南沙是“十里金沙”奇观的中心和精华所在，介于东沙与千沙之间，长1000余米，宽约250米，沙质细腻，滩前海域辽阔，近岸1000米水域，水深在0.5米—2米之间。夏季海水洁净，透明度高，水温在24—26℃之间，是游客朋友沙滩休闲、踏浪嬉水和开展各种海上沙滩活动的理想场所，南沙滩前的这个海域可容纳2万人同浴，是我国少有的理想的大型海滨浴场。
炎炎夏日，游客们嬉水踏浪。驾着摩托艇在碧波中风驰电掣，在沙滩上放飞青春的梦想，紧张的现代生活节奏之余，这里就是您理想的休闲度假之选，它可以让您充实、更让您回味无穷。这里也是全国仅有的能够提供夜泳安全保障的天然海滨浴场。",https://dimg04.c-ctrip.com/images/0106m12000h0zxson293D.jpg
舟山,普济禅寺,2124,29.985325,122.386883,4.7,普济禅寺又叫“前寺”，是全山供奉观音的主刹，意境清幽，是朝拜祈福的好去处。普济禅寺和法雨寺、慧济寺并称三大寺，也是普陀山上香火较为旺盛寺庙，每到节假日，常被游人香客挤得水泄不通。进入寺院会经过一个石牌坊，旁边有一块碑刻着“文武官员军民人等到此下马”，到了这里，便开始普济禅寺的游览了。走过石牌坊就是御碑亭，再往前来到海印池。它是禅寺的放生池，池塘中有许多红色的鲤鱼，夏天的时候池塘中荷花开放非常好看。池上有三座桥，桥上有石凳，坐在桥上看风景感觉很棒。池塘东面，白云古树之间的永寿拱桥与倒影一直是谋杀菲林的景色。桥前有一面影壁，上面写着“观自在菩萨”五个大字，许多游客在这里留影。海印池前便是普济禅寺的主体建筑，沿中轴线依次筑有圆通宝殿、藏经楼、方丈殿等殿宇，主殿两旁还有钟楼、鼓楼、配殿、客房等建筑，布局上有些清朝宫殿的风格。其中圆通宝殿是普济禅寺的主殿，“圆通”是观音菩萨的别号，这里供奉的正是观音菩萨，相当于一般寺院的大雄宝殿。除了空间广大，建筑精湛之外，圆通宝殿独特的地方是里面的男相观音，以及观音菩萨三十二应身像，也就是传说中菩萨显灵时示现的样子。可以在寺内请些香火，每天都有许多人在这里祈福。寺院东南侧的多宝塔由太湖石砌成，在海印池可以远观。西侧的西天景区是适合看日落的地方，而东面百多米的百步沙沙滩则是夏季游泳的好地方。,https://dimg04.c-ctrip.com/images/fd/tg/g2/M06/2D/96/CghzgVW2JT6AK3wOAAdWHGOMB-Q641.jpg
舟山,千步大沙,2134,29.995823,122.393689,4.7,千步沙是普陀山上较大的沙滩，位于普陀山东部海岸，北端离法雨寺不远。从南面的几宝岭北绵延到东北的望海亭，总长近2公里。千步沙要比它南边的百步沙更为开阔，而且沙质更为细腻，是踏浪观海的好地方。不少游客会选择在游山拜佛过后来到这里，赤足走在沙滩上，吹着海风听潮声，在沙滩上漫步，一天的疲惫都烟消云散了。在沙滩北端有一根巨石，潮落时石头露出水面，上面刻着“听潮”二字。此处向上有石阶通向望海亭，登亭远眺，是一望无际的大海，视野非常开阔。此外，在千步沙也可以远眺海上卧佛洛迦山。如果想要看海上日出，建议住在千步沙附近的旅馆，查好日出时间，早起步行到沙滩上守候海上日出，百步沙和千步沙交界处的朝阳洞是普陀山看日出的好地方。而晚上在千步沙散步，看月亮和普陀山夜色也是件挺有诗意的事。千步沙的沙滩平坦宽阔，而且沙质非常柔软细净，虽然游泳配套设施不如百步沙完善，夏天依然有不少游客来这里游泳。想要游泳的话，住千步沙附近的旅馆也是不错的选择，穿上拖鞋走路去海边玩水，回到旅馆就可以冲凉换衣服了。另外，晚上沙滩上会有不少小螃蟹，引得不少游人打着手电捉螃蟹玩儿，十分有趣。,https://dimg04.c-ctrip.com/images/100o1f000001gp63sDF13.jpg
舟山,洛迦山,16856,29.968972,122.449445,4.8,洛迦山位于普陀山本岛东南，是普陀山的“小行星”。从本岛东面的海岸望去，洛迦山好似一尊大佛卧在海面上，有“海上卧佛”的美誉。去洛迦山要从普陀山本岛乘船前往，岛上游人不算多，禅院和灯塔是不可错过的景观。进入普陀山山门，往右边走大约5分钟到达珞珈慈航，由短姑客运码头搭乘发往洛迦山的船班，在莲花洋上航行大约30分钟便能抵达。通常去程每天8:00、9:00、13:00各一班，往返70元。洛迦山开船时间10:00、11:00、15:00。以上时间及票价信息供参考，船班受天气和游客数量影响可能会有所调整，建议行前咨询码头，或参考景区官网。山上有圆通禅院（圆通庵）、大悲殿、大觉殿、伽蓝殿、五百罗汉塔、四十八愿塔等可前去拜谒，龙泉古井、仙桥和水晶宫古意盎然。值得一提的是东北小山上的灯塔，这就是传说中的“洛迦灯火”了。这灯塔古时候只是一座天灯台，用于指点海船夜航，古人曾赞它“荧荧一点照迷津，光夺须弥日月轮”，如今，天灯台已改建成洛迦山国际灯塔，为来往船只指引方向。不过游人不能入内参观，只能走到“珞珈灵山”的石碑处远望。,https://dimg04.c-ctrip.com/images/01045120009hee7eu6F04.jpg
