city,名称,id,纬度,经度,评价分数,介绍,封面图片
西宁,塔尔寺,9794,36.487596,101.567767,4.6,塔尔寺位于西宁湟中县，已有400多年历史，是藏传佛教格鲁派（黄教）重要的寺院之一，还是黄教创始人宗喀巴大师的诞生地。寺院建筑恢宏、珍宝丰富，又能感受到浓郁的宗教氛围，是西宁较受欢迎的旅游目的地之一。游玩概览塔尔寺和内地汉传佛教寺庙在建筑布局上有着明显的不同：塔尔寺的建筑群不是中轴对称、纵深进入的。塔尔寺是由众多的大殿、经堂、佛塔、学院组成的古建筑群，各个经院、大殿、佛塔都不规则的分布在一个小山丘上。游客在游玩时，线路是比较随性的，而不是沿着中轴一路向前走。在塔尔寺游览，如果你不进经院或者大殿，只在外面闲逛，是不需要买票的，只有在进入一些对外开放的经院或者大殿，才需要验票。如果来此建议你购票游览，因为不进大殿和经院，你是无法膜拜到宗喀巴大师的化身，也欣赏不到寺中的“三绝”。塔尔寺目前有十几个院落和大殿对游客开放。在塔尔寺的购票处有导游服务，建议请一个导游，因为塔尔寺的历史内涵非常深厚，没有导游的讲解，你会错过很多有意思的故事。大金瓦寺（殿）大金瓦寺是整个建筑群的中心。传说宗喀巴大师就出生这里，大师出生时脐带血滴在这里，之后便长出一棵菩提树。后来在树外包了塔，修了寺院，塔尔寺因此得名。信徒们相信，这棵树、这座塔就是大师的化身。塔尔寺三绝：酥油花、壁画和堆绣酥油花是由酥油配上各色颜料，塑雕成各种佛像、人物、花鸟走兽和亭台楼阁，游客可以在寺内的酥油花馆（距离大门较远）参观到精美的酥油花；在寺内主要殿堂、回廊、前廊等处，都能欣赏到很多颜色鲜艳的上百年的壁画，十分精美；堆绣是用各色的绸缎剪成所需要的各种形状，如佛像，鸟兽等，以羊毛或棉花之类充实其中，再绣在布幔上，在寺内大经堂内，两侧悬挂着“十六罗汉显神通”和“八仙过海”两组罕见的大型堆绣。塔尔寺四大法会（农历计时）1. 跳欠（正月十四）酥油花展（正月十五）；2. 跳欠（四月十四）晒佛、跳欠（四月十五）；3. 晒佛、跳欠（六月初六）转金佛（六月初八）；4. 全天晒佛（九月二十二）跳欠（九月二十三）。在举办法会期间会有晒佛、跳法舞等各种活动，届时前来朝拜的信徒和游客非常多，场面十分热闹。,https://dimg04.c-ctrip.com/images/0105e120007zf4uth8064.jpg
西宁,西宁市东关清真大寺,9808,36.615344,101.797492,4.5,这是青海省较大的寺院，位于西宁东关大街。这座寺院建筑雄伟，包含了汉、藏等几种风格，是游客在市内的热门去处。寺院在西北很有名气，每天都有不少信徒在此虔敬礼拜，可以感受浓厚的宗教氛围。参观建筑该寺位于西宁市东城区东关大街旁，是由几座建筑组成的一个院落，参观整个寺院大约一个小时即可。这里现在的建筑建于1913年，刚站在寺外便可以看到一座宏伟的圆拱形建筑，这便是寺院的门楼，两旁是两座宣礼塔，而走进内部则是几座汉式宫殿，宫殿的顶端还有藏传佛教样式的屋顶，十分独特。进入后可以参观各个建筑，其中礼拜大殿不允许游客进入，但可从门口向内观看和拍摄。另外，晚上夜幕降临后，寺院的外面会亮起绿色的灯光，整个寺庙美丽奇幻，在寺外观看拍摄都很不错。见证礼拜这里每天会进行五次礼拜，每次持续时间约15-20分钟。礼拜往往人数众多规模盛大，但是场面却十分的虔诚安静，礼拜时在一旁观看，有浓厚的宗教氛围，非常震撼。精彩讲解在寺内有讲解（讲解时间根据游客人数不定），可以帮助游客了解信仰内容和宗教仪轨，这里的讲解十分深入精彩，还会有诗经吟唱，空灵悠扬。,https://dimg04.c-ctrip.com/images/0100712000et8lvs64518.jpg
西宁,青海省博物馆,136221,36.630232,101.756124,4.4,青海省博物馆位于西宁市新宁广场处，虽然在省级博物馆中规模不算大，但也是了解青海历史和各民族文化的好地方。而且博物馆内有对藏传佛教、伊斯兰教文化系统的展览阐释，对后面在青海各地的游玩很有帮助。参观概述博物馆主要有两层，但一层现在被一些单位租用，还开设了一些店铺售卖手工艺品等纪念品。偶尔在一楼还会举办临时展览，如果遇到可以参观一下。常设展区位于二楼，主要分为两个部分，分别是青海历史文物展和青海非物质文化遗产展，两个展馆逛下来大约需要一个半小时时间。历史文物展青海历史文物展是以编年的方式对青海的历史进行展览，按指示通道前行参观，便可以观赏到由古至今的历代青海文物。展览分为史前文明和历史文物两个部分，清朝的扎萨克银印、国内出土的铜兵器-青铜大矛等都属于馆藏的珍品，还有很多西北地带马家窑文化的静美陶器，可以根据说明了解一下他们背后的故事。非物质文化遗产展青海非物质文化遗产展展示了青海众多民族的文化和习俗，有很多模型、沙盘等展示了青海众多的节庆、礼仪、歌舞等艺术文化。另外，馆内还有很多藏传佛教的文物，如唐卡、坛城等，其中明朝时永乐皇帝御赐的铜鎏金观音造像更算是整个博物馆的镇馆之宝，可以好好了解一下。在此了解藏传佛教的内涵和艺术，还可以为自己后面的宗教景点旅行提供帮助。讲解服务博物馆内现在提供讲解服务，但讲解器大多是将展览下的文字读一遍，并没有更深的介绍。人工讲解的水平也大多有限，一般都是死记硬背了讲解词，关于游客对延伸知识的提问往往无法回答，并不太推荐。,https://dimg04.c-ctrip.com/images/0102z12000id9z6y8B857.jpg
西宁,青海藏文化博物院,136209,36.688176,101.747846,4.8,青海藏文化博物院是一所以藏医药文化为主题、藏文化为特色的综合型博物馆。     青海藏文化博物院（又称青海藏医药文化博物馆）位于青藏高原东部青海省省会西宁市，于2006年9月正式开馆。基本形成“一院两馆”的总体布局，内设丝绸之路与青藏文明、中国藏族艺术彩绘大观、藏医史等16个展馆。是宣传我国我省民族政策，弘扬传统文化，增强我国我省文化软实力和国际影响力，宣传大美青海的一张金名片，有望成为国内外具代表性的民族品牌和文化符号，成为研究藏学和丝绸之路文化的学术重镇。     青海藏文化博物院藏品丰富、历史悠久、类型多样，具有高度的历史价值、科学价值和艺术价值。博物院珍藏载入吉尼斯世界纪录的唐卡巨作——《中国藏族艺术彩绘大观》，长618米，由知名唐卡大师宗者拉杰策划，400名画家历时4年完成，内容囊括藏族对宇宙的认识、青藏高原的形成、历史、宗教、医学、文化、艺术、民俗等，画面精细，色彩绚丽，蔚为大观，堪称藏文化百科全书，被誉为“当代国宝”。博物院通过古籍文献、藏医唐卡、古代藏医器械、藏材料标本等4大系列，全面展现了藏医学悠久的历史、博大精深的理论体系、临床实践和独具特色的炮制技艺，4部古籍入选国家珍贵古籍名录。丝绸之路与青藏文明展厅以历史为时间纬度，以广博的高原风貌为地理纬度，通过上千件丝绸、金银器、棺板画等珍贵文物，突出藏文化元素，展现几千年历史长河中青藏高原文明的源起、传承、兴盛、繁荣。藏毯展厅是国内较大的古地毯类展览，展出不同时期不同年代藏毯文物400多件，图案瑰丽，色泽强烈，具有独特的民族风格和地方特色。同时，还有藏式建筑展厅、藏族书法艺术展厅、以及临展厅、ee多媒体放映厅、学术报告厅、文物库房等，具备了较强的传承保护研究的能力和文化交流的条件。     迈进新时代 ，开启新征程，续写新篇章。青海藏文化博物院将不断提高文物保护、陈列布展、科学研究和管理运营水平，成为民族团结、社会发展的宣传阵地，成为传播文化、学术交流的广阔平台，成为文物保护、藏学研究的科研中心，成为珍藏文献、藏品陈列的博览中心，向世人展示辉煌灿烂的青藏高原文明和藏文化。,https://dimg04.c-ctrip.com/images/0105w120008vuputr4964.jpg
西宁,西宁野生动物园,70428,36.626929,101.732049,4.5,"青藏高原野生动物园,位于西宁市城西区行知路9号。是科普教育基地、国家AAAA级旅游景区，园区海拔低至2295米,占地面积1500亩,是一处集野生动物观赏、保护、科研、繁育、科普教育为一体、人与动物自然和谐共处的高原特色旅游胜地。园区依托大南山风景区的森林资源和优美的自然环境,建成猛兽散养区、草食动物散养区、鸟类散养区（百鸟苑）,利用现有的地形地貌布局、构景，建设了雪豹馆、灵长馆等13个动物场馆。全园共展出野生动物108种1200余头/只，其中以雪豹、兔狲、黑颈鹤、高山兀鹫、藏野驴、白唇鹿等青藏高原珍稀野生动物为主,同时也有河马、阿拉伯狒狒、斑马等异地野生动物。在您欣赏园区山林景观的同时，您会发现所有动物馆舍是根据原有的自然地形地貌，结合各种野生动物的自然生活习性，点缀配置多种山地花卉、草坪,依山就势建造而成,是个名副其实的高原山地野生动物园。在这里，您会欣赏到山花烂漫的美丽景色，也可以在猛兽区栈桥上体验与虎为伴、与狮同行、与熊同乐、与狼共舞的奇妙旅程。",https://dimg04.c-ctrip.com/images/1lo2e12000az0ohd4678C.jpg
西宁,西宁市人民公园,10962,36.637432,101.762871,4.6,公园位于西宁市区湟水河南岸，是西宁城内受欢迎的公园之一。园内有人工湖、花卉区、儿童游乐区、动物观赏、展览馆等多个区域，环境清新优美，不同季节还有很多受欢迎的活动，是西宁城内漫步观光的好去处。公园热门的时期是每年的6月份，这时是公园的郁金香节，园内花圃区会有各种颜色、品种不同的郁金香花竞相绽放，非常漂亮。冬天玩公园也很不错，这里可以溜冰，还有不错的冰雕展，吸引很多市民和游客驻足参观。,https://dimg04.c-ctrip.com/images/100c1b000001ayl4r2B95.jpg
西宁,马步芳公馆,67787,36.617511,101.80538,3.8,马步芳公馆位于西宁市东城区为民巷，是当时时期“西北王”马步芳的官邸。公馆是典型的那个年代民居建筑，同时又很富丽堂皇，甚至有些房间是由玉石做成，豪华又精致。公馆里还有一些有关马步芳家族历史和西北少数民族风俗的陈列展览，可以一并参观。现在的公馆不大，横竖皆有约100米左右。公馆并非像传统建筑一样坐北朝南，而是朝向西侧麦加的方向。整个公馆由几个小院子组成。马步芳公馆的大门在东侧，从门口进入首先便来到公馆的东院，东院又分为前院和中院，可以一一游览。一走进院子便可以看到这里风格统一的老建筑，墙上有雕花壁画等，很是精致。前院是马家以前用来接待宾客的地方，有贵宾厅、玉石厅、东西两厅等，厅内都展示了一些老照片和字画等，可以简单参观一下了解历史。其中玉石较为特殊，整个建筑的内外墙面均是由玉石制成，非常豪华。中院则是马步芳家庭成员居住的地方，有几间居室和小招待厅。中院里引人注目的便是一把形状奇特的巨大太师椅，是由一颗百年老树的树根雕成的。参观完中院之后便可走进西南侧的院子，这个小院也叫南楼小院，曾经是女眷楼，是女性宾客和佣人生活住宿的地方，以前是禁止男人入内的。现在小院被辟为一座民俗博物馆，展示了一些青海少数民族的服饰。,https://dimg04.c-ctrip.com/images/0104912000f6sdyoj4895.jpg
西宁,土楼观,10955,36.643344,101.78513,4.0,北禅寺又称北山寺、土楼观，位于西宁北山上。北禅寺名气不大，但是历史非常悠久，对于喜欢访古的游客来说，这里是不能错过的地方。另外，北山的地貌赤红陡峭，在山上可以俯瞰西宁城，爬山观景也很不错。北禅寺始建于北魏时期，距今已经有一千九百多年历史，一开始是佛寺，后来改为道观，是青海境内比较早的宗教建筑之一。寺院所在的北山是特殊的丹霞地貌，陡峭的岩壁上有波纹一样的凹凸不平，西宁人称“九窟十八洞”。整个寺院的建筑都是依靠砂岩建造，阁楼悬空伫立，洞窟内都供有佛像，各个洞窟有悬空的栈道相连，结构非常精巧奇妙。游北禅寺，除了参观建筑、拍摄陡峭山体外，天气好时还可以在山间俯瞰北侧的西宁城区，视野开阔，适合拍照。,https://dimg04.c-ctrip.com/images/1A0c10000000pm9yu0F52.jpg
西宁,青海藏文化馆,134225,36.492132,101.588355,4.4,青海藏文化馆位于湟中县，是以展示藏族的历史、文化为主的专题博物馆。展馆有大量图文、工艺品，还有纪录片、高科技电影等，详尽展示了藏族发源、文化艺术、藏传佛教等知识，前往塔尔寺游玩路过湟中县城时不妨一看。参观概述藏文化馆现在分为1号馆和2号馆两个部分，是一个院子内的两座建筑，其中一号馆有两层。进入藏文化馆后沿各个展馆一一参观即可，游玩一圈大概需要2-3小时左右。1号馆藏文化馆的1号馆1楼处，中心是一座影院，再次循环播放藏族的起源，讲述藏族历史上猕猴变人的传说。然后沿顺时针分别为雅隆河谷、吐蕃时期、割据时期、萨迦时期、帕竹时期、甘丹颇章时期、格鲁派六大寺院等展厅，是按照时间顺序展示了西藏历史上的各个时期，可以在此了解西藏政权的历史演变。1号馆的2楼则是以藏族的文化艺术为主，这里有艺术品展区、佛与神灵的世界、神山圣湖、面具艺术、文化艺术等几个展区。其中有藏传佛教艺术、唐卡、面具等多种藏族的艺术品展示，其中面具展区有245种不重复的藏族面具，营造出一个光怪陆离的面具世界，十分值得参观。2号馆2号馆仅有一层，馆内核心的内容便是观看球幕电影。有循环播放的7分钟短片《觉悟之路》可以观看，电影是对藏传佛教生死观的解读，宗教的深邃加上球幕电影的高科技手段，画面格外的空灵神秘，十分精彩。,https://dimg04.c-ctrip.com/images/0104112000f6qke4fC912.jpg
西宁,青藏高原自然博物馆,136219,36.687495,101.750329,4.3,青藏高原自然博物馆位于西宁城北的生物科技产业园区内，是一座规模很大的自然博物馆，和内地不同，这里展示了众多青藏高原独有的动植物、地质等标本和知识，是了解青藏高原独特自然生态的选择。博物馆一共分为三层，馆内有物华天宝厅、大地宝藏、盐湖奇葩、蔚蓝之海、高原隆起、冰雪地带等24个展厅，展览主要有动植物标本、矿石标本、盐结晶标本、自然景观复原等，藏羚羊、雪豹，还有青海盛产的盐湖结晶也不容错过。,https://dimg04.c-ctrip.com/images/0102y12000iiveb3r791F.jpg
