city,名称,id,纬度,经度,评价分数,介绍,封面图片
贵阳,青岩古镇,20403,26.331155,106.686702,4.4,"青岩古镇位于贵阳市南郊花溪区，与镇远、丙安、隆里并称为贵州四大古镇。古镇始建于明代，原为军事要塞，镇内完好地保存了大量明清时期的古建筑，电影《寻枪》的拍摄，使得青岩古镇为更多人所熟知。
古镇建筑依山就势，城墙用巨石筑于悬崖上，有东、西、南、北四座城门，镇内建筑精湛的石雕、木雕工艺是一大看点。镇内景点大多是风格各异的古建筑，每个景点独自收费，如果第一次来，可以购买联票，将古城内景点全盘扫过。如果仅仅是在古城内悠闲度日，则可根据需要挑选几个景点分别购买。
古镇南门定广门是四大城门中气势恢宏的一座，历史上，这里曾是扼守贵阳南大门的第一座门户。巨石砌成的城门楼和城墙高大威武，加上城外蜿蜒的石板路和两侧的农田，构成一副壮美的画图，很多青岩古镇的宣传照都是出自这里。
沿着定广门走进古镇，先看到的是赵理伦百岁坊。牌坊是清道光帝御赐而建，稀奇的是：四根立柱上雕刻的石狮子很反常的尾上头下，与平时所见不同，颇为奇特。沿着石板铺就的古驿道前行，街道两侧几乎全都是售卖当地特产的店铺，卤猪脚、烤豆腐、玫瑰糖等特色小吃也别具风味，走累了不妨停下里买一点尝尝。
从南门蜿蜒向北一直到北门的古驿道，既是古镇的中轴线，也是主街。主街以古镇中心的古文化广场为界，以北称北街，以南称南街。与主街相交的向东有东街，向西是西街。沿着东街向东，可抵达文昌阁，文昌阁位于东街143号，建于明万历年间，砖木结构，依山而建，为攒角重楼八角式。是旧时读书人常去读书、聚会、祭拜文昌帝君的地方，有兴趣也可祭拜一番。
主街向西可抵达迎祥寺、慈云寺、万寿宫和天主教堂等风格各异的宗教建筑，无不各具特色，精雕细琢，是游人拍照的好地方。在南街与西街之间有一条幽静小巷，称为背街。背街是青岩古镇具特色的一条石巷，路面的青石板经过几百年的冲刷、磨砺，已光可鉴人，如镜面般泛着青黑的光芒，感觉幽深而静谧。街边都是层层片石垒起的院墙，路窄而幽静，沿山势起伏，是摄影的地点。
青岩古镇街巷幽深，曲折复杂，但主街和每个重要路口都有指引牌，况且大多数小巷都可以兜回主街，所以，在古镇内穿行，无须担心迷路问题。一般来说，步行逛完古镇约2小时左右，所以也无需在镇上住宿。",https://dimg04.c-ctrip.com/images/1lo4z12000fsda3vlBC1C.jpg
贵阳,黔灵山公园,3084,26.597823,106.692587,4.6,黔灵山公园位于贵阳市区西北隅，园内可以爬山观景，也可以游湖、看洞，还可以去弘福寺礼佛，或者逛动物园。黔灵山公园有东西南北四个大门，其中南大门是公园的正门，途经的公交车很多，上山索道也是在南大门这边的，所以建议游客从南大门进入公园。进入南大门，首先看到的是七星潭，泉水从麒麟洞流向公园南门，形成七个阶梯状的水潭。顺着七星潭走几步，就是上山路了。如果不想爬山，可以坐索道直达象王岭上的瞰筑亭。爬山的话，沿着九曲径拾级而上，山上植被茂密，空气很新鲜，一路上还能看到摩崖石刻群。山不是特别高，距离地面的垂直距离大约是200米。山顶有一座始建于清代的弘福寺，据说寺里祈福很灵验，所以来拜的信徒很多。弘福寺后再爬一些山路，就到象王岭的瞰筑亭，在亭子处可以俯看贵阳群山中高楼林立的景色，是个不错的拍摄点。若特别喜欢爬山，黔灵山公园的山是由几座山头连绵而成的，还可以去白象山、关刀岩、大罗岭爬爬，而一般游客看过弘福寺、瞰筑亭就差不多可以下山了。弘福寺及下山的这段路上猕猴特别多，不少游客来黔灵山公园就是为了看这些猕猴，猴儿们是公园放养的，一点不怕人，人反而要让它们三分，有照相机的手里要拿好，有食物的要特别藏好，因为猴子会来抢。下山遇岔路，先走黔灵湖方向，黔灵湖边有小吃店，可以补充一点体力。黔灵湖是个人工水库，湖畔有一座烈士纪念碑。湖中可以划船，到了夏季，荷花盛开，景色很美。接着去动物园，动物园边上也有小吃店，有烤肉串、烤鱿鱼、烤豆腐等，味道不错，价钱都不贵。动物园动物品种不是很多，不过如果有小孩子同行的话，看到黑熊、狮子、梅花鹿、鸽子等，也已经乐得合不拢嘴了。动物园南边就是麒麟洞。在洞中可以看到一些奇石，其中有一块长得酷似麒麟。张学良、杨虎城曾先后被关押于此，这里还有张、杨二将军文物陈列室，能看到他们当年在此的卧室，与二人相关的图文介绍等。这样一圈逛下来，黔灵山公园的主要景点就玩得差不多了。若是带小孩的游客，还可以去公园南大门进门处的儿童游乐场，有碰碰车、转马、海盗船等游乐设施。,https://dimg04.c-ctrip.com/images/0105r12000f6scsegDE66.jpg
贵阳,甲秀楼,18081,26.571397,106.719771,4.6,甲秀楼是贵阳的标志性建筑，它始建于明代，坐落于市区内南明河中的一块巨石上，是一座三层的木质阁楼。甲秀楼是来贵阳的游客必看的景点，这里的夜景也非常迷人，楼旁同样建于明代的翠微园也可一同游览。甲秀楼景区主要分为三部分，即浮玉桥、甲秀楼、翠微园。甲秀楼建于明代万历年间，其名字取“科甲挺秀”之意。这座木楼高22.9米，共有三层，顶层题“甲秀楼”三字，游客可登楼俯瞰南明河岸风光。数百年来众多文人墨客在甲秀楼留下了赞美诗词，其中以清人刘玉山所撰206字长联脍炙人口，此联概括了山城贵阳的地理形势及历史变迁。浮玉桥是一座纵跨南明河的石桥，由北向南将石木牌坊、涵碧亭、甲秀楼、翠微园串连一线。翠微园原名观音寺，现为一组将寺庙和园林结合为一体的古代建筑群，有亭台楼阁、假山、长廊，如今主要是当地人品尝聊天和交流字画的去处。,https://dimg04.c-ctrip.com/images/0105t12000f6rbgxc2CFB.jpg
贵阳,荣华庄园,141039980,26.706471,106.712611,0.0,餐厅环境很好呢，餐厅的门面制作的十分精致，以金色为主，感觉很气派呢，餐厅主要以黄色和白色为主，干净却又不失温馨，布置的古色古香，餐位都用统一的座套套着，显得十分整齐，木制的桌椅又给人古时茶楼的感觉，餐位之间都是用木制的篱笆隔开的，在上二楼的楼梯口那边，墙壁上还挂了一个金色的“驴”字，这是餐厅的象征呢，餐厅的角落里还放了几盆盆栽，又给餐厅增添了几分绿意呢。这里的东西口味十分的好，价格也不贵，在这里消费是个不错的好地方，以后要常来。一个不错的选择。而且环境也很不错，是一个不可多得的好地方！,https://dimg04.c-ctrip.com/images/0102u1200086k28vc0A5C.jpg
贵阳,天河潭旅游度假区,3089,26.440145,106.580608,4.4,"天河潭位于贵阳西南城郊，这里汇聚了溶洞和瀑布景观，堪称贵州山水的微缩。景区分为钙化滩瀑布观赏、香粑沟水文化、水洞游船和旱洞游览四大内容，游客还可坐上约400米长的高空滑索俯瞰景区风光。

进入景区，先是会经过一条叫做天街的商业街，游客游览结束后可以回到这里用餐、休息。接着沿着一条栈道，向右通往溶洞码头，向左则通向多处瀑布、溪流和水潭。向左拐第，一眼看到的就是210米的钙化滩瀑布。

瀑布上游即是溶洞景区，天河潭溶洞分为旱洞和水洞。水洞需乘船游览，10-12人一条船，船票包含在通票内，有专门的员工划船并沿途介绍。洞内有石钟乳、石笋、石柱等喀斯特景观，而令人叫绝的则是洞内的一条300多米长的只容一条船开进的狭长地下河道。整个游览时间大约是20分钟。
出了水洞，则要换上机动船去欣赏九道湾风景区。然后穿过银河宫后游览旱洞，旱洞分为三层，全长200余米，由于地形较为复杂，和人结伴或者紧跟旅行团导游，不然很容易迷路。洞中有一座天然石桥叫奈何桥，洞内也有很多的钟乳石景观。整个游览时间大约1小时。

出了旱洞，要过同心桥，需要收费3元，山上的溜索值得推荐，一道钢索连接景区的两个山头，从高的一头挂个挂钩哧溜一下滑到低的那座山头，速度非常快。在几十米的高空上玩这个远比坐缆车要刺激得多，寻求刺激的人不容错过。

景区附近的民族村寨也是一定要去的，过小桥、看水车、访农家，观赏苗家姑娘亲手织的精美刺绣，亲身体验异样的民俗风情。沿着钙化滩瀑布下游的香粑沟，飞泻而下的瀑布星罗棋布。连接钙化滩的是卧龙湖，湖水清澈如镜，犹如世外桃源。天河潭夜间旅游以文化为魂、以山水为骨，充分汲取贵阳厚重的历史文化精髓，探寻神秘的苗族文化。通过声、光、电、科技设备、创意活动运营等方式营造烟雾飘渺、歌声环绕、红叶映衬的山水仙境，利用实景、演艺、影像、互动体验等手段，打造有主题、有特色、有亮点、有文化的夜游产品及服务。
通过对天河潭夜游文化形象提炼，将神灵、自然、艺术、民俗、爱情等元素融合在整个夜游线路中，以美丽的神话传说为线索，跟溶洞、两岸以及崖壁等处的声光电景点，形成奇特的审美关系，融文学性和视觉享受于一体，在灵活自如的穿插浏览中，联袂阐释天河潭夜景之美和如梦如幻的意境。",https://dimg04.c-ctrip.com/images/0100k12000ji0cisl2ABA.jpg
贵阳,花溪公园,3085,26.432687,106.67198,4.7,花溪公园位于贵阳南郊的花溪区，是贵阳历史悠久的自然景观公园。花溪公园融山水田园和民俗风情于一体，这里景色四季皆美，尤以春季群花与秋季梧桐夹道的黄金大道很迷人，而蜿蜒于花溪河上的百步桥也是一道美景。花溪公园落成于1940年，1949年正式命名为花溪公园，园内主要以真山真水和田园风光为主，有芙蓉洲、百步桥、坝上桥、黄金大道、麟山、龟山、松柏园、碧桃园、牡丹园、竹莲池、憩园等景点。公园内有花溪河贯穿，而景点多错落于花溪河两岸。花溪公园是一个山水环绕的地方，春季来此可以看到这里处处绽放着各种花卉，夏季则是非常适合避暑消夏的地方，秋季行走在铺满梧桐树叶的黄金大道上，其景可媲美童话世界。不过公园里顶美的莫过于碧绿的河水和架于水上的各种小桥，其中有意思的是盘曲在水上的一个个石蹬——百步桥。来花溪公园可以随意地散步，也可以在湖中划船，或登上小山丘远眺。公园里也有提供自行车租借服务，不过由于公园里小桥很多，骑行的话要经常将车抬上抬下，多为不便。,https://dimg04.c-ctrip.com/images/100s1f000001gx7l0418A.jpg
贵阳,弘福寺,110206,26.593627,106.691931,4.7,弘福寺坐落于贵阳黔灵山上，始建于1672年，是贵阳有名的佛教寺院，素有“贵州首刹”之称。弘福寺内有摩岩石刻、徐霞客游过的古佛洞、历代长老塔林等古代遗迹，而寺庙本身素以祈福灵验著称，因此香火十分旺盛。弘福寺建于清代康熙十一年，由赤松和尚所开创，“弘福”二字乃“弘佛大愿，救人救世；福我众生，善始善终“之意。整座寺庙坐落于黔灵山群峰中心，弘福寺虽然不算大，但寺内格局严谨，建筑威严，更因掩映于一片绿色之中，显得古风十足。寺内有多处古代遗迹，包括赤松和尚开辟的九曲径及摩岩石刻、古佛洞、历代长老塔林等。寺内钟楼里则有一口三千余斤重的铜钟，是铸于明成化五年（1469年）的古物，它原在城内大兴寺，于1980年移此。,https://dimg04.c-ctrip.com/images/01015120009hztaniD2B8.jpg
贵阳,观山湖公园,120589,26.632972,106.634065,4.7,观山湖公园位于贵阳市区西北，是一座面积较大的城市公园。公园内拥有迷人的湖光山色和品种丰富的植物，还建有专门的塑胶跑步道，是贵阳近郊的一处环境优美的休闲健身之处，同时也是春季赏花踏青的好去处。观山湖公园位于观山大桥南北两侧，北侧以观山水库为中心、南侧以金华湖为中心，四周植满了各种植物，包括樱花、桃树、梨树、垂柳、白玉兰、桂花、银杏、水杉等等应有尽有，在不同的季节都能看到不一样的自然景观。而这里的生态湿地也吸引了许多白鹭、野鸭等鸟禽在此栖息。,https://dimg04.c-ctrip.com/images/0101912000kltsr7c459C.jpg
贵阳,贵阳森林公园,3087,26.546269,106.751922,4.6,贵阳森林公园地处贵阳市区东南，是离市区很近的一处大型森林旅游区，公园里各种树木枝叶茂盛，走在步道上头顶是遮天蔽日的参天大树，还可以看到许多放养的猕猴在林中嬉戏，春季时更有各种花卉竞放，生态环境良好。贵阳森林公园起初为贵州省林科院实验林场，这里林木种类众多，面积广阔，开辟为公园后曾被誉为“贵阳八景之一”。这座森里公园如今成为贵阳市民郊游远足的好去处，也是非常适合避暑和野营的地方。,https://dimg04.c-ctrip.com/images/0100212000j4srf4f6F1F.jpg
贵阳,文昌阁,56300,26.578767,106.719202,4.4,文昌阁坐落于贵阳市区老东门遗址，是一座三层宝塔形建筑，它始建于1609年，原为供奉道教神明文昌帝君之所。因国内阁楼建筑的角均为偶数等角，所以拥有九个角的文昌阁便成了独特的，同时也是与甲秀楼齐名的古建筑。文昌阁坐落于宽厚高大的东门月城上，建筑古朴而雄伟，阁楼两边设有配殿，前为联结配殿的斋房，平面布局成四合院形。阁内二、三层有楞木各9根，屋顶有9个角，以及柱54根、梁81根，均为9的倍数，古时的“9”通常代表高权力和高等级，设计者之匠心可见一斑。虽然如今文昌阁已不是道教之所，而是成为了当地人的茶楼，但这座经典而特别的古建筑依然值得喜好历史与建筑的游客前往一观。,https://dimg04.c-ctrip.com/images/0100e12000f6tsqx9EDCA.jpg
