city,名称,id,纬度,经度,评价分数,介绍,封面图片
郑州,河南博物院,9593,34.788182,113.672152,4.8,"【河南博物院简介】河南博物院创建于1927年，是我国成立较早的博物馆之一。本馆坐落于河南省郑州市农业路中段，院区占地面积126亩，建筑面积5.5万平方米。河南博物院现有馆藏文物17万余件(套)，尤以史前文物、商周青铜器、历代陶瓷器、玉器及石刻具有特色。精品文物数量多、种类全、品位高、价值大，是见证中华文明发展轨迹，展示中国历史发展脉络的文化艺术宝库。现开放有基本陈列展《泱泱华夏
择中建都》和专题陈列《明清河南》《中原古代石刻艺术展》《丹淅吉金——中原楚国青铜艺术》《巧工遗珍——院藏明清珍宝展》及《国宝特展》等，与展览相配套的“社会教育体验厅”和“华夏古乐厅”也开放使用。河南博物院以“发扬固有文化、提倡学术研究、增长民众知识、促进社会文明”为建院宗旨，精心打造公益文化服务品牌，是领略中原文化、黄河文化、华夏文脉的重要窗口，是弘扬核心价值观的重要阵地，是增进文化交流合作的重要平台
。【现有展览讲解 】基本陈列《泱泱华夏
择中建都》基本陈列“泱泱华夏
择中建都”，以中原的建都历史为主线，以中原文明发展历史为纲，以世界文明背景为参照，整合河南地区的文物优势，抓住中原古代发展中的闪光点，展示华夏民族的文明发展轨迹，再现中原文化的悠久与辉煌，以及中原文化的影响力与辐射力。同时在全球化视域下，展现中原文化与其他地区文化的异同，展开黄河文明与其他文明的对话。基本陈列位于主展馆1、2、3层，共分10个展厅，由新石器时代、夏商、西周、东周、秦汉魏晋南北朝、隋唐、宋金元七部分组成，围绕各个历史时期中原都城文化以及都城中的人文生活进行解读。【华夏古乐演出】河南地处中原，自古为礼乐之邦，音乐文化发展得天独厚。八千年前的贾湖骨笛，夏商周时期的钟鼓磬瑟、管箫琴笙，汉唐时期乐舞百戏、燕乐大曲中原的古代音乐仿若一条历史的长河，奔腾不息，波澜壮阔。河南博物院华夏古乐团自2000年成立以来，对中原音乐文物进行复原研究，对古代乐谱、服饰以及演出场景进行复原和重构，推出不同主题的音乐会，深受海内外观众的好评。千年古乐，薪火相传，华夏古乐团正奏响着中华民族生生不息的心灵之声……演出时间：每周二至周日，每天两场，演出时间分别是11:00和16:00，每场演出时长30分钟左右。演出地点：河南博物院主展馆一楼西侧
华夏古乐厅购票方式：通过河南博物院微信公众号进入“我要预约”-“华夏古乐厅”进行购票【河南博物院文创区域】河南博物院“豫博文创”积极与省内外企业合作，通过吸收各个企业的创意理念、设计风格和产品特点，梳理出适合开发的文物元素300余件（套），并以“突出原创”为开发原则，累计出品近800款文创产品，品种涵盖文具类、玩具类、日用品类、服饰类、食品类等。其中，以镇院之宝、明星文物为主题开发的系列文创产品在全国各类文创大赛中斩获佳绩，并代表我省多次走上各大文创主题的展台。 目前豫博文创已重点打造出实物类“灼蓁文物咖啡”“失传的宝物——考古盲盒”“光明之杯”，活动类“博物雅堂”“河南省博物馆文创大赛”等品牌。同时，积极探索文创与科研的深度结合，与多所高校合作成立了文创人才培训实践基地，加快推动文创人才的培训。“大鹏之动，非一羽之轻也；骐骥之速，非一足之力也”。未来豫博文创还将汲取更多的社会力量，共同挖掘历史文化的魅力，创造出更多的文创作品，为我省文创产业高质量发展做出应有的贡献。区域位置：河南博物院主展馆一楼大厅西侧精品店、三楼书咖店、西出口快闪店【河南博物院社会教育体验厅】来到豫博，除了看展览，听古乐，逛文创。还有一个地方一定要去体验。它位于河南博物院东配楼一楼，是一处拥有1400平方米的超大全新综合实践体验区，可同时容纳500人参与体验活动；这里赋予博物馆教育发展新内涵；这里是全国中小学研学教育基地；这里是亲子寓教于乐的博物馆课堂；这里还可以沉浸式感知文化的博大精深。这里有古代科技体验区、田野考古体验区、文物修复保护观摩区、观众自主学习区、研学实践教育区、三维国宝魔墙体验区、5G＋360°实时全景体验区等七大不同区域，体验观感俱佳。河南博物院社会教育体验厅采取“分众化、菜单式”的服务模式，定位服务人群。在对未成年观众的教育上，着重打造“特约讲解”等教育项目，开发专题学程，优化九大镇院之宝系列学程、考古知多少、国宝守护人、成语典故等热门教育课程，丰富教育体系、共享教育项目。新开辟的博物馆综合实践体验中心，以高起点、立体化、沉浸式展示博物馆教育发展新内涵。",https://dimg04.c-ctrip.com/images/350r160000010oixgB0CC.png
郑州,郑州黄河文化公园,9603,34.953506,113.514073,4.4,郑州黄河文化公园位于河南省会郑州市西北20公里处黄河之滨，南依巍巍岳山，北临滔滔黄河。黄河文化公园现已建成并对外开放的有五龙峰、岳山寺、大禹山、炎黄二帝塑像、星海湖等五大景区，分布着炎黄二帝塑像、中华百位历史名人像、哺育像、大禹塑像、黄河碑林、万里黄河第一桥、浮天阁、极目阁、等四十余处景点。公园拥有雄浑壮美的大河风光，源远流长的黄河文化，它处于中华民族发源地的核心部位，历史古迹丰富，文化遗产深厚。公园的地理特征非常独特，地处黄河中下游的分界线，是黄土高原的终点，华北大平原的起点，也是黄河成为“地上悬河”的起点。在这里，可以欣赏到黄河的“悬、险、荡、阔、浊”等独有特征。公园融观光旅游、休闲度假、科普教育、寻根祭祖、弘扬华夏文明为一体，是“中华民族之魂”----黄河之旅的龙头景区。,https://dimg04.c-ctrip.com/images/1lo0g12000ge0wt3jADD8.jpg
郑州,河南艺术中心,57056,34.770591,113.724211,4.6,河南艺术中心由五个椭圆体和两片翻卷上升的艺术墙组成，五个椭圆体分别为：1800席的大剧场、800席的音乐厅、300席的多功能小剧场和美术馆、艺术馆。五个椭圆体是由河南出土的6500年前古代乐器陶埙造型演变而来。走进大剧院，给人的较大感受就是它的中原味道和人性化设计。音乐厅是演出大型交响乐的专用音乐厅，可容纳观众800人。小剧场可容纳观众380多名，适用于多种形式的表演活动，如小型话剧、小型音乐演奏等。美术馆位于南区，馆内主要收藏和展示近现代美术珍品及雕塑作品。艺术馆位于南区，该馆设有动态艺术表演厅、藏品库、民间艺术品展厅、研究制作室。,https://dimg04.c-ctrip.com/images/0101w120008e2m2yz2E72.jpg
郑州,黄河博物馆,9766,34.871987,113.677751,4.8,黄河博物馆，位于郑州市紫荆山路4号，成立于1965年，是我国唯一以黄河为主题陈列内容的自然科技类博物馆，被称为“黄河巨龙的缩影”。博物馆共两层，分为多个展厅，通过文字、图片、模型向人们展示了黄河母亲河的历史与历年来的水患的治理。黄河，是贯穿整个博物馆陈列的主线。博物馆的陈列由“伟大的黄河”、“黄河历史灾害”、“人民治黄成就”、“黄河在前进”四部分组成，依次展现在观众面前，使人犹如徜徉漫步于“九折十八弯”的黄河之上，一览黄河历史春秋。馆内藏品包括历史文物、自然标本、书画、音像图片四大类。游客在博物馆内，可以了解到黄河流域的自然地理地貌、气候和物产。这里陈列着黄河流域出土的各种动物化石，如：剑齿象牙、高氏羚羊头骨等。通过博物馆的展品，游客们还可以感受到黄河文明发展历程及灿烂的黄河文化。在博物馆的“千秋治河展区”，通过黄河水患、治河春秋、漕运灌溉、河神祭祀四个单元展现中国古代及近代黄河水患灾害、治理方略、治河技术及漕运灌溉的发展演变。这里有历朝历代遗留下来的治河文物，如：清代的穿孔河工砖、宋代黄河堤防分段管理的重要实证——埄堠碑、清代黄河特大堵口工程的重要参照——郑工合龙碑等等。博物馆每天都有一些宣传片播放，其中有《黄河形成》三维动画、《黄河物理模型》电视片；《康熙治河》幻影成像、《黄河调水调沙》科普片等，各个影片有固定的播放时间，当游客较少时，博物馆到点会取消播放，游客届时可以和馆内的工作人员说明，工作人员会随时播放影片。游览博物馆时，游客还可以租用讲解器或者聘请讲解人员，讲解费20元/台，讲解人员费用60元/批（20人以下）。,https://dimg04.c-ctrip.com/images/0104q12000f6t35br0FA5.jpg
郑州,郑州二七纪念馆,9599,34.752249,113.666501,4.6,二七纪念塔位于现在的二七广场上，是为纪念1923年“二七”大罢工的英雄们而建造的。二七纪念塔为双身并联式塔身，塔全高63米，共14层，其中塔基座为3层塔身为11层，钢筋混凝土结构。塔内一边为旋梯，一边为展室，可登至塔顶。,https://dimg04.c-ctrip.com/images/0102d12000f6rbu0s664C.jpg
郑州,中原福塔,119168,34.72315,113.729085,4.8,中原福塔，又名河南广播电视塔，是集广播电视信号发射，旅游观光，跨境E贸易，餐饮休闲，文化展演，会议庆典等多功能于一体的大型现代旅游景点。中原福塔是河南省十大标志性建筑之一， 省级文明景区，省级文明单位。它由上海同济大学设计研究院设计，于2012年荣获中国土木工程奖――詹天佑奖，中原福塔总高388米，共101层，是目前世界上较大的全钢结构塔之一。99层云中漫步体验项目包括云中漫步内外环道、云端滑道、晃动观景平台等体验内容。“云中漫步”垂直地面高度281米，是目前全球钢结构铁塔上超长的城市高空360度、全透明、无护栏步道。游客可以像漫步在云端一样，尽情体验扶云摘星的刺激与浪漫。云端滑道：全球超长城市户外空中玻璃滑道，与云中漫步平台相接。可从云中漫步直接体验环形高空玻璃滑道，全景视野快速穿梭在钢铁丛林中，给游客以快速下降的震撼体验。晃动观景平台：具有声光电及真实晃动效果的玻璃观景平台，垂直于地面268米高空中，给游客以震撼的体验效果，也是饱览城市风光、浪漫表白的好地点。97层室内观光层高度约251米，本层主体功能为高空观光及福塔旅游纪念品展示。您可以看到在玻璃窗上标注有东、南、西、北四个主要方向以及全球76座城市的名称和方位，下面的数字则表示我们现在所处位置到达这座城市的空中直线距离。 96层“影动空间”剧场体验项目包含 5D动感影院+720°悬空玻璃剧场+裸眼3D环幕轨道飞行影院。全新的感官科技场景，超级震撼的虚拟视听盛宴、多重感官世界的体验、触动未来的影动艺术空间，为观众带来沉浸式虚拟仿真冒险旅行！ 塔座三、四层为《锦绣中原》全景画馆，由鲁迅美术学院13位知名画家、教授历时五年创作而成，全景画主画高18米，长163米，总绘画面积3012平方米，地面塑型2200平方米，是目前世界上面积较大的手绘油画全景画，被誉为“当代的清明上河图”。以前只有在迪拜塔、澳门塔、美国联邦大厦......国际著名地标上，才能体验到的项目，现在不出郑州、不打飞的，在中原福塔就可以深度体验了！带给你独特的震撼与刺激，快乐与浪漫，明星同款打卡，炫爆你的朋友圈！,https://dimg04.c-ctrip.com/images/0100x1200082cli3q1F70.jpg
郑州,郑州市动物园,77541,34.78947,113.684957,4.6,郑州市动物园是一座专业性动物园，饲养了一百多种近千只动物，包括珍贵保护动物东北虎、金钱豹等，另外还有非洲象、亚洲象、大猩猩、黑猩猩、白鹳、冠鹤、平顶猴、食蟹猴、短尾猴等动物。由于园区地处平原，没有天然山岭，故人工修建了多处人工山、开辟大小人工湖6个，相互以桥涵相联，南湖为水禽的天堂，湖面鸳鸯成对嬉戏，天鹅游弋。80年代设计修建的熊猫馆、河马馆、猩猩馆、象房，新颖别致、别具一格，既为建筑，又是一景，许多馆舍有室内外展厅，一年四季均可供游人观赏游览。,https://dimg04.c-ctrip.com/images/100w0g0000008nw83E5D7.jpg
郑州,郑州海洋馆,143225,34.820068,113.658051,4.5,【景点简介】坐落于郑州市金水区的长乔郑州海洋馆，由中国领航专业海洋旅游度假区、海洋公园投资运营企业---长乔旅游集团倾力打造。项目集海洋生物展示互动、科普研学、剧场演艺、夜宿度假等功能为一体的旗舰型城市海洋馆。这里物种丰富、妙趣横生，汇集冰海极地、温带、热带生物1000余种、1万余尾，独特的呈现方式令游客仿佛置身于深海秘境之中，2022年郑州海洋馆极地动物世界如期呈现，创新提供沉浸式海洋度假体验，坐拥庞大生物种群资源及独树一帜的氛围场景呈现。与海相伴，白鲸、海豚、企鹅等万余只极地海洋珍稀生物在此汇聚；不负蔚蓝，极地动物世界、海洋水族世界、地中海小镇等三大主题展区海纳全球海洋风貌。更有海洋研学院及海洋夜宿营魅力呈现，夜游海洋，“鱼”我同眠。【场馆介绍】郑州海洋馆共分为极地动物世界、海洋水族世界、地中海小镇三大主题展区，建议游玩时间在3-4小时，推荐游玩路线：海洋水族世界1F淡水馆、2F珊瑚海生物馆→海底隧道出口→极地动物世界1F电梯上至8F→8F、7F海豚湾→6F白鲸海→5F、4F白鲸剧场→3F+、3F企鹅岛→地中海小镇两栖动物馆→地中海小镇海豚剧场→地中海礼品商场→游客中心出口1、极地动物世界作为郑州海洋馆二期的特色项目——极地动物世界当之无愧。这里有全球特色的贯穿式立体水幕，20米宽屏沉浸式开放空间畅享海洋世界。极地动物世界八层楼高主要分为四大场馆，将分别欣赏到花鲸、海豚、白鲸、企鹅、北极狼、北极狐等珍稀极地动物。花鲸海豚湾内维京船长的一声号召，动员了来自全球各地的朋友开启这场海洋“鲸奇”之旅；跟随白鲸天使遨游海底吧，蓝色治愈下的唯美恋歌品味与爱同游；南极企鹅馆的呆萌绅士在一片雪白中享受他们的欢乐时光；奇幻世界里保有的一丝清醒，轻而易举地便迷失在绚丽斑斓的水母宫了，一声来自北冰洋的狼嚎才把人拽回现实世界。那就在现实世界和奇幻动物世界中肆意穿梭吧。2、海洋馆水族世界海洋馆水族世界主要场馆包括亚马逊雨林馆、海洋剧场、海底隧道馆、珊瑚海生物馆等四大场馆，在这里可以欣赏到南美海狮、东亚江豚、巨骨舌鱼、鳐鱼、魟鱼、鲨鱼等上千种淡水及海水生物。走在70余米长的海底隧道，身临其境置身于海底世界；“珊瑚生海底，五七株成林，谓之珊瑚林”。而这里成群的珊瑚连成一片海，需要一台5.76亿像素的超级相机亲身体验。3、地中海小镇地中海小镇凭借自身城堡风的外表，一气呵成连接起极地动物世界、海洋水族世界以及海豚剧场。这里是为游客创造欢乐的主题乐园，有趣又有乐的观赏项目当然也不能少，海豚表演剧场、海狮家园、海鸟滩、鳄鱼池、两栖爬行馆均坐落在这里。除了三大主题展区外，地中海礼品店更有丰富多彩的纪念品供游客选择，精选长乔优品，与海相伴，臻藏每一段与海洋动物的情谊；馆区内更有小镇餐厅以及各场馆内相应的白鲸餐厅、企鹅餐厅、海狮餐厅等主题餐厅供游客享受饕餮美食。,https://dimg04.c-ctrip.com/images/1lo3h12000banx8tqA5FC.jpg
郑州,二七广场,147885,34.751826,113.666371,4.6,二七广场位于郑州市区中心商业繁华区，广场四周有华联商厦、商城大厦、百货大楼、亚细亚商场、国际友谊广场、正弘名店、沃尔玛、购书中心等，还有数百家中小型商店、餐饮店，是外地游客的必游之处。广场上的二七纪念塔是为纪念1923年2月7日京汉铁路工人大罢工而建的。塔高63米，共14层，每层顶角为仿古挑角飞檐，绿色琉璃瓦覆顶。塔顶建有钟楼，整点报时演奏《东方红》乐曲，钟声悠扬悦耳，绵延数公里。,https://dimg04.c-ctrip.com/images/0102e120009dgs1279605.jpg
郑州,郑州市人民公园,1418498,34.761686,113.663106,4.6,郑州人民公园位于郑州市金水区二七路，紧邻金水河。进公园南大门是胡公祠，为纪念胡景翼将军而建。胡公祠为五楹大殿，巍峨壮观。殿后为人工湖和青年湖，人工湖中心有两岛，由湖东岸乘船西行，可到樱花园。在青年湖中，顺东河北行，经湖心岛，穿水泥桥，可至湖滨茶社；穿桥荡舟北行，可至公园青石假山下。公园的中心处是一个莲花形喷泉，周边建有月季花坛及大片草坪、法国梧桐及雪松，四季常青。公园西北为兰园，东是竹园和梅园。过鱼池往东可到迎春园和秋园，两园东西相连，并建有花卉展览馆一座。迎春园东边往前便是儿童游戏场了。从公园的西门进入，有五座凉亭，为彭公祠的一部分。彭公祠现在仅存纪念亭和汉白玉残碑。,https://dimg04.c-ctrip.com/images/10051f000001gstogC13C.jpg
