city,名称,id,纬度,经度,评价分数,介绍,封面图片
重庆,磁器口古镇,43811,29.581401,106.449796,4.5,来磁器口古镇，这个当年热闹的水陆码头，踩踩青石板路，品尝当地的美食小吃，找个茶馆坐坐，感受下老重庆的风土人情。因为距离市区很近，如今的古镇也是市民休闲娱乐的好去处。根据指示牌游玩即可古镇有十几条街巷，两旁边都是明清风格的建筑，古镇不大，根据指示牌步行游览完全没有问题。虽然游客眼前的一切，都是近年来重新翻新的，不过这并不影响你在这里感受“老重庆”。镇上有不少景点钟家院、通家院等是古镇中典型的川东山地民居，值得一看。镇上的宝轮寺，有千年历史，可以敬香祈福。街边还有不少茶馆，找一家坐坐，当年的水手、袍哥大爷等都喜爱出入此间。喝茶的同时，有机会欣赏到当地的民间艺术，如：川剧坐唱、四川清音等。当地知名小吃：陈麻花古镇内能够品尝到很多当地的美食和小吃。毛血旺、千张皮和椒盐花生是镇上的“美食三绝”。更出名的是“陈麻花”，镇上有很多家“陈麻花”，哪家正宗？可以看看哪家门店前排队排的长。古镇距离歌乐山的白公馆、渣滓洞不算远，可以一并游玩。,https://dimg04.c-ctrip.com/images/0106z120008iqyn71AE84.jpg
重庆,洪崖洞民俗风貌区,50223,29.562187,106.57904,4.6,洪崖洞民俗风貌区是逛山城老街、观赏两江风光、品尝当地美食的好去处。洪崖洞商业街位于渝中区沧白路，长江、嘉陵江两江交汇的滨江地带，以具有巴渝传统建筑特色的“吊脚楼”为主体，依山就势，沿江而建。夜景美爆了洪崖洞民俗风貌区由纸盐河酒吧街、天成巷巴渝风情街、盛宴美食街及异域风情城市阳台四部分组成，以具有巴渝传统建筑特色的吊脚楼为主体，依山就势，通过分层筑台、吊脚、错叠、临崖等山地建筑手法，把这一片建筑汇聚在一起，夜晚时候灯火通明，堪称山城一景。美食、购物、观景走进洪崖洞民俗风貌区两边都是密集的吊脚楼。从脚下的沿江路到顶层的沧白路有11层之多。各层内容不同，有餐馆、有小吃街、有酒吧咖啡厅，也有土特产商铺。顶层是异域风情城市阳台，可乘坐电梯直达。站在观景平台上，可远观两江交汇，风光无限。,https://dimg04.c-ctrip.com/images/1A0o11000000qry18BAF9.jpg
重庆,长江索道,109940,29.557813,106.582809,4.1,长江索道，已经成为了山城的代表性项目。索道起于渝中区长安寺（新华路），横跨长江至南岸区的上新街（龙门浩）。乘上索道，滑向江对岸，一路可见近在咫尺的钢筋森林、长江以及江北南岸区的风光。“不览夜景，未到重庆”，乘坐全程约千米的长江索道，是近距离俯瞰重庆夜景的不错体验。灯火辉煌的渝中半岛、璀璨夺目的滨江路、波光粼粼的长江水、流光溢彩的跨江大桥，交相辉映。如果你在蒙蒙细雨之夜，乘坐长江索道看夜景，还可欣赏到一幅水墨淡彩的《巴山夜雨图》，巴山雨态，水墨中的城市山林。长江索道也成为众多影视剧在重庆取景的必选地，代表作有：2001年《周渔的火车》、2006年《疯狂的石头》、2006年《好奇害死猫》、2007年《门》等影片，以及综艺节目《极限挑战》等。佩戴耳机，体验升级：智能耳机120分钟讲解，让等待不再枯燥，耳机带你游重庆，解读魔幻而文艺的江湖重庆，邂逅时光中有趣的巴渝风情，带给游客声景并茂的沉浸式观感体验。智能讲解耳机，告别无声电影：飞越山城声景并茂，解读重庆有趣有料。时速22公里的空中旅程，随着天际线和空间景致变化，犹如观看一部动感十足的3D版城市电影-《魔幻重庆》。,https://dimg04.c-ctrip.com/images/0103s12000ajhcz2c4EE8.jpg
重庆,解放碑步行街,10386,29.557589,106.577199,4.6,解放碑步行街是重庆较为繁华的商业圈，这里百货公司、酒店数量众多，是购物、美食和走走逛逛的好去处，更是打望重庆美女的好去处。步行街位于渝中区，以解放碑为中心，包括周边的民权路、邹容路和八一路等。美食、购物、打望美女商场多，小吃多，美女多，是步行街“三多”。你在这里可以逛逛“高大上”的美美时代百货、大都会广场，也有比较平民的重庆百货大楼和太平洋百货；在步行街上你几乎能吃到所有的重庆美食，这里有八一路好吃街，便宜又好吃的酸辣粉、山城小汤圆和抄手都能在这里找到。而当你步行街上闲逛时，没走几步，就会有一位身材高挑，皮肤白皙的重庆美眉从你身边闪过。作为重庆甚至是中国西部地区繁华的商业街，无论你是重庆本地人，还是来重庆的游客，在步行街都能找到属于自己的快乐。解放碑：纪念抗战胜利的纪念碑步行街上的解放碑，是纪念抗日战争胜利的纪念碑。步行街附近还有能仁寺、罗汉寺等景点。解放碑步行街及周边还是游客在重庆住宿的主要选择之一，这里有洲际酒店、也有性价比很高的经济型酒店。,https://dimg04.c-ctrip.com/images/1A0a11000000qufky8650.jpg
重庆,武隆天生三桥,45771,29.433609,107.805111,4.6,武隆天生三桥，属于典型的喀斯特地貌，罕见的地质奇观旅游区，也是电影《满城尽带黄金甲》和《变形金刚4》的取景地。景区位于武隆县仙女山镇，游客一般是在仙女镇的游客中心购票后，乘坐景区提供的环保车到达景区。三桥夹两坑武隆天生三桥由天龙桥、青龙桥、黑龙桥三座天生石拱桥组成。三座桥横跨在羊水河峡谷之上，石桥的跨度和距离峡谷底部均在百米以上。三座石桥将峡谷两岸的山体连在一起，形成了“三桥夹两坑”的奇特景观。石桥之间所夹的坑，也称为“天坑”。游玩路线游客进入景区后，可以乘坐观光电梯下到谷底（电梯费用包括在门票内）的天坑中，再沿着坑底幽静的小道步行游览。此时环顾四周，满目苍翠，有溪水流淌；抬头仰望，四处是悬崖万丈，有山泉从上飞泻而下。电影场景在天龙桥附近的天坑中，建有仿唐建筑“天福客栈”，就是张艺谋导演的《满城尽带黄金甲》的外景地，这座客栈耗资千万。这里还是《变形金刚4》的中国取景地，如今景区内还有电影中机械怪物的造型。乘坐环保车去龙水峡游玩后，你可以走到景区出口，途中有一段上坡路，也可以乘坐电瓶车到出口。游客在景区出口，可以乘坐环保车回到镇上的游客中心，或者在这里乘坐环保车前往附近的龙水峡地缝继续游玩（需要先购买地缝的门票才能乘车前往）。,https://dimg04.c-ctrip.com/images/0105q120004gsttsa454D.jpg
重庆,大足石刻,10330,29.746757,105.76976,4.6,大足石刻，是重庆市大足区境内以佛教题材为主的摩岩石刻（石窟）的总称，包括宝顶山、北山、南山、石门山、石篆山等处，在这里可欣赏到保存较好的唐、宋时期的石刻造像艺术。迄今公布为文物保护单位的石刻多达75处，造像5万余尊。大足石刻造像始建于初唐，历经唐末、五代，兴盛于两宋，余绪绵延至明清，历时千余载，是中国石窟艺术史上的一座丰碑，也是世界石窟艺术中公元9世纪末至13世纪中叶间辉煌壮丽的一页。大足石刻植根于悠久的巴蜀文化沃土，在吸收、融化前期石窟艺术精华的基础上，推陈出新，极工穷变，开拓了石窟艺术的新天地。以鲜明的民族化、世俗化、生活化特色，成为具有中国风格的石窟艺术的典范。大足石刻是中国晚期石窟艺术的代表作品，与敦煌、云冈、龙门等石窟一起构成了一部完整的中国石窟艺术史。大足石刻从不同侧面展示了公元9世纪至13世纪中叶间，中国石窟艺术风格及民间宗教信仰的重大发展、变化，对中国石窟艺术的创新与发展有重要贡献，具有前期各代石窟不可替代的历史、艺术、科学和鉴赏价值。1999年12月1日，大足石刻作为文化遗产被联合国教科文组织列入《世界遗产名录》。宝顶山与北山石刻较为集中石刻群中，较为集中的是宝顶山石刻和北山石刻。宝顶山和北山石刻分别售票，也可以购买联票，两者相距十几公里。石刻群的其余的三个景点，地处比较偏僻或者还未对外开放。宝顶山石刻宝顶山石窟位于大足城区东北15公里的宝顶山，以大、小佛湾为中心，由僧人赵智凤于南宋淳熙至淳祐年间（公元1174—1252年）主持开凿而成。大佛湾为一“Ｕ”字形山湾，造像崖面长约500米，高8—25米，造像刻于东、南、北三面崖壁上，通编为31号。宝顶山石窟造像表现出有异于中国前期石窟多方面的特点：第一，宝顶山石窟造像是中国罕见的大型佛教密宗石窟道场，把中国密教史往后延续了近四百年。第二，宝顶山石窟造像的表现形式在石窟艺术中独树一帜。大佛湾数千尊造像题材不重复，龛窟间既有教义上的内在联系，又有形式上的相互衔接，形成了一个有机的整体，颇似一幅气势恢弘的历史长卷画。全部造像图文并茂，配刻经文大多与藏经有异，多为历代藏经未收入的藏外佛教石刻文献，对佛教典籍的研究具有重要学术价值。第三，造像注重阐述哲理，把佛教的基本教义与中国儒家的伦理、理学的心性及道教的学说融为一体，博采兼收，显示了中国宋代佛学思想的特色。第四，宝顶山石窟造像从内容到形式都堪称中国石窟艺术民族化、生活化的典范。对儒家孝道思想的尊崇，对世俗市井生活的渲染，使之成为具有浓郁中国传统文化特质的艺术宝库，标志着源于印度的石窟艺术至此完成了中国化的进程。第五，宝顶山石窟造像是石窟艺术的集大成之作，在诸多方面都有创造性的发展。它以能慑服人心为其创作原则，借以激发信众对佛法的虔诚信仰。并将科学原理融于艺术造型之中，其造像、装饰、布局、排水、采光、支撑、透视等，都十分注重形式美和意境美。此外，宝顶山石窟造像中尚存碑碣16通，题刻、游记、诗词44件，培修、装绚记49件。其中，刻于公元1174—1252年间的《唐柳本尊传》碑，以及公元1425年刘畋人撰写的《重开宝顶石碑记》等对研究宝顶山石窟史乃至中国密宗史都具有重大学术价值。北山石刻北山石窟位于大足区主城北1.5公里的北山山巅（俗称佛湾），由唐末昌州刺史、昌普渝合四州都指挥韦君靖于唐景福元年（892年）首先开凿，后经地方官绅、士庶、僧尼等相继营建，至南宋绍兴末年（1162年），方具现存规模。北山石窟造像依岩而建，造像崖面长约300米，高约7—10米，形若新月。龛窟密如蜂房，分为南、北两段，通编为290号，其中造像264龛窟，近万尊，阴刻图1幅，经幢8座。北山石窟造像主要为世俗祈佛出资雕刻，题材丰富，以密宗造像为主，约占总数的二分之一以上。北山石窟晚唐造像题材有12种类型，以观音及观音、地藏合龛和阿弥陀佛胁侍观音、地藏居多。晚唐造像端庄丰满，气质浑厚，衣纹细密，薄衣贴体，具有盛唐遗风。五代造像占北山石窟的三分之一以上，题材有18种，出现了药师经变、陀罗尼经变等新的内容，是中国这一时期造像多的地区。五代造像小巧玲珑，体态多变，神情潇洒，衣饰渐趋繁丽，呈现出由唐至宋的过渡风格。北山石窟宋代造像有21种题材，尤以观音为突出，被誉为“中国观音造像陈列馆”。宋代造像人物个性鲜明，体态优雅，比例匀称，穿戴艳丽，极富装饰之美。北山石窟现存碑碣7通。其中，刻于公元895年的《韦君靖碑》，具有补唐史之阙的重要价值；刻于公元1163-1189年间的《赵懿简公神道碑》，系宋代四大书法家之一的蔡京所书，为书法艺术之珍品；二十二章《古文孝经碑》，则被史家们称之为“寰宇间仅此一刻”。山石窟以其精美典雅，时代特征显著，雕刻细腻，艺精技绝，保存完好而著称于世，又集晚唐、五代、两宋作品于一体，展示了晚唐至宋代各个时期石窟艺术的不同风貌和发展演变，被誉为“唐宋石刻艺术陈列馆”。,https://dimg04.c-ctrip.com/images/01030120008rxqtyiB006.jpg
重庆,仙女山国家森林公园,10340,29.497187,107.738939,4.5,仙女山国家森林公园位于重庆武隆县境内，拥有南方少有的高山草原风光，其林海、奇峰、草场、雪原被游客称为仙女山“四绝”。景区内树林相依，山丘相连，散养了众多的牛、羊、马，其景色优美，被誉为重庆的“小瑞士”。景区开设骑马、滑草、赛车、彩弹射击、悠波球、滑翔伞、篝火、烧烤等二十余个游乐项目，另建有饭店、别墅群、树上小木屋、风情木屋、欧式三角形木屋等住宿设施，是休闲避暑的胜地。这里冬季白雪皑皑，银装素裹，并设有滑雪场，届时可以在此赏雪、滑雪、玩雪，感受冬季独有的魅力。,https://dimg04.c-ctrip.com/images/1lo0112000bofvjoa4244.jpg
重庆,朝天门广场,10378,29.566799,106.587871,4.5,朝天门广场，位于重庆市渝中区的东北部，渝中半岛的顶端，这里地处长江和嘉陵江的汇流处，站在广场中，两江三地的景色尽收眼底。朝天门广场的前端，碧绿的嘉陵江水与褐黄色的长江水汇合；东面是江北区宏伟的重庆大剧院；西面是南岸区灯火辉煌的南滨路。广场还是当地市民的休闲场所，天气好时，有不少人在这里放风筝。朝天门，原为老重庆规模较大的一座城门，称为“古渝雄关”，是古代重庆地方官吏迎接皇帝圣旨的地方，1927年城门被拆除。如今，当地政府准备把这里打造成“新重庆”的标志之一，具有国际时尚性的区域。朝天门广场附近的码头，是夜游两江的出发地。,https://dimg04.c-ctrip.com/images/100m1c000001dgugr82A1.jpg
重庆,三峡博物馆,45804,29.562063,106.550445,4.6,三峡博物馆位于重庆人民广场西侧，馆内收藏有巴蜀青铜器、汉代雕塑艺术品等各类文物上万件，展示了这座山城的发展历史。馆内的《壮丽三峡》展厅里，还收集了大量三峡库区的实物，真实再现了三峡原貌。博物馆建筑正上方漏斗型的圆形穹顶很像一个巨大的承露盘，取“三峡之水天上来”之意。外墙以大面积的蓝色玻璃和古朴的砂岩构成，蓝色玻璃象征着水，而砂岩外墙则代表着山。三峡博物馆共分四层，主要由360度环幕电影、4个基本陈列（《壮丽三峡》、《远古巴渝》、《重庆·城市之路》、《抗战岁月》）和6个专题陈列等组成。一楼的360度环幕数码电影，展示了库区蓄水前三峡的自然风光、人文风情，是对三峡风貌的永恒纪念。《壮丽三峡》展厅里收集了大量三峡库区的实物，真实再现了三峡原貌。二楼的《远古巴渝》展示了重庆古老的文明，追溯其3000年文化的根源，《重庆·城市之路》则是以大量的文物资料展示出重庆近百年来的城市变迁。三楼的“重庆大轰炸半景画陈列馆”，通过现代科技手段及雕塑、油画作品等形式，再现了重庆大轰炸的历史事件。《抗战岁月》以诸多详实的资料，展示出重庆这座城市和重庆人民为抗日战争作出的贡献与牺牲。四楼的历代书画、瓷器、钱币和汉代雕塑艺术展里，展示了上千件各色珍贵文物，有著名的“说书俑”、“巴渝神鸟”、“乌阳汉阙”等珍贵文物。西南民族民俗风情厅，展示了大西南地区各民族的民俗和文化。,https://dimg04.c-ctrip.com/images/0105h12000h4c65gx5C31.jpg
重庆,重庆两江游,1410372,29.562388,106.576551,4.4,不览夜景，未到重庆。重庆两江游巧妙地将重庆山水与闻名天下的重庆夜景相结合。在游船上观赏重庆夜景，迎着习习江风，举目远望长滨路、嘉滨路绚丽的城区，色彩斑斓的灯光倒映在江中，流光溢彩格外诱人，沿江高低不同的建筑，在灯光的照耀下错落有致。而且现在还开通了白天的游船班次，除了可以欣赏重庆夜景，现在还能欣赏白天的重庆特色的景观地标。,https://dimg04.c-ctrip.com/images/0100g1200086ns69oB566.jpg
