city,名称,id,纬度,经度,评价分数,介绍,封面图片
银川,宁夏保税国际商品展销中心,1835943,38.52441,106.227385,0.0,,https://dimg04.c-ctrip.com/images/fd/tg/g1/M06/FC/24/CghzflW7H_iATdynAAA-FlXAIeA738.jpg
银川,镇北堡西部影城,8834,38.615417,106.071968,4.5,镇北堡西部影城位于银川市西夏区。在这个以古朴、粗犷、荒凉为特色的影城中，拍摄了《牧马人》、《红高粱》、《大话西游》、《刺陵》、《锦衣卫》等经典影片以及具有影响力的影视片百余部，一大批中国电影界名人都在这里留下过足迹，如巩俐、姜文、张艺谋、葛优、周星驰、甄子丹等。影城由明城、清城和老银川一条街三部分组成，游客游玩影城可以沿着老银川一条街的“8字形”线路游览。在这里，可以看到20世纪上半叶的银川市容市貌，吃到羊杂汤等当地传统小吃。影城中的明城和清城是由明、清两朝遗留下来的屯兵城堡改建的，城廓还保留着西北塞外特有的荒凉残旧、破而不败的景象。在明、清两城中，你可以看到很多耳熟能详的电影场景，如：《大话西游》中孙悟空和紫霞仙子站立的城门楼、牛魔王的招亲台、唐僧的受刑台；还有电影《红高粱》中的月亮门、“我爷爷”醉酒后撒尿的酿酒作坊、九儿出嫁时乘坐的轿子、盛酒的大缸、碗具等。影城内很多地方都有服装和道具出租，在这里穿一套戏中的服装，用一用影片中的道具，在电影的场景中走一走，过一把当明星的瘾。去镇北堡西部影城游玩前，可以先重温几部经典的影片，再去游览，会有不一样的感觉。,https://dimg04.c-ctrip.com/images/10010z000000ny7agFB63.jpg
银川,西夏陵,8831,38.43096,105.98343,4.5,西夏陵，位于银川市西郊的贺兰山麓，是西夏王朝的皇家陵寝，埋葬了西夏王朝的多位皇帝。现在整个陵区有9座帝陵和140多陪葬墓，是中国历史上占地面积的皇家陵寝之一。陵墓的形状与其他中国陵墓都不一样，呈倒扣的窝头形。除此之外，景区内还建有西夏博物馆、西夏史话艺术馆，西夏碑林等设施场馆，帮助游客了解陵墓背后的历史文化。景区目前开放了1、2、3号等陵墓供游客参观，其中3号陵墓（西夏开国皇帝李元昊的“泰陵”）距离西夏史话艺术馆和西夏碑林相距较近。西夏王朝由党项人建立，文字、风俗都与中原汉族不同。王朝灭亡后西夏的城市、历史也都神秘的消失在戈壁之中，成为千古之谜，直到近代才被发现解读。在西夏博物馆内藏有丰富的西夏王朝文物，其中很多西夏文的石刻和带有西夏风格的壁画都是珍品。博物馆内部免费的讲解也十分精彩，可以帮助大家了解神秘西夏王朝的风俗、文化和兴衰，也能更加有体会的参观王陵。景区内昊王陵可以走近参观。巨大的倒立半圆形陵墓立于荒地之上，历史沧桑近在眼前，远处的贺兰山麓沟壑纵横，使人顿生悲凉壮阔的沧桑之感。景区内的西夏博物馆（新馆）全新亮相。馆内陈列分为西夏史、西夏文化、西夏宗教艺术、西夏社会经济、西夏陵、保护与传承等六个部分。展出了唐卡、文献、泥塑、铜铁器、织物、瓷器等近5000件藏品，其中包括了近些年来西夏陵考古研究过程中出土的大量精品文物。,https://dimg04.c-ctrip.com/images/350u1900000177n71B401.jpg
银川,鼓楼,8942,38.465215,106.281186,4.4,银川鼓楼又被称为“十字鼓楼”、“四鼓楼”，位于解放东街和鼓楼南北街交叉路口，临近玉皇阁和新华街步行街。楼总高36米，建在一个高大的方形台基上，台基下为洞形十字通道，与解放东街、鼓楼南北街相通。洞门额上有石刻题字，东为“迎恩”，南为“来薰”，西为“挹爽”，北为“拱极”。台基上为十字形歇山顶的3层楼阁。东面门洞两侧各辟一券门，南券门额上题为“坤阖”，内为一耳室；北券门额上题为“乾辟”。楼阁顶脊饰以龙首，中置连珠，呈二龙戏珠之势，别具情趣。鼓楼结构严密紧凑，造形俊俏华丽，登临阁上，扶栏眺望，银川景色，尽收眼底。,https://dimg04.c-ctrip.com/images/100a0z000000nju708682.jpg
银川,宁夏博物馆,147000,38.484832,106.235126,4.6,宁夏博物馆位于银川市金凤区，整个建筑平面呈“回”字型布局，贴应了宁夏回族自治区的“回”字。外墙装饰所运用的迦陵频伽、力士志文支座等建筑构件形象，以及四个大门使用的装饰图案，这些都是宁夏历史文化遗存的代表，具有鲜明的地域特色。博物馆共有四层，其中地面的三层对普通游客开放。博物馆的一层是观众服务厅和临时展厅。这里还有名为“石刻史书”的岩画展厅，进入展厅你就如同进入了一个远古时代。一般游客都喜欢去贺兰山内游玩远古的岩画，但在宁夏境内有很多地方都有岩画，这些地区很多都是游人罕至、交通不便。而在这个展厅内，游客可以近距离接触更多的宁夏岩画。博物馆的二楼是“宁夏通史展厅”，也是博物馆重点游览的区域。西汉错金银铜羊、唐代胡旋舞石门扇、西夏鎏金铜牛、人像碑座、凸钉玻璃碗等镇馆之宝都位于二楼。此外游客还可以在这里看到“凉州重修护国寺感通塔碑铭”的拓片，拓片上的西夏文比汉字更像方块字。博物馆的三楼是“回乡风情展”，展出的藏品以史籍和各种《古兰经》珍藏为主，是游客了解穆斯林文化和伊斯兰历史的好地方。博物馆为游客提供收费讲解服务，在博物馆问讯处的柜台上，摆放着免费的《博物馆导览图》、《展览介绍》等，游客可以自行拿取。,https://dimg04.c-ctrip.com/images/0105z12000iix85dd1848.jpg
银川,黄沙古渡原生态旅游区,8829,38.560379,106.544568,4.5,宁夏黄沙古渡国家湿地公园是国家AAAA级旅游景区，宁夏21景之一，位于银川市兴庆区月牙湖乡，紧邻黄河东岸，距银川市区28公里，河东机场38公里，银川火车站43公里。湿地公园规划面积32.4平方公里，分别由功能服务区、治沙推广实验区、生态文明展览区、黄河湿地保护区、沙漠欢乐谷区、黄河古渡文化区、边塞风情区、民俗文化园等区域构成。黄沙古渡是一处古老的黄河渡口，是明清宁夏八景之一。明朝庆靖王朱栴诗《黄沙古渡》描述了这里的壮丽景色，也阐述了黄沙古渡在古时交通上的重要地位。在这里，您可以亲临康熙渡黄河的古渡口、昭君出塞和亲留在大漠的月牙湖。园区内的大漠风光、黄河古韵、自然湿地、黄沙拥长河的塞外奇景，是原生态自助游的好去处。古老的羊皮筏子，原始的沙漠之舟骆驼，现代的湿地龙舟，刺激的沙海冲浪，是一个好玩的地方。园区深入挖掘了黄沙古渡历史文化，恢复了黄龙台、黄沙嘴、宁河台、禹王阁、观日台、禹王井、黄龙镇河、古渡口、黄河渔村、黄河古镇、古渡人家、黄沙古渡黄河楼、浑怀障、芦荡飘雪、黄河人家、古渡、黄河小镇、大漠孤烟黄河落日、烽火台、横城古渡、横城堡渡黄河、朱栴巡边、康熙渡黄河、黄河古韵、昭君出塞和亲雕塑等古迹景观；复原了大漠驼场、漠北大营、黄河滩老羊圈、黄河古道、塞外老牧场、治沙人家。,https://dimg04.c-ctrip.com/images/01031120008hk0f91051C.jpg
银川,玉皇阁,8832,38.464968,106.284146,4.4,玉皇阁始建于明代洪武年间，迄今已有600多年的历史，是一座重楼叠阁、飞檐相啄、结构紧凑、玲珑别致的传统木结构大屋顶建筑。因内铸玉帝像，故称之为玉皇阁。玉皇阁主阁为重檐二层阁楼，阁高约有22.1米，台基呈长方形，犹如大鹏展翅，凌空欲飞，气势宏伟。玉皇阁同鼓楼遥相辉映，别有情韵。登临阁顶，可凭栏西眺巍巍贺兰山，东望滚滚黄河,https://dimg04.c-ctrip.com/images/100i0z000000nhefsCF6B.jpg
银川,南门楼,8945,38.457681,106.284536,4.4,南门楼又称南薰楼，南门楼通高二十多米，台基正中壁有一个南北方向的拱形门洞，台基北面门洞两侧有台阶，整座建筑结构严谨、气势恢宏，非常漂亮。,https://dimg04.c-ctrip.com/images/100l1f000001gqgoh2415.jpg
银川,银川南关清真寺,8823,38.455292,106.280366,3.7,原寺地址在银川南关外“拱北”亭，规模较小。1916年将寺址迁入南关内，建成一座具有古典风格的大寺。60年代寺院在动乱中被毁殆尽。1981年募资在今址重建。,https://dimg04.c-ctrip.com/images/0104612000f6scncr25BD.jpg
银川,银川鸣翠湖国家湿地公园,140407,38.388334,106.374643,4.0,银川鸣翠湖国家湿地公园，位于宁夏银川市兴庆区掌政镇境内，距银川市区约10公里，距离黄河约3公里。这里是黄河流域、西部地区第一家国家湿地公园，景区集黄土高原、黄河、湖泊、芦苇、湿地等景观于一身。当你来到这里游玩后会有一种感觉，这里不像是大西北，更像是在江南的某处，银川不愧是塞上江南。公园内里湖水清澈，一派江南水乡的风景。夏天你来到这里，可以沿着水边漫步，钓钓鱼，近处是垂柳，远处是芦苇。你还可以在湖中荡舟，近距离的欣赏荷花。景区为年轻游客准备众多娱乐项目，比如：水上梅花桩、水上S桥、水上云梯等水上娱乐活动，此外还有一些刺激的拓展运动可供游客选择。如果你是冬天来到景区，也不会让你失望，可以在景区内的滑雪场玩玩雪上运动。如果你是个鸟类爱好者，那么你在春夏时节，能在公园内观赏到成千上万的珍贵鸟类，其中不乏有黑鹳、中华秋沙鸭、白尾海雕、大鸨等国家保护鸟类。湿地公园可以分南北两部分，几乎所有的人工景点和娱乐项目都在公园的北部，公园的南部是非常自然状态的生态保护区。公园有四个入口，几乎都位于北部区域，西南部的入口位于南北两部分的分界处。,https://dimg04.c-ctrip.com/images/100a1c000001cv58eEBB8.jpg
