city,名称,id,纬度,经度,评价分数,介绍,封面图片
长春,伪满皇宫博物院,10531,43.905801,125.348676,4.6,伪满皇宫博物院曾是清朝末代皇帝爱新觉罗·溥仪充当伪满洲国傀儡皇帝时的宫殿，他从1932年到1945年间曾在这里居住。如今这里还原了溥仪曾经生活和工作的环境，展示着大量的史料和文物，让人们了解末代皇帝的前半生以及侵华日军的罪证。步入博物院大门，首先可看到溥仪曾经的御用跑马场和花窖。往东走是主体建筑群，在溥仪曾用于办公的勤民楼中可看到当时的御用服装，在祭祖之地怀远楼中停放着溥仪的“御驾”派克牌轿车，还可参观溥仪和皇后婉容的寝宫缉熙楼，而在同德殿中可见到电影厅、钢琴间等娱乐处所。继续往东是东御花园，在这座日式园林中可看到御用泳池和假山，以及地下的防空洞，还能去书画楼参观溥仪当年从北京故宫带来的书画珍藏。离开历史建筑群，会看到1889年美国生产的蒸汽机车头，机车对面即是东北沦陷史陈列馆，这里陈列的上千件历史文物，向人们诉说着日本侵略中国东北的史实。,https://dimg04.c-ctrip.com/images/0102p12000hymtm0b0D06.jpg
长春,净月潭,10565,43.77936,125.476301,4.6,净月潭是长春市东南郊的一个水库，因形如弯月而得名，围绕着净月潭种植了大面积的树木，成为了长春非常大的森林公园，素有台湾“日月潭”的姐妹潭之称。来净月潭森林公园，你可以顺着潭边一路溜达、在水库大坝边欣赏湖光山色，也可以漫步于林间的木栈道，呼吸纯净的空气，享受森林浴。此外，公园内还有净月潭滑雪场、北普陀寺等景点。骑自行车游湖净月潭森林公园的西北端是正门，从市区坐轻轨或公交就到这里下。公园很大，环湖有公路，若是全程步行可能要一整天，而且很累。正门广场可以乘坐游览车（电瓶车），沿西环潭路行驶，终点站为滑雪场，半途可下车。不过比较省力而有趣的是骑自行车，骑车绕湖一圈用时将近两小时，正门口可租自行车。森林浴场净月潭公园树木茂盛、空气清新，很适合享受森林浴。净月潭南岸有森林浴场，你可以在这片密林中漫步散心，吐纳纯净的空气。净月潭的西部还有小森林浴场，你可以带上食物、野餐布，甚至是帐篷，可在此露营。公园内还有吉林东北虎园，但属于独立景点，可看到东北虎、非洲狮、棕熊、梅花鹿等动物。游船码头在净月潭上划船是件惬意的事儿，大坝旁、滑雪场旁、森林浴场前都有游船码头。冬季时可以来净月潭滑雪场滑雪，这里有初、中、高级滑道和越野雪道。夏季来也可以体验滑雪场的索滑道，即先坐索道上山，然后坐1.6公里长的管轨式滑道穿过层层林海下山，相当刺激。,https://dimg04.c-ctrip.com/images/100n0z000000nk6pxD1E9.jpg
长春,长影世纪城,10564,43.772532,125.446256,4.1,长影世纪城位于吉林省长春市净月国家高新技术产业开发区，是电影主题公园。长影世纪城娱乐项目分为创新科技、惊险刺激、体验演艺、游艺欣赏四大板块。节目科技含量高、体验性强、互动性强。园区内拥有飞翔式穹幕影院“华夏翱翔”，动感技术与球幕技术结合的星际探险节目，正交多幕特种影院“空间迷城”，3D巨幕影院及4D影院。4D影片《非常实验室》长影拥有独立版权。长影世纪城围绕电影文化主题开发了一系列电影娱乐项目。揭示电影特技奥秘的银河宫电影特技馆;模拟太空历险的极速穿梭;阴森恐怖的古堡惊魂;极具象征意义的神秘古树;具有中国特色的主题节目“斗转星移”。儿童乐园卡通地带，是梦幻般的童话世界。连续几年倾力打造的集赏灯、美食、娱乐、演艺、购物、休闲于一体的彩灯文化节美爆长春夏夜，让游人流连忘返。,https://dimg04.c-ctrip.com/images/01021120005znwtdt0DCB.jpg
长春,长春世界雕塑园,25083,43.823122,125.326658,4.6,长春世界雕塑园座落于长春市南部，是世界上较大的建于城市中心区的雕塑公园，这里展示着将近五百件雕塑艺术作品，可谓世界雕塑艺术的精品荟萃。公园内环境优美，随处可见雕塑作品，倘佯在艺术海洋的同时可享受着大自然的气息。公园由室外展区和室内展馆组成，从主入口进入首先来到罗丹广场，这里展示着世界雕塑大师罗丹创作的三尊名作《思想者》、《青铜时代》、《巴尔扎克》。其中这尊《思想者》是由法国罗丹博物馆的原模翻制，世界上仅有几十件原模浇铸的作品，长春这件是一件原件作品，相当珍贵。此外，公园内还有友谊喷泉广场、米开朗基罗广场、和平广场、春天广场等景点，都汇集着不少大型雕塑。其中位于公园至高处的春天广场中间矗立着29米高的大型组雕《友谊、和平、春天》，象征着世界各国人民珍视友谊、热爱和平、向往春天的强烈愿望，这也是这座公园的主题。长春雕塑艺术馆是公园内的主体建筑，馆内藏有数十位中外雕塑大师的百余件雕塑精品。馆内还设有“王克庆艺术博物馆”，珍藏了王克庆先生的雕塑作品、部分手稿和绘画作品，还有收藏了彭祖述先生捐赠的珍贵馆藏微雕《石头记》及大量手稿的“彭祖述艺术馆”。公园的东北部还建有一座松山韩蓉非洲艺术收藏博物馆，这里收藏了来自坦桑尼亚、莫桑比克、马拉维、赞比亚等非洲东南部国家的一万多件雕刻和绘画等艺术精品，尤其是充满非洲民族风情的马孔德木雕艺术作品（马孔德是生活在坦桑尼亚、肯尼亚的一个人数不多的民族），十分精美。,https://dimg04.c-ctrip.com/images/100n1f000001gpe1rE89E.jpg
长春,莲花山滑雪场,10671,43.86475,125.740069,4.5,"莲花山滑雪场目前是长春地区人气较旺的滑雪场之一。它地处长春市二道区四家乡青山村，距长春市区约39公里，距长春龙嘉国际机场约20公里，交通极其便捷，是全国高、中级滑雪场距离中心城市较近的滑雪场。目前，莲花山滑雪场按标准设计建造了""自由式空中技巧""和""单板U型槽""两个比赛场地；一期开设了6条高、中、初级滑雪道，可满足不同滑雪水平游客的需求；新建的2条高山吊椅索道和2条拖迁索道，将在相对较短的时间内把游客送达各条雪道的起始点，并可开展滑翔伞运动。同时，这里开展了雪地摩托、雪上飞碟、冰上滑梯、马爬犁、狗爬犁和网球等多种运动项目。此外还有莲花鱼馆的鱼宴、林间可容纳百余人的别墅群、日接待500余人食宿的运动员中心。",https://dimg04.c-ctrip.com/images/0100c12000950yuyg2BB6.jpg
长春,南湖公园,10563,43.855413,125.307196,4.7,位于长春市区南部的南湖公园，是目前全国第二大的市内公园，仅次于北京颐和园。公园内岸柳垂青、花香鸟语，一大半的面积为南湖所占据，春夏季走在湖边的曲桥亭榭上，可以感受到浓郁的江南意境。南湖公园是纳凉、钓鱼、划船的好去处。夏季的湖面上开满大片荷花，湖边还有人工沙滩可供休闲和游泳。每逢盛夏和初秋，这里都要举办灯会、民俗风情展等各类活动，非常热闹。每到冰封时节，在白茫茫的湖面上会举办花样繁多的冰雪活动，可以滑冰、赏冰灯等等，还能见到很多来冬泳的人们。此外，公园内还有儿童乐园，带孩子来这里也有得玩。,https://dimg04.c-ctrip.com/images/01024120005zjvgyrBAB6.jpg
长春,东北民族民俗博物馆,1413273,43.837659,125.403832,4.2,东北师范大学东北民族民俗馆，是目前我国东北地区规模大、展示东北古代及近现代民族多、古今民俗事象丰富的综合馆，是广大公众学习和了解东北民族民俗的课堂，更是旅游观光的景点之一。馆内设有东北古代民族民俗、东北近现代民族民俗、东北代表性行业作坊三个基本陈列展区和若干专题展区，全方位的为我们展现了纯正的东北民俗风貌和它的发展历程；另外，还有一些东北出土的文物古迹，如果你想更多的了解地道的东北民俗，这里就是你的优选之地。,https://dimg04.c-ctrip.com/images/1A0t1e000001fmq6aDFE5.jpg
长春,长春动植物公园,10561,43.868131,125.335321,4.5,长春动植物公园位于长春南关区自由大路2121号，是一个集动植物观展与科普、传统西游主题演绎以及休闲露营区为一体的多元化公园，目前，长春市动植物公园是国家AAAA级旅游景区，占地面积约72公顷，其中绿地面积56公顷，水域面积8.8公顷，园区内公园内景色优美，资源丰富，植物共计上万余株，园区内有动植物近百余种，有亚洲象、长颈鹿、斑马、犀牛等，白天有小熊猫、河马、亚洲象等小动物的科普秀和投喂环节，夜晚有关于西游记主题演绎，被网友评价为“适合中国宝宝体质的主题乐园”，同时获得央视86版西游记的授权，沉浸式情景打造，主舞台表演和十多个分舞台表演，其中五行山下投喂“雪饼猴”火爆出圈，休闲露营区的打造让人轻松闲适，园内也有近三千余组花灯，带你体验西游梦幻世界！,https://dimg04.c-ctrip.com/images/0102a12000b94s4dl26EC.jpg
长春,长春电影制片厂,145514,43.863622,125.292387,4.7,长春电影制片厂创立于1945年10月，新中国电影事业的摇篮，创造了新中国电影史上的七个第一。先后拍摄故事影片900多部，译制各国影片1000多部。建厂数十年来，共生产故事片数百余部，尤以拍摄农村题材和战争题材的影片为长。作品充满了原汁原味的乡土气息和黑土地特有的粗犷豪放风格。,https://dimg04.c-ctrip.com/images/0104q12000hznqbxf6B01.jpg
长春,关东文化园,141456,43.945172,125.221481,4.4,长春关东文化园坐落于长春西部绿园区内，位于西四环路与长白公路交汇处，距人民广场约二十分钟车程，是吉林省在市区内集温泉度假、餐饮娱乐、文化博览、会议接待、为一体的大型花园式文化乐园。这里还是闯东关的拍摄基地。长春关东文化园占地面积50万平方米，其中花草果树、湖泊水塘占总面积80％。春赏花、夏垂钓、秋采果、冬雾凇，四季美景，堪称市内天然氧吧。长春关东文化园是吉林省十二五重点文化产业建设项目，长春市十二五150项重点项目建设，国家旅游局、农业部、乡村旅游示范点。长春关东文化园将以四季美景、美食、美居、美文、美浴的多元多彩的文化产品、文化活动、文化场所，为传承关东文化，情系民族发展贡献力量。,https://dimg04.c-ctrip.com/images/0106i120008ap2b8z935F.jpg
长春,御龙温泉,70391,43.596218,125.705436,4.3,御龙温泉是集娱乐、餐饮、住宿服务为一体的豪华度假村，宾馆各种设施一应俱全，餐饮以吉菜、鹿宴和以山珍为主要原料的营养套餐为特色，并集全国各大菜系之精华完美于一体，会务设施配套齐全。同样也有一系列针对孩子的水上娱乐项目；如今新增的室外温泉更是一种全新的体验。,https://dimg04.c-ctrip.com/images/350m10000000p4fr71605.jpg
