city,名称,id,纬度,经度,评价分数,介绍,封面图片
香港,荷李活道,50644,22.283352,114.152702,4.3,荷李活道位于香港中环至上环，是香港开埠后兴建的第一条街道。“荷李活道”的名字与美国电影业的好莱坞无关，却来自早年荷李活道一带的冬青树Hollywood。荷李活道东端连接着兰桂坊，而旧中区警署(前香港警察总部)亦位于此街上，而在旧中区警署侧中央广场的Dragon-i酒吧，曾吸引多位足球明星访港时到此消遣。,https://dimg04.c-ctrip.com/images/01A5y120006q6oy55D3E2.jpg
香港,大鸿辉中心,2334991,22.367394,114.121909,4.0,,https://dimg04.c-ctrip.com/images/0104512000cprvt8rED41.jpg
香港,淘大商场,2090287,22.321922,114.220963,4.0,,https://dimg04.c-ctrip.com/images/100nhk133x7kyvqa88D73.jpg
香港,香港海洋公园,3339,22.243923,114.180674,4.6,· 潜入前所未见的深海世界，探索不同主题园区· 拜访人见人爱的大熊猫明星，与来自极地的朋友企鹅会面，全方位感受小动物· 挑战动感天地的机动游戏，享受速度带来的快乐位于香港岛南面的香港海洋公园丨Ocean Park Hong Kong，是全球非常受欢迎的主题公园之一，占地170英亩，建筑分布于南朗山上及黄竹坑谷地。海洋公园园内分为高峰乐园和海滨乐园两个区域，设有8个不同主题的天地，包括亚洲动物天地、梦幻水都、威威天地、热带雨林天地、动感天地、海洋天地、急流天地及冰极天地。高峰乐园△ 以游乐场嘉年华为主，更适合追求刺激的大朋友。不论是“海洋天地”的过山车、摇摆船、跳楼机，或是“急流天地”和“动感天地”的滑浪飞船、越矿飞车、翻天覆地等，一定都让你心跳爆表、尖叫连连。亚洲动物天地△ 为全世界前列拥有户内外兼容的展馆之园区，园区内展出各种来自亚洲不同地区动物。香港赛马会四川奇珍馆-前身为香港赛马会大熊猫园，于1999年开幕，成为大熊猫安安和佳佳的居所。于2012年改建成香港赛马会四川奇珍馆，并加入由四川借出的两只保护动物川金丝猴乐乐和虎虎。水母万花筒△ 于2006年4月10日揭幕，为全亚洲巨型的独立水母馆。梦幻水都△ 海洋奇观-名列世界十大水族馆之一，是全球第9大的水族馆。馆内更设直径达5.5米的观赏圆顶，让游客探视水底世界。游客亦能到达高8米、阔13米的巨型观赏屏，一次过目睹馆内所有鱼类。双龙奇缘，位于人工湖内，为全球首座360度的全景水幕，喷泉使用大量直上喷泉造成大水幕，大水幕外设有水火相容喷泉。园区内主要交通工具1. 登山缆车：登山缆车沿着以一道全长1.5公里的架空钢索连接山上及山下，旅客可以在沿途欣赏香港岛南区以及南海的辽阔景致。2. 登山电梯：登山电梯于1987年启用，连接南朗山（海洋天地）与大树湾（急流天地）2个区域。总长度达225米，是全世界第二长的户外扶手电梯系统。登山电梯不受天气影响。3. 海洋列车：欢迎乘坐海洋公园的海洋列车，展开一段精彩刺激的深海历险旅程，极速往返山上的高峰乐园与山下的海滨乐园。,https://dimg04.c-ctrip.com/images/1lo2q12000lnd8e2t50CD.jpg
香港,香港迪士尼乐园,22943,22.310238,114.046361,4.7,"冰雪奇缘世界已于香港迪斯尼乐园正式开幕""For the First Time in Forever""，宾客可以置身在壮阔的《冰雪奇缘》电影世界，让一个个熟悉的电影场景，现在都成为你眼前的风景！冰雪奇缘世界 — 身历奇境 LET IT GO!期待已久的宾客终于可以到阿伦黛尔王国游览，除了登上小木船探索魔雪奇幻之旅，及在雪岭滑雪橇上展开一趟刺激的旅程，更可以与安娜和爱莎到森林小天地一起游玩互动。别错过品尝传统菜式和搜罗拥有文化特色的纪念手信。让你从早到晚都全情投入在奇妙体验！城堡汇演，闪亮夜空多媒体夜间城堡汇演 —「迪士尼星梦光影之旅」点亮晚空。长约20分钟的多媒体光影汇演，以迪士尼经典故事与注入全新编排的经典乐章，带领宾客细味触动心灵的生命旅程。奇妙梦想城堡 象征勇气、希望和无尽可能的奇妙梦想城堡，是香港迪斯尼乐园的全新地标。城堡设计灵感来自13个有关经典迪斯尼公主和女王的故事，标志每颗永不放弃追求梦想的决心。Duffy与好友同萌游 Duffy与好友纷纷换上缤纷多彩的节日服饰，和你共度充满欢笑的时光，一起摸摸草，闻闻花，蹦蹦跳跳，去到哪里，就玩到哪里！因为在Duffy与好友的世界里，每个人都可以随心做回纯真的自己，游心而玩！不容错过的漫威主题体验喜爱漫威的你快登上「铁甲奇侠飞行之旅」以及「蚁侠与黄蜂女：击战特攻！」与超级英雄们连手，共同抵御邪恶势力！尽享购物美食的无限乐趣 度假区独有的迪士尼造型美食，满载奇思妙想，款款令人大饱眼福与口福，回味无穷；另外，更可把乐园商店内多个不同系列精品带回家中延续奇妙！延续奇妙旅程无论和家人欢度假期、与挚爱甜蜜庆祝、还是跟闺密好友开心相聚，入住香港迪斯尼乐园度假区，三间酒店不一样的主题，一样奇妙，将乐园的奇妙体验无限延续，圆满你的奇妙旅程。适用于迪士尼设计、·标志及产物：©Disney ©2024 MARVEL数据源：香港迪士尼乐园官方网站",https://dimg04.c-ctrip.com/images/1lo1u12000k60t9gy7523.jpg
香港,尖沙咀,56109,22.296067,114.177138,4.7,尖沙咀位于九龙半岛南端，面临维多利亚港，与香港岛中环隔海相望。这里有香港知名的景点——无论是明星手印扎堆的星光大道，还是景色宜人的维多利亚港，抑或是《重庆森林》取景地重庆大厦，或者供游人休息放松的九龙公园，都是游客来尖沙咀打卡的景点。尖沙咀是知名的商业区，坐拥DFS免税店、海港城、SOGO等大型购物点，也有LV、Prada、Dior等国际一线品牌专卖店，交织出令您怦然心动的血拼地图！1881 Heritage是集合历史古迹与时尚品牌商店，给您穿越古今的购物体验。与广东道仅有数街之遥的弥敦道，商店、酒店、餐馆、夜店闪着五光十色的霓虹灯，炫目华丽。逛累了，到邻近港铁尖东站的尖沙咀中心及帝国中心，在香港知名的露天茶座 Alfresco Lane 坐下来，欣赏维港迷人景色，品尝国际美食，满血复活再逛一圈！这里还有香港历史博物馆、香港科学馆、香港太空馆及香港文化中心等文化场所，设施先进，寓教于乐，是亲子游的好选择。,https://dimg04.c-ctrip.com/images/010621200087cdcm69311.jpg
香港,太平山顶,3307,22.273192,114.150563,4.5,今个盛夏，山顶缆车及凌霄阁将由2025年6月26日起至12月31日呈献迪士尼「Mickey Keep It Real」主题活动，将太平山顶打造成充满惊喜的盛夏庆典！人气角色米奇、米妮、唐老鸭、黛丝、高飞、布鲁托、钢牙与大鼻，将于中环山顶缆车总站出发，与所有Disney fans展开一场横跨整个太平山顶的精彩旅程！赶紧约定挚爱好友于今个暑假一同体验Magic-cool时刻，乐在当「夏」！ 带领大家畅玩10大主题打卡区， 参与AR数码寻宝游戏解锁惊喜奖赏及把握机会到山顶「Mickey Keep It Real」期间限定店带走限定主题精品 ! 无需额外支付入场费用－只需购买包含凌霄阁摩天台428的优惠套票（来回或单程），即可让宾客沉浸在奇幻体验中。千万不要错过这次的独特机会。香港港岛太平山顶是为香港岛高峰，因视野开阔，既可远眺大屿山，俯瞰香港全景，又可见层层叠叠的摩天高楼和维多利亚海港夜景，再结合山顶凌霄阁观光台以及山顶缆车，成为香港一处重要的旅游景点，是香港的标志性景点之一。△ 搭乘山顶缆车是了解香港的方式，每年有数百万旅客以壮观的角度欣赏都市景致和大自然风光。﻿△ 凌霄阁摩天台428是香港的360度观景台，无论白天、黄昏或夜晚，都可以为您提供目不暇给的视觉体验，让您尽享都市景致和独特魅力。△ 趣味时光留影馆位于山顶凌霄阁2楼，展出了22个精心设计的主题场景，引入影楼式专业照明和多种元素，让您以自拍的形式体验大型自拍体验馆。△ 香港杜莎夫人蜡像馆集合了超百尊全球名人蜡像，也提供多感官展示，包括首创的香港人气唱作人王嘉尔的扩增现实全像影像体验。△ 大富翁梦想世界位于香港太平山顶，将桌上游戏的经典元素立体呈现，让每个人都能成为大富翁，欢迎前来梦想世界。,https://dimg04.c-ctrip.com/images/100f0z000000ncfisF674.jpg
香港,中环,56110,22.277275,114.163796,4.7,中环位于香港的中西区，是香港政治及商业中心，很多银行、跨国金融机构及外国领事馆都设在此。香港政府总部，立法会大楼，以及前港督府（现称礼宾府）也坐落于此。中环的景观是老建筑与现代高科技大厦的混合体，老建筑如立法会大楼，现代建筑如中银大厦、IFC国际金融中心等已成为香港标志性景点，构成香港岛美丽和壮观的城市风景线。中环沿山脚而上向山顶发展，很多街道要爬坡或爬楼梯，如石板街，还有无数次出现在TVB电视剧中的煤气灯街，这里知名的景点是太平山顶，还有那知名的有盖扶手电梯——中环至半山自动扶梯。另外，香港夜生活的好地——兰桂坊也位于中环云咸街与德己立街之间一条短小、狭窄、呈L形并用鹅卵石铺成的街巷中。中环聚集了许多大型购物商场，置地广场、历山大厦、遮打大厦及太子大厦组成了知名购物圈，知名餐厅也不胜枚举，多家知名米其林餐厅外，九记牛腩、兰芳园、镛记酒家、莲香楼都是值得推荐的美味，人气也很旺，要做好排队的准备。,https://dimg04.c-ctrip.com/images/0104f12000862sp0h4CD8.jpg
香港,维多利亚港,55194,22.29814,114.171939,4.6,• 迷人海景和夜景，成为游客来港必到之地• 乘搭游船，以与众不同的角度欣赏维港景色• 还可以在美丽夜景当中欣赏大型灯光音乐汇演△ 入夜后万家灯火，相互辉映，维港夜景因而与函馆、那不勒斯并列“世界三大夜景”。△ 维多利亚港每晚8点上演的大型灯光汇演“幻彩咏香江”值得期待，40余栋大楼配合着充满节奏感的音乐，发出缤纷跃动的灯光令人目眩神迷。南岸香港岛有充满现代感的知名高楼大厦——中银大厦、国金中心，香港会议展览中心，这些都是TVB电视剧的常客。北岸九龙则有星光大道、天星码头，这里也是观赏维港景致和“幻彩咏香江”的好位置。若想更好的欣赏维港，可以参加维港海上游观光团，登上观光船或者中式帆船，置身海港中央，以全新角度感受香港的活力和动感，感受维港的美。△ 每逢元旦前夜和农历年初二晚上，维港都会举行盛大的烟花表演，两岸的高楼也会参与其中，将夜空装点的格外耀眼，近年更吸引数十万名香港及内地民众，聚集在维多利亚港两岸庆祝新年的来临。,https://dimg04.c-ctrip.com/images/10020y000000m5j4vCC02.jpg
香港,星光大道,26244,22.290257,114.179109,4.7,星光大道全长400多米，大道上李小龙的铜像高2米，此外，这里还有拍摄现场的雕像，你也可以坐在中间的椅子上做一回导演，指挥灯光师和收音师。漫步在星光大道上，吹着海风，人们可以欣赏维港对岸的美丽夜景。,https://dimg04.c-ctrip.com/images/100u12000000rm8qm4899.jpg
